"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"52","Nick Hardy",23114196,7100,55.03,0.0043,0.0043,74,0,0,48.97,2.6,78.5,25.5,0.5024,0.0047,0.1976,0.1245,0.0551,0.0234,0.0128,0.0036,8,0.61,-0.28,1.96,5,0.0455,87.5,"2022-06-26","Travelers Championship"
"53","Adam Long",23114197,7000,56.61,0.0075,0.0078,38,3e-04,0.04,51.97,6.1,81,25.5,0.5928,0.0082,0.2987,0.2035,0.1047,0.0517,0.0307,0.0096,25,1.11,0.3,2.65,9,0.0569,82.5,"2022-06-26","Travelers Championship"
"54","Rickie Fowler",23114198,7000,52.91,0.0048,0.0055,60,7e-04,0.1458,52.8,2.9,81,26.5,0.4847,0.0044,0.1856,0.1182,0.0535,0.0231,0.0125,0.0032,100,0.79,-0.02,3.44,6,0.0409,24,"2022-06-26","Travelers Championship"
"55","Stewart Cink",23114199,7000,50.28,0.0043,0.0049,68,6e-04,0.1395,51.31,0.76,81,25.5,0.4647,0.0056,0.1667,0.1024,0.0445,0.0188,0.0102,0.0027,53,0.7,-0.11,3.22,4,0.0193,63,"2022-06-26","Travelers Championship"
"56","Dylan Frittelli",23114200,7000,54.79,0.0032,0.0051,64,0.0019,0.5938,49.62,0.82,78,25.5,0.456,0.0039,0.158,0.0954,0.0401,0.0162,0.0082,0.0019,100,0.73,-0.08,6.49,7,0.0087,25,"2022-06-26","Travelers Championship"
"57","Alex Smalley",23114201,7000,56.7,0.0057,0.0049,68,-8e-04,-0.1404,57.22,1.9,85.5,26.5,0.5416,0.006,0.2428,0.1605,0.0759,0.0353,0.0199,0.0053,100,0.7,-0.11,0.42,2,0.0294,22,"2022-06-26","Travelers Championship"
"58","J.J. Spaun",23114202,7000,58.76,0.0043,0.0071,44,0.0028,0.6512,54.7,1.3,83,26,0.5604,0.006,0.2562,0.1686,0.0808,0.0371,0.0213,0.0059,100,1.01,0.2,8.48,10,0.0108,22.5,"2022-06-26","Travelers Championship"
"59","Russell Knox",23114203,6900,55.64,0.0057,0.0074,41,0.0017,0.2982,57.28,4.2,85.5,26.5,0.5719,0.0071,0.2731,0.183,0.0862,0.0403,0.023,0.0073,100,1.07,0.33,5.63,10,0.0354,18.5,"2022-06-26","Travelers Championship"
"60","Scott Stallings",23114205,6900,53.63,0.0043,0.0057,56,0.0014,0.3256,54.99,0.65,84,26.5,0.4899,0.0044,0.193,0.1183,0.0512,0.0217,0.012,0.0029,8,0.83,0.09,5.03,6,0.018,94.5,"2022-06-26","Travelers Championship"
"61","Danny Willett",23114206,6900,50.75,0.002,0.0046,70,0.0026,1.3,50.82,0.48,80,26,0.4294,0.0039,0.1346,0.0778,0.0325,0.0135,0.0068,0.0019,100,0.67,-0.07,9.19,10,0.0042,31,"2022-06-26","Travelers Championship"
