"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate"
"55","WR55","Dontayvion Wicks",9.42,2.9,32.97,0.43,"2024_17_GB_MIN",49,"MIN",-1,0,"2024-12-29","Sunday","16:25",99711,"WR","GB",15,12.2,10,47.6,9.1,1,11,0,21.1,8,21,12,0,28.4,76.5,63.8,NA,62.8,1.5,4,2,36,0,0,260,1,93.8
"56","WR56","Josh Palmer",9.37,3.16,42.23,0.22,"2024_17_LAC_NE",42,"NE",-6,0,"2024-12-28","Saturday","13:00",62979,"WR","LAC",14,15.3,0,60.3,45.5,5,11,1,10.3,4,26,27,0,57,77.9,66.7,NA,68,0,0,1,45,0,0,405,2,91.4
"57","WR57","Calvin Austin",9.36,2.93,36.81,0.35,"2024_17_KC_PIT",43.5,"KC",3,1,"2024-12-25","Wednesday","13:00",61418,"WR","PIT",15,13.3,2,62.7,60,6,10,0,3,1,17,25,0,78.9,87,66.8,NA,68,0,0,0,55,0,0,322,1,95.7
"58","WR58","Kayshon Boutte",9.35,3.24,45.25,0.07,"2024_17_LAC_NE",42,"LAC",6,1,"2024-12-28","Saturday","13:00",124087,"WR","NE",13,15,4,58.2,62.5,5,8,1,13.5,5,20,19,0,45.3,77.3,59.3,NA,60.6,0.9,4,2,40,0,0,445,3,92.4
"59","WR59","Tyler Scott",9.15,2.97,39.5,0.36,"2024_17_SEA_CHI",43.5,"SEA",3.5,1,"2024-12-26","Thursday","20:15",123578,"WR","CHI",4,-2,0,100,NA,0,0,0,0,0,0,6,0,64.7,69.5,56.9,NA,56.6,0,0,0,5,0,0,6,0,100
"60","WR60","Tre Tucker",9.12,2.87,42.29,0.2,"2024_17_LV_NO",37.5,"NO",-2,0,"2024-12-29","Sunday","13:00",101106,"WR","LV",15,11.3,4,63.6,50,6,12,0,2.3,1,22,23,0,84.3,82.6,58.3,66.2,58.7,0,0,1,58,0.2,1,617,1,93.4
"61","WR61","Jayden Reed",9.11,3.05,37.63,0.32,"2024_17_GB_MIN",49,"MIN",-1,0,"2024-12-29","Sunday","16:25",78171,"WR","GB",15,8.3,6,75.4,72.7,8,11,0,14.8,9,27,12,0,33.6,67.7,74.2,66.2,71.5,0.8,3,0,70,0.3,1,369,0,93.8
"62","WR62","Xavier Worthy",9.11,3,40.22,0.29,"2024_17_KC_PIT",43.5,"PIT",-3,0,"2024-12-25","Wednesday","13:00",144718,"WR","KC",15,10.2,5,60,27.3,3,11,0,8.9,5,31,16,0,59,81.4,64,NA,63.6,0,0,2,54,0,0,511,2,93.9
"63","WR63","Cedrick Wilson",8.94,3.23,41.38,0.23,"2024_17_LV_NO",37.5,"LV",2,1,"2024-12-29","Sunday","13:00",48170,"WR","NO",13,11,1,73.7,0,0,3,0,12.5,2,7,20,0,52.8,23.7,63.5,74.3,62.4,0,0,0,25,1.7,3,178,0,91.6
"64","WR64","Xavier Legette",8.79,2.77,32.88,0.33,"2024_17_CAR_TB",47.5,"TB",9.5,0,"2024-12-29","Sunday","13:00",99197,"WR","CAR",14,12.4,6,61.2,61.1,11,18,0,14.6,7,23,5,0,35.8,80.4,58.9,46.2,59,0,0,1,35,0.5,2,397,0,94.2
"65","WR65","Allen Robinson",8.62,2.57,31.91,0.49,"2024_17_DET_SF",50.5,"SF",-3.5,0,"2024-12-30","Monday","20:15",8696,"WR","DET",10,5.3,0,33.3,0,0,2,0,33.3,1,2,11,0,29.9,64,51.5,NA,55.1,0,0,0,7,0,0,38,1,97.4
"66","WR66","Charlie Jones",8.56,2.67,29.82,0.4,"2024_17_DEN_CIN",50.5,"DEN",-3.5,1,"2024-12-28","Saturday","16:30",55038,"WR","CIN",6,5,0,100,NA,0,0,0,0,0,0,7,0,64.7,21.7,51.6,NA,52.7,0,0,0,5,0,0,17,0,100
"67","WR67","Quentin Johnston",8.55,2.66,34.82,0.25,"2024_17_LAC_NE",42,"NE",-6,0,"2024-12-28","Saturday","13:00",123085,"WR","LAC",13,12.6,10,56.1,23.5,4,17,0,9.8,4,22,27,0,55.9,78.6,65.3,NA,66.9,0,0,1,66,0,0,354,1,93.2
