"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","anytime_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","def_rush_epa_rank","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd"
"19","RB19","Tony Pollard","2024_18_HOU_TEN",0.553,11.7,14.6,53.2,0.38,2.6,16.6,37,"HOU",13,-1.5,1,15.9,68.4,4.3,0.3,0.57,3.7,0.84,74.4,0.15,-0.115,-0.78,-0.54,NA,1
"20","RB20","Devon Achane","2024_18_MIA_NYJ",0.029,11.6,12.9,61.7,0.31,4.2,28.6,39,"NYJ",22,-1,0,12,49.2,4.1,0.3,0.45,5.3,1.6,80.3,0.16,-0.048,-2.19,0.37,NA,-0.55
"21","RB21","Tyrone Tracy","2024_18_NYG_PHI",0.27,11.4,13.3,52.4,0.37,2,14.2,37,"PHI",1,3,0,11.1,48.8,4.4,0.3,0.44,3,0.94,69.8,0.21,-0.213,-0.69,-1.87,NA,-0.19
"22","RB22","Rhamondre Stevenson","2024_18_BUF_NE",0.342,11.3,14,58,0.38,2.2,13.1,37.5,"BUF",6,2.5,1,13.8,53.8,3.9,0.5,0.5,2.6,0.62,70.3,0.21,-0.148,-1.22,-0.99,NA,-0.03
"23","RB23","Dandre Swift","2024_18_CHI_GB",0.344,11.1,14.1,51.2,0.36,2.5,17,41,"GB",7,10,0,14.6,55.5,3.8,0.3,0.59,3,1.16,66.1,0.16,-0.14,-0.78,-0.88,NA,-0.82
"24","RB24","Aaron Jones","2024_18_MIN_DET",0.169,11.1,13.1,57,0.34,3.2,27.9,56.5,"DET",9,2.5,0,15.3,68.9,4.5,0.3,0.51,3.3,1.28,74.6,0.17,-0.126,-0.69,-0.69,NA,0.14
"25","RB25","Rachaad White","2024_18_NO_TB",0.6,11,11.6,48.7,0.3,3.4,25.1,43.5,"NO",30,-14,1,9.6,41.3,4.3,0.2,0.32,3.7,1.37,74.6,0.19,0.027,1.18,1.38,NA,0.36
"26","RB26","Kareem Hunt","2024_18_KC_DEN",0.486,10.5,12.6,48.7,0.35,1.8,13.1,40,"DEN",3,10.5,0,15.4,55.4,3.6,0.5,0.46,2.1,0.83,72.8,0.13,-0.169,0.31,-1.27,NA,-0.7
"27","RB27","Brian Robinson","2024_18_WAS_DAL",0.581,10.5,13.4,57.8,0.4,1.5,10.8,44,"DAL",31,-6,0,14,60.2,4.3,0.6,0.36,1.8,0.87,70.1,0.18,0.08,1.2,2.1,NA,0.34
"28","RB28","Breece Hall","2024_18_MIA_NYJ",0.218,10.4,14,53.2,0.28,2.3,19.8,39,"MIA",12,1,1,13.1,55,4.2,0.3,0.58,4.7,1.3,63.5,0.18,-0.116,-0.53,-0.55,NA,0.18
"29","RB29","Zach Charbonnet","2024_18_SEA_LA",NA,10.3,8.9,48.5,0.26,2.3,17.3,38.5,"LA",19,-6.5,0,7.6,31.9,4.2,0.5,0.34,2.9,1.16,79.4,0.25,-0.064,-0.85,0.15,NA,1
"30","RB30","Tank Bigsby","2024_18_JAX_IND",0.393,9.6,13,53.1,0.39,1.1,9.6,44,"IND",10,5,0,11,51.7,4.7,0.4,0.41,0.7,0.42,73.7,0.3,-0.124,0.09,-0.66,NA,1.56
"31","RB31","Travis Etienne","2024_18_JAX_IND",0.21,9.4,11.6,46.2,0.23,2.3,15.4,44,"IND",10,5,0,9.8,37.2,3.8,0.1,0.36,3.3,0.95,64.3,0.14,-0.124,0.09,-0.66,NA,-0.72
"32","RB32","Jaylen Warren","2024_18_CIN_PIT",-0.049,9.2,8.6,38.6,0.23,3.2,21,48,"CIN",29,2,1,8.1,34.8,4.3,0.1,0.22,3.1,1.51,67.6,0.26,0.017,-0.52,1.25,NA,0.48
