"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","rush_td_proj","total_line","opp","spread","home","attempts_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd","tack_sd","touches_game_sd","gameday","weekday"
"40","RB40","Antonio Gibson","2024_15_NE_ARI",-0.212,8,8.5,34.2,0.2,46.5,"ARI",5.5,0,6.1,4.7,0.1,0.23,1.4,1.41,73.6,0.27,-0.035,-0.69,0.55,NA,1.06,NA,-0.4,"2024-12-15","Sunday"
"41","RB41","Emari Demercado","2024_15_NE_ARI",0.122,8,5.7,24.3,0.3,46.5,"NE",-5.5,1,1.8,9.3,0.1,0.07,1.5,1.11,79,0.28,-0.061,0.25,0.18,NA,4.69,NA,-1.02,"2024-12-15","Sunday"
"42","RB42","Samaje Perine","2024_15_KC_CLE",-0.364,7.7,5.2,22.6,0.2,43,"CLE",-4,0,1.2,4.4,0.1,0.04,2,1.34,67.3,0.22,-0.075,0.51,-0.03,NA,-0.87,NA,-1.07,"2024-12-15","Sunday"
"43","RB43","Nick Chubb","2024_15_KC_CLE",-0.141,7.7,11.3,41.2,0.2,43,"KC",4,1,13.3,3.1,0.4,0.31,1.1,0.4,64.7,0.19,-0.143,-0.62,-1.01,NA,-0.53,NA,0.63,"2024-12-15","Sunday"
"44","RB44","Tyler Allgeier","2024_15_ATL_LV",0.184,7.6,8.3,32.8,0.2,44,"LV",-4,0,7.8,5,0.2,0.28,0.8,0.78,86.7,0.24,-0.087,0.3,-0.2,NA,1.03,NA,-0.19,"2024-12-16","Monday"
"45","RB45","Isaac Guerendo","2024_15_LA_SF",NA,7.3,7.4,32.6,0.3,48.5,"LA",-3,1,4.8,5.7,0.3,0.15,0.7,1.06,67.3,0.16,-0.032,0.27,0.6,NA,0.31,NA,-0.69,"2024-12-12","Thursday"
"46","RB46","Braelon Allen","2024_15_NYJ_JAX",-0.33,7.2,8.5,33.5,0.1,40.5,"JAX",-3,0,6,3.6,0.2,0.28,1.7,1.25,83.8,0.13,-0.059,-0.53,0.21,NA,-0.15,NA,-0.4,"2024-12-15","Sunday"
"47","RB47","Trey Benson","2024_15_NE_ARI",-0.211,7.2,6.3,25.7,0.2,46.5,"NE",-5.5,1,4.8,4.6,0.1,0.16,0.5,1.37,58.8,0.28,-0.061,0.25,0.18,NA,0.37,NA,-0.69,"2024-12-15","Sunday"
"48","RB48","Jaylen Warren","2024_15_PIT_PHI",0.199,7.2,6.4,30.7,0.2,43,"PHI",5.5,0,7.9,4.1,0.1,0.2,2.8,1.52,64,0.22,-0.173,-0.55,-1.44,NA,0.14,NA,0.08,"2024-12-15","Sunday"
"49","RB49","Blake Corum","2024_15_LA_SF",0.013,7.1,6.3,31.6,0.2,48.5,"SF",3,0,4.5,4,0,0.13,0.4,1.55,69.1,0.16,-0.028,-0.08,0.65,NA,-0.5,NA,-0.75,"2024-12-12","Thursday"
"50","RB50","Jerome Ford","2024_15_KC_CLE",-0.267,7,7.3,33,0.2,43,"KC",4,1,7.3,4.6,0.1,0.27,3.2,0.66,75.8,0.32,-0.143,-0.62,-1.01,NA,0.04,NA,0.02,"2024-12-15","Sunday"
"51","RB51","Ray Davis","2024_15_BUF_DET",0.103,6.8,8.2,31.4,0.3,54.5,"DET",2.5,0,6.2,4.3,0.2,0.22,0.9,2.39,74.3,0.24,-0.144,1.43,-1.02,NA,-0.17,NA,-0.43,"2024-12-15","Sunday"
"52","RB52","Emanuel Wilson","2024_15_GB_SEA",-0.144,6.6,7.2,27.8,0.2,45.5,"SEA",-2.5,0,5.3,4.9,0.1,0.17,0.8,0.62,86,0.32,-0.084,0.38,-0.16,NA,0.31,NA,-0.58,"2024-12-15","Sunday"
"53","RB53","Chris Rodriguez","2024_15_WAS_NO",0.622,6.6,9,37.7,0.3,44,"NO",-7.5,0,8.7,5.8,0.3,0.06,0,0,88.1,0.31,0.02,1.64,1.35,NA,1.47,NA,-0.18,"2024-12-15","Sunday"
"54","RB54","Roschon Johnson","2024_15_CHI_MIN",-0.457,6.4,6.9,24.6,0.2,43.5,"MIN",6.5,0,4.8,2.9,0.6,0.15,1.2,0.81,76.9,0.15,-0.215,-0.18,-2.05,NA,-1.07,NA,-0.6,"2024-12-16","Monday"
"55","RB55","Travis Homer","2024_15_CHI_MIN",-0.648,6.3,6.1,26.9,0.3,43.5,"MIN",6.5,0,0.6,5.3,0,0.01,0.6,0.29,61.4,0,-0.215,-0.18,-2.05,NA,-0.85,NA,-1.31,"2024-12-16","Monday"
"56","RB56","Jeremy Mcnichols","2024_15_WAS_NO",0.349,6.2,7.3,30.1,0.2,44,"NO",-7.5,0,4.2,5,0.3,0.12,0.2,0.09,84.6,0.23,0.02,1.64,1.35,NA,0.72,NA,-0.84,"2024-12-15","Sunday"
"57","RB57","Dernest Johnson","2024_15_NYJ_JAX",-0.159,6.1,5.4,26.3,0.1,40.5,"NYJ",3,1,3,3.9,0,0.1,1.2,0.82,70.9,0.16,-0.046,0.11,0.39,NA,-0.48,NA,-0.92,"2024-12-15","Sunday"
