player_name,sample_size,baseline,major_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Eckroat, Austin",150,0.302,-0.092,24,0.030,0.051,-0.011,-0.006,-0.040,0.004,-0.016,-0.002,-0.013,0.220,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Svensson, Adam",150,0.399,-0.099,29,0.012,-0.011,-0.006,-0.034,-0.040,-0.012,-0.012,0.003,-0.022,0.199,2.955,"U.S. Open","The Los Angeles Country Club (North Course)"
"Hardy, Nick",150,0.019,0.046,27,0.019,0.037,0.003,0.087,-0.040,0.021,0.004,-0.004,0.021,0.192,2.889,"U.S. Open","The Los Angeles Country Club (North Course)"
"Wu, Dylan",150,0.125,-0.041,26,0.021,0.060,0.020,0.040,-0.040,-0.002,-0.005,0.000,-0.006,0.178,2.886,"U.S. Open","The Los Angeles Country Club (North Course)"
"Suh, Justin",150,0.373,-0.033,26,0.024,0.034,0.008,-0.202,-0.040,-0.004,-0.009,0.003,-0.010,0.155,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Norrman, Vincent",150,0.037,-0.080,25,0.026,0.046,0.010,0.122,-0.040,0.033,0.004,-0.004,0.034,0.154,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Sargent, Gordon",150,0.197,-0.121,20,0.046,-0.003,0.059,-0.006,-0.040,0.021,0.008,-0.007,0.022,0.153,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Noren, Alex",150,0.557,-0.021,40,-0.030,0.055,-0.043,-0.368,-0.040,-0.009,0.013,0.015,0.020,0.130,2.865,"U.S. Open","The Los Angeles Country Club (North Course)"
"Stallings, Scott",150,0.006,0.018,38,-0.020,0.014,0.008,0.120,-0.040,0.011,0.012,-0.000,0.022,0.128,2.948,"U.S. Open","The Los Angeles Country Club (North Course)"
"Langasque, Romain",150,0.101,0.028,28,0.016,-0.038,-0.027,0.046,-0.040,0.017,0.016,0.002,0.036,0.123,2.900,"U.S. Open","The Los Angeles Country Club (North Course)"
"Ortiz, Carlos",150,0.188,-0.101,32,0.002,0.004,-0.002,0.011,-0.040,0.008,0.007,-0.000,0.014,0.076,2.948,"U.S. Open","The Los Angeles Country Club (North Course)"
"Wise, Aaron",150,0.060,0.103,26,0.021,0.027,-0.107,-0.022,-0.040,0.014,0.004,0.007,0.024,0.066,2.908,"U.S. Open","The Los Angeles Country Club (North Course)"
"Pendrith, Taylor",150,-0.041,0.005,32,0.002,0.062,-0.001,0.026,-0.040,0.030,0.021,-0.001,0.050,0.063,2.936,"U.S. Open","The Los Angeles Country Club (North Course)"
"Thompson, Davis",150,-0.139,-0.072,24,0.031,0.012,0.004,0.171,-0.040,0.030,0.002,-0.003,0.029,-0.004,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Streelman, Kevin",150,0.258,0.083,44,-0.043,-0.094,0.002,-0.155,-0.040,-0.014,-0.012,0.001,-0.025,-0.013,2.896,"U.S. Open","The Los Angeles Country Club (North Course)"
"Ancer, Abraham",150,0.028,0.103,32,0.001,0.030,-0.109,-0.005,-0.040,-0.007,-0.029,-0.003,-0.039,-0.030,2.885,"U.S. Open","The Los Angeles Country Club (North Course)"
"Dahmen, Joel",150,0.006,0.083,35,-0.010,-0.080,-0.016,0.055,-0.040,-0.011,-0.016,-0.005,-0.032,-0.033,2.891,"U.S. Open","The Los Angeles Country Club (North Course)"
"Horschel, Billy",150,0.074,0.033,36,-0.014,-0.056,-0.017,-0.046,-0.040,-0.004,-0.007,0.006,-0.005,-0.071,2.899,"U.S. Open","The Los Angeles Country Club (North Course)"
"Hoffman, Charley",150,-0.272,0.064,46,-0.049,-0.053,-0.002,0.124,-0.040,0.018,0.014,-0.009,0.023,-0.205,2.911,"U.S. Open","The Los Angeles Country Club (North Course)"
"Cink, Stewart",150,-0.124,0.226,50,-0.062,-0.073,0.016,-0.189,-0.040,0.010,0.011,-0.003,0.018,-0.229,2.948,"U.S. Open","The Los Angeles Country Club (North Course)"
"Molinari, Francesco",150,-0.235,0.219,40,-0.028,-0.017,-0.046,-0.077,-0.040,-0.019,-0.008,-0.000,-0.027,-0.252,2.983,"U.S. Open","The Los Angeles Country Club (North Course)"
"Young, Carson",150,-0.132,-0.080,28,0.015,0.042,0.001,-0.097,-0.040,-0.011,-0.014,-0.003,-0.027,-0.318,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Pavon, Matthieu",150,-0.281,-0.049,30,0.007,0.007,0.001,0.022,-0.040,0.009,0.003,-0.003,0.009,-0.323,2.917,"U.S. Open","The Los Angeles Country Club (North Course)"
"Mickelson, Phil",150,-0.574,0.285,53,-0.073,-0.015,0.128,-0.050,-0.040,-0.004,0.017,-0.003,0.009,-0.329,2.987,"U.S. Open","The Los Angeles Country Club (North Course)"
"Larrazabal, Pablo",150,-0.221,-0.131,40,-0.027,0.033,0.072,-0.163,-0.040,-0.013,0.017,0.006,0.011,-0.466,2.979,"U.S. Open","The Los Angeles Country Club (North Course)"
"Thorbjornsen, Michael",150,-0.413,-0.085,21,0.039,0.006,-0.043,0.002,-0.040,0.027,0.014,-0.004,0.038,-0.496,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Meissner, Mac",150,-0.542,-0.080,24,0.030,0.005,0.050,-0.027,-0.040,0.006,0.010,-0.006,0.010,-0.594,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Puig Currius, David",150,-0.789,-0.080,21,0.040,0.000,0.106,0.002,-0.040,0.024,0.032,-0.002,0.054,-0.706,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Nienaber, Wilco",150,-0.965,-0.090,23,0.034,0.055,0.020,0.178,-0.040,0.073,0.035,-0.010,0.099,-0.709,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Grant, Brent",150,-0.913,-0.080,27,0.020,0.040,-0.015,0.252,-0.040,0.036,-0.004,-0.017,0.015,-0.722,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Bennett, Sam",150,-0.716,0.010,23,0.033,0.029,-0.014,-0.001,-0.040,-0.003,-0.026,-0.011,-0.041,-0.740,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Capan III, Frankie",150,-0.870,-0.080,23,0.033,0.000,0.253,-0.035,-0.040,-0.007,0.003,-0.003,-0.008,-0.748,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Echavarria, Nicolas",150,-0.637,-0.095,28,0.014,0.011,0.014,-0.039,-0.040,0.001,0.005,-0.003,0.002,-0.770,2.968,"U.S. Open","The Los Angeles Country Club (North Course)"
"Fisher, Ross",150,-1.015,0.095,42,-0.035,0.008,-0.008,0.184,-0.040,0.024,0.009,-0.021,0.013,-0.799,2.920,"U.S. Open","The Los Angeles Country Club (North Course)"
"Gerard, Ryan",150,-0.795,-0.088,23,0.032,0.042,0.055,-0.013,-0.040,-0.003,-0.005,-0.010,-0.017,-0.824,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Forsstrom, Simon",150,-0.688,-0.080,34,-0.005,-0.039,0.043,-0.015,-0.040,-0.006,-0.001,-0.003,-0.011,-0.835,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Summerhays, Preston",150,-0.991,-0.076,20,0.043,-0.001,0.168,0.005,-0.040,0.015,0.014,-0.011,0.018,-0.875,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Lawrence, Thriston",150,-0.883,-0.035,26,0.022,0.044,0.045,-0.023,-0.040,-0.006,-0.005,-0.007,-0.018,-0.888,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Haley II, Paul",150,-0.621,-0.080,35,-0.010,0.039,0.005,-0.144,-0.040,-0.038,-0.014,-0.000,-0.052,-0.904,2.950,"U.S. Open","The Los Angeles Country Club (North Course)"
"Solomon, Jacob",150,-0.874,-0.080,26,0.023,0.000,0.103,-0.034,-0.040,-0.007,0.003,-0.004,-0.009,-0.911,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Lebioda, Hank",150,-0.822,-0.080,29,0.012,-0.001,-0.020,0.018,-0.040,-0.002,0.001,-0.004,-0.005,-0.939,2.915,"U.S. Open","The Los Angeles Country Club (North Course)"
"Sloan, Roger",150,-0.741,-0.091,36,-0.012,-0.023,0.029,-0.058,-0.040,-0.017,0.005,-0.003,-0.015,-0.952,2.962,"U.S. Open","The Los Angeles Country Club (North Course)"
"Armour, Ryan",150,-0.553,-0.098,47,-0.052,0.006,-0.013,-0.147,-0.040,-0.045,-0.034,-0.008,-0.086,-0.983,2.899,"U.S. Open","The Los Angeles Country Club (North Course)"
"Kaymer, Martin",150,-0.648,0.154,38,-0.021,-0.002,-0.306,-0.124,-0.040,-0.018,0.012,-0.007,-0.013,-1.000,2.948,"U.S. Open","The Los Angeles Country Club (North Course)"
"Rey, Alejandro Del",150,-1.120,-0.080,25,0.026,-0.036,0.033,0.050,-0.040,0.060,0.039,-0.004,0.094,-1.073,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Brennan, Michael",150,-1.203,-0.080,21,0.041,0.001,0.145,0.030,-0.040,0.027,0.008,-0.013,0.022,-1.085,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Katsuragawa, Yuto",150,-0.979,-0.057,24,0.029,0.010,-0.003,-0.034,-0.040,-0.003,-0.015,-0.020,-0.038,-1.112,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Dunlap, Nick",150,-1.385,-0.103,19,0.048,0.004,0.257,0.042,-0.040,0.039,0.031,-0.009,0.060,-1.117,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Germishuys, Deon",150,-1.083,-0.080,23,0.033,0.020,0.018,-0.038,-0.040,0.008,0.013,-0.006,0.015,-1.155,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Moldovan, Maxwell",150,-1.081,-0.090,21,0.041,0.003,0.028,-0.019,-0.040,0.002,0.006,-0.011,-0.003,-1.160,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Barjon, Paul",150,-1.071,-0.084,30,0.007,0.023,-0.075,0.050,-0.040,0.026,0.003,-0.014,0.015,-1.174,2.902,"U.S. Open","The Los Angeles Country Club (North Course)"
"Ishikawa, Ryo",150,-1.203,0.097,31,0.003,0.012,-0.012,-0.045,-0.040,-0.009,0.023,-0.006,0.008,-1.179,2.972,"U.S. Open","The Los Angeles Country Club (North Course)"
"Potgieter, Aldrich",81,-1.500,-0.095,18,0.089,0.025,0.228,0.056,-0.040,0.056,0.015,-0.018,0.053,-1.185,2.945,"U.S. Open","The Los Angeles Country Club (North Course)"
"Cover, Patrick",150,-1.253,-0.080,27,0.019,-0.000,0.061,-0.065,-0.040,-0.013,0.009,-0.013,-0.017,-1.375,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Vilips, Karl",150,-1.233,-0.080,21,0.039,0.000,-0.022,-0.039,-0.040,-0.010,0.004,-0.007,-0.013,-1.389,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Dantorp, Jens",150,-1.304,-0.140,34,-0.005,-0.002,0.042,0.002,-0.040,-0.011,-0.000,-0.009,-0.020,-1.467,2.928,"U.S. Open","The Los Angeles Country Club (North Course)"
"Wenyi, Ding",126,-1.314,-0.080,18,0.049,-0.045,-0.048,-0.010,-0.040,0.008,0.016,-0.009,0.016,-1.471,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Brown, Barclay",150,-1.613,-0.072,22,0.037,0.000,0.129,0.010,-0.040,0.015,0.019,-0.008,0.026,-1.523,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Fernandez de Oliveira, Mateo",150,-1.468,-0.098,23,0.033,0.024,0.038,-0.023,-0.040,-0.009,0.014,-0.003,0.003,-1.531,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Nagano, Ryutaro",150,-1.516,-0.077,35,-0.009,0.012,0.020,-0.046,-0.040,-0.014,0.006,-0.009,-0.017,-1.672,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Charoenkul, Gunn",150,-1.552,-0.102,31,0.005,-0.000,0.007,-0.016,-0.040,-0.008,-0.009,-0.012,-0.029,-1.727,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Carr, Ben",150,-1.769,-0.087,22,0.035,-0.005,0.048,0.019,-0.040,0.015,0.003,-0.016,0.002,-1.796,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Henson, Berry",150,-1.686,-0.080,43,-0.040,0.002,0.020,0.011,-0.040,0.008,0.002,-0.013,-0.003,-1.816,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
