"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","course_fit","own_change","adj_own","one","date","tournament"
"63","Tom Hoge",23258500,7000,60.42,59.43,0.61,88.5,29,50.4,1.4,51.9,0.04,1.0470039934262,0.008,194,0.028,156,0.288,55,0.138,127,0.461,83,-1.551,245,0.026,111,0.459,33,-0.001,-0.035,0.025,0.013,0,-0.011,-0.059,-0.013,-0.083,0.119,0.5215,0.0942,0.0374,0.0159,0.0021,0.3,-0.38,-0.47,-2.21,0,1,2022-07-01,"Open Championship"
"64","Harris English",23258501,7000,56.85,52.6,2.3,84,27,50.2,1.4,51.6,0.02,2.34239212536208,0.353,24,0.265,15,-0.023,174,-0.404,329,0.191,120,-1.268,237,0.006,171,0.521,32,-0.001,-0.004,-0.136,-0.189,0.001,-0.009,-0.012,0.033,0.011,0.044,0.4975,0.0858,0.0347,0.0133,0.0018,0.26,-0.42,0.84,2.31,5,1,2022-07-01,"Open Championship"
"65","Si Woo Kim",23321377,7000,61.12,61.17,1.8,90,29,55.7,2.2,57.8,0.36,2.09538545652339,0.035,175,0.218,29,0.225,74,0.309,62,0.786,50,-0.045,216,0.05,58,0.624,27,0.019,-0.002,0.005,0.141,0,-0.001,-0.116,0.001,-0.115,0.579,0.5984,0.1484,0.0682,0.0299,0.0047,0.67,-0.01,0.25,0.86,5,1,2022-07-01,"Open Championship"
"66","Aaron Wise",23321384,7000,67.58,59.75,4,88.5,29,60.8,3,63.7,0.67,7.32723900910985,0.08,145,0.156,61,0.542,25,0.366,53,1.143,22,6.086,103,0.014,143,1.107,26,0.022,0.033,-0.009,-0.011,0,0.04,-0.031,-0.016,-0.006,0.907,0.6528,0.2105,0.1063,0.0514,0.01,1.43,0.75,0.55,3.05,10,1,2022-07-01,"Open Championship"
"67","Hao-Tong Li",23258502,6900,73.31,47.41,4.9,80,26,57,2.2,59.1,0.45,4.71500276935084,0.276,47,-0.058,231,0.161,93,-0.47,346,-0.091,168,4.278,135,-0.094,416,-0.194,26,0.019,-0.016,0.202,-0.102,0.054,0.028,0.221,0.003,0.252,0.502,0.5798,0.1531,0.0711,0.0355,0.0059,0.86,0.26,-0.17,-0.2,5,1,2022-07-01,"Open Championship"
"68","Min Woo Lee",23258503,6900,38.58,52.46,0.88,83.5,27.5,55.1,2,57.1,0.35,2.51404562550754,-0.011,211,0.121,86,-0.203,244,0.386,43,0.293,105,16.56,18,-0.043,333,-0.19,23,0.029,0.107,-0.006,0.352,-0.007,0.11,0.101,0.017,0.228,0.463,0.5816,0.1377,0.0615,0.0275,0.0043,0.62,0.02,0.28,1.01,5,1,2022-07-01,"Open Championship"
"69","Keith Mitchell",23258504,6900,70.22,68.12,9.7,95,31.5,60.4,2.9,63.3,0.68,8.90362703752517,0.372,17,0.034,144,0.074,128,0.541,20,1.021,33,12.415,37,0.001,184,1.07,30,0.007,0.041,-0.015,-0.082,0,0.082,-0.002,0.017,0.097,0.88,0.6491,0.1984,0.0963,0.0448,0.0081,1.17,0.57,0.97,4.25,15,1,2022-07-01,"Open Championship"
"70","Kevin Kisner",23258505,6900,55.38,59.15,2.3,88.5,29,48.9,1.3,50.2,-0.01,3.98694773032951,0.308,29,0.199,39,-0.048,186,-0.21,250,0.249,110,-8.307,353,0.044,71,0.477,38,-0.019,-0.05,0.042,-0.201,-0.002,-0.056,-0.101,0.028,-0.129,-0.089,0.4762,0.0779,0.0302,0.0124,0.0018,0.26,-0.34,0.27,0.43,5,1,2022-07-01,"Open Championship"
"71","Lucas Herbert",23258506,6900,53.59,52.33,8.7,84,27.5,59.1,2.6,61.7,0.59,4.83476490690235,0.519,2,0.185,43,-0.212,245,-0.095,220,0.397,89,10.644,44,-0.08,402,0.372,26,0.02,0.094,0.028,-0.117,0.019,0.07,0.188,0.047,0.305,0.78,0.6364,0.1912,0.0935,0.0452,0.0076,1.1,0.5,1.3,5.3,10,1,2022-07-01,"Open Championship"
"72","Nicolai Hojgaard",23258507,6900,40.93,53.04,0.23,84,28,45.8,0.9,46.7,-0.12,1.72521863243608,-0.096,269,-0.238,380,-0.179,233,-0.065,210,-0.578,263,20.907,4,-0.1,422,-0.736,21,0.037,-0.024,-0.056,0.201,-0.007,0.139,0.235,-0.007,0.366,-0.29,0.4505,0.0605,0.021,0.008,8e-04,0.12,-0.48,-0.87,-3.77,0,1,2022-07-01,"Open Championship"
"73","Adri Arnaus",23258508,6900,66.53,49.54,1.4,80.5,26.5,58.3,2.4,60.7,0.54,3.4675404131657,0.274,48,-0.047,220,0.034,145,0.198,99,0.46,84,14.168,24,-0.065,377,0.301,27,0.016,0.032,0.001,0.109,0.012,0.094,0.153,0.01,0.257,0.67,0.6124,0.1727,0.0832,0.0393,0.0067,0.97,0.37,0.4,1.95,5,1,2022-07-01,"Open Championship"
"74","Brian Harman",23321376,6900,58.4,67.39,2.3,94,31,51.7,1.7,53.4,0.15,2.74352912106348,0.089,135,0.183,45,0.196,83,0.281,70,0.749,56,-6.088,326,0.078,22,0.796,35,-0.009,-0.111,0.014,0.06,0,-0.041,-0.181,0.004,-0.218,0.267,0.5475,0.1096,0.0445,0.0183,0.0024,0.35,-0.25,0.03,-0.27,0,1,2022-07-01,"Open Championship"
"75","Kurt Kitayama",23321378,6900,51.35,50.69,3.1,82,27,53.8,1.8,55.5,0.26,3.26995364283775,-0.067,252,0.017,166,0.176,89,0.166,114,0.292,106,13.293,31,-0.067,380,0.089,29,0.01,0.028,0.055,0.109,0,0.088,0.158,-0.011,0.235,0.366,0.5671,0.1292,0.0571,0.0253,0.0039,0.57,-0.03,-0.22,-0.82,0,1,2022-07-01,"Open Championship"
"76","Chris Kirk",23258509,6800,64.15,70.12,4.5,96,31.5,54.6,2,56.5,0.34,4.16297247572555,0.016,189,0.29,7,0.22,75,0.307,64,0.831,47,-1.618,246,0.047,66,0.847,37,-0.015,-0.096,0.02,0.075,0,-0.011,-0.109,0.004,-0.116,0.453,0.5798,0.1379,0.059,0.0251,0.0037,0.54,0.02,0.32,1.15,5,1,2022-07-01,"Open Championship"
"77","Dylan Frittelli",23258510,6800,54.75,53.08,2.3,83.5,27.5,55.4,2,57.4,0.39,3.06486182161936,0.004,198,0.113,90,0.159,94,0.008,174,0.284,108,5.558,109,-0.067,379,0.133,32,0.002,0.074,0.003,0.073,0.011,0.037,0.157,-0.002,0.192,0.482,0.5851,0.141,0.0624,0.0267,0.004,0.59,0.07,-0.19,-0.56,0,1,2022-07-01,"Open Championship"
"78","Mackenzie Hughes",23258511,6800,56.54,53.59,3.8,84.5,28,53.7,1.9,55.6,0.29,2.36534330530848,0.417,11,0.209,34,-0.025,175,-0.27,276,0.331,97,0.023,214,-0.027,280,0.494,31,0.004,0.019,-0.023,-0.162,0,0,0.063,0.033,0.096,0.406,0.5708,0.1238,0.0532,0.0223,0.0028,0.41,-0.11,0.8,2.63,5,1,2022-07-01,"Open Championship"
"79","Stewart Cink",23258512,6800,51.38,56.17,2.1,86,28,54.1,1.8,56,0.31,2.04177059797412,-0.007,207,-0.11,289,0.081,120,0.259,76,0.223,114,5.755,106,-0.017,247,0.301,49,-0.054,-0.039,0.016,-0.001,0.03,0.038,0.042,-0.01,0.07,0.328,0.5475,0.12,0.0536,0.0234,0.0034,0.5,-0.02,-0.73,-2.58,0,1,2022-07-01,"Open Championship"
"80","Guido Migliozzi",23258513,6800,39.78,39.96,0.3,70.5,23.5,41.4,0.6,42,-0.25,0.664106877546248,0.001,201,-0.179,342,-0.481,343,-0.422,333,-1.081,343,4.324,134,-0.058,365,-1.089,25,0.024,-0.067,-0.021,0.072,0.005,0.028,0.136,0.016,0.18,-0.836,0.3448,0.0287,0.0093,0.0029,0,0,-0.52,-1.36,-5.54,0,1,2022-07-01,"Open Championship"
"81","Justin Harding",23258514,6800,68.42,60.75,0.82,89.5,29.5,49.6,1.3,50.9,0.04,1.25870802358592,0.139,103,0.097,99,0.095,115,-0.147,235,0.182,121,-8.223,350,0.047,65,0.271,36,-0.012,-0.003,0.006,-0.08,-0.013,-0.055,-0.109,0.007,-0.158,-0.056,0.4808,0.0752,0.0298,0.0112,0.0016,0.24,-0.28,-0.34,-1.61,0,1,2022-07-01,"Open Championship"
"82","Kyoung-Hoon Lee",23258515,6800,62.09,63.78,2.4,90.5,30,55.9,2.2,58.1,0.42,2.5701106687662,0.13,109,0.133,76,0.153,96,0.227,85,0.643,67,2.195,174,0.034,94,0.644,30,0.006,0.041,-0.012,-0.037,0,0.014,-0.078,0.006,-0.058,0.528,0.5918,0.1449,0.0657,0.0297,0.0048,0.71,0.19,0.27,1.23,5,1,2022-07-01,"Open Championship"
"83","Luke List",23321379,6800,56.15,62.86,2.7,91,30,57.7,2.5,60.1,0.53,2.86511596256846,-0.491,421,0.034,146,0.579,22,0.765,4,0.886,39,15.415,21,-0.021,262,0.543,37,-0.016,0.04,-0.001,0.32,0,0.102,0.05,-0.052,0.1,0.748,0.631,0.1821,0.0861,0.0388,0.0064,0.94,0.42,-0.75,-1.99,0,1,2022-07-01,"Open Championship"
"84","Sepp Straka",23321382,6800,53.38,54.03,0.49,84,28,50.6,1.5,52,0.1,0.698047504440244,0.236,58,-0.014,190,-0.104,206,0.182,107,0.3,103,6.754,96,0.003,179,0.165,29,0.011,0.063,0.023,0.037,0,0.045,-0.005,0.017,0.056,0.098,0.5146,0.0903,0.037,0.0161,0.0019,0.28,-0.24,0.14,0.13,0,1,2022-07-01,"Open Championship"
"85","Garrick Higgo",23258516,6700,43.45,47.8,0.21,79.5,26.5,43.7,0.8,44.5,-0.16,0.472431074065603,-0.052,236,-0.29,406,-0.135,214,-0.046,197,-0.523,251,9.298,52,-0.039,321,-0.719,23,0.031,0.051,-0.01,0.124,0,0.061,0.093,-0.01,0.144,-0.537,0.3984,0.0414,0.0146,0.0049,5e-04,0.07,-0.36,-1.33,-5.19,0,1,2022-07-01,"Open Championship"
"86","Pablo Larrazabal",23258517,6700,76.04,56.82,0.67,85.5,28,50.3,1.4,51.7,0.11,1.13685979086681,0.215,67,0.192,41,-0.011,170,-0.188,247,0.209,117,-5.18,310,-0.035,304,0.25,39,-0.021,-0.006,0.06,-0.073,0.026,-0.035,0.084,0.021,0.07,0.089,0.5146,0.0936,0.0372,0.0148,0.0024,0.36,-0.07,-0.01,-0.14,0,1,2022-07-01,"Open Championship"
"87","Sam Horsfield",23258518,6700,66.88,67.21,2.7,94,31,59.5,2.7,62.2,0.66,4.39944936876342,0.168,90,-0.049,223,0.428,35,-0.011,184,0.536,79,6.329,101,-0.028,285,0.489,25,0.022,0.021,0.081,-0.078,0.014,0.042,0.067,-0.016,0.093,0.762,0.6241,0.1845,0.0907,0.0436,0.0075,1.12,0.69,0.01,1.07,5,1,2022-07-01,"Open Championship"
"88","Jason Scrivener",23258519,6700,59.25,57.54,0.32,87,29,44.4,0.9,45.2,-0.14,0.671668790889696,0.026,179,-0.114,292,0.097,114,-0.13,229,-0.121,177,-6.991,333,0.015,139,0.01,33,-0.002,-0.068,-0.008,-0.054,0.024,-0.047,-0.033,-0.01,-0.09,-0.414,0.4098,0.0476,0.0161,0.0055,5e-04,0.07,-0.36,-1.24,-4.88,0,1,2022-07-01,"Open Championship"
"89","Padraig Harrington",23258520,6700,61.34,55.32,0.71,85,28,50,1.4,51.5,0.09,2.3990376191921,-0.383,409,0.077,112,0.002,166,-0.026,191,-0.331,213,1.466,187,-0.003,200,-0.324,50,-0.06,-0.047,0.036,0.064,0.092,0.009,0.009,-0.015,0.003,0.071,0.5025,0.0851,0.033,0.0126,0.0017,0.25,-0.18,-1.32,-4.89,0,1,2022-07-01,"Open Championship"
"90","Dean Burmester",23258521,6700,59.46,51.04,3.9,82,27,59.2,2.7,61.8,0.65,5.30644358744791,-0.129,302,0.095,100,0.053,139,0.484,27,0.503,81,19.124,8,-0.062,368,0.271,33,-0.001,-0.028,-0.01,0.271,0.01,0.127,0.146,-0.004,0.269,0.809,0.6454,0.1927,0.0934,0.0447,0.0081,1.21,0.78,0.12,1.59,5,1,2022-07-01,"Open Championship"
"91","Erik Van Rooyen",23258522,6700,52.53,57.57,1.8,88,29,52.5,1.7,54.2,0.24,1.54956649000243,-0.036,227,-0.051,225,0.229,73,0.182,106,0.324,99,3.208,156,0.024,114,0.224,32,0.001,0.101,-0.053,0.05,-0.003,0.021,-0.055,-0.016,-0.05,0.256,0.5349,0.1096,0.0469,0.0204,0.003,0.45,0.02,-0.58,-2,0,1,2022-07-01,"Open Championship"
"92","Emiliano Grillo",23258523,6700,54.5,59.39,2.3,90,29,51.7,1.6,53.3,0.19,2.8680623105416,-0.114,287,-0.116,294,0.141,99,0.456,30,0.367,95,4.893,125,0.057,43,0.268,29,0.009,0.023,-0.007,0.073,-0.005,0.032,-0.132,-0.019,-0.119,0.197,0.5192,0.1034,0.0419,0.0184,0.003,0.45,0.02,-0.81,-2.8,0,1,2022-07-01,"Open Championship"
"93","Shaun Norris",23258524,6600,62.6,46.71,0.35,78,26,41.9,0.6,42.6,-0.2,0.0405602774101806,0.438,10,-0.346,420,-0.391,317,-0.533,365,-0.832,304,-1.294,238,-0.032,295,-0.672,40,-0.025,-0.011,0,-0.125,0,-0.009,0.075,0.024,0.091,-0.703,0.3597,0.032,0.0106,0.0037,0,0,-0.35,-0.98,-3.95,0,1,2022-07-01,"Open Championship"
"94","Phil Mickelson",23258525,6600,43.71,39.62,0.69,70,24,39.4,0.5,39.9,-0.29,0.904273438680834,-0.169,332,-0.063,239,-0.578,370,-0.344,311,-1.154,354,1.906,178,-0.051,350,-0.881,52,-0.064,0.009,-0.216,-0.003,0,0.012,0.12,0.018,0.15,-1.025,0.3135,0.0221,0.0066,0.002,0,0,-0.35,-1.59,-6.09,0,1,2022-07-01,"Open Championship"
"95","Scott Vincent",23258526,6600,52.12,51.59,0.18,83.5,27,44.8,0.9,45.6,-0.11,0.0405602774101806,0.278,45,-0.258,391,-0.599,373,0.118,133,-0.461,237,5.259,118,-0.018,250,-0.564,30,0.008,-0.001,0.064,0.033,0,0.035,0.043,0.032,0.109,-0.452,0.4132,0.0456,0.016,0.0059,6e-04,0.09,-0.26,-0.82,-3.26,0,1,2022-07-01,"Open Championship"
"96","Richard Mansell",23258527,6600,59.1,58.41,0.29,88.5,29,52.7,1.8,54.5,0.28,1.03783292398688,-0.128,301,-0.249,387,-0.095,204,0.439,35,-0.033,158,13.721,25,-0.032,297,-0.406,27,0.018,0.035,0.091,0.229,0,0.091,0.076,-0.014,0.153,0.29,0.5516,0.1179,0.0508,0.0221,0.0035,0.53,0.18,-1.12,-3.65,0,1,2022-07-01,"Open Championship"
"97","Thomas Detry",23258529,6600,66.18,58,5.6,88.5,29,54.7,2,56.7,0.4,3.52005725651558,0.173,86,-0.03,206,-0.108,208,0.158,117,0.193,119,10.786,42,-0.049,344,0.109,29,0.01,-0.008,-0.004,0.085,-0.004,0.071,0.115,0.013,0.2,0.449,0.5781,0.135,0.0592,0.0266,0.0039,0.59,0.24,0.01,0.39,5,1,2022-07-01,"Open Championship"
"98","Wyndham Clark",23258530,6600,54.85,55,4.8,85,28,57,2.2,59.2,0.53,4.79118957168511,0.303,32,0.17,48,-0.13,213,0.21,91,0.552,77,16.599,17,-0.069,384,0.363,28,0.013,0.014,-0.009,0.17,0,0.11,0.162,0.031,0.304,0.661,0.6063,0.1639,0.0742,0.0346,0.0052,0.79,0.44,1.12,4.58,10,1,2022-07-01,"Open Championship"
"99","Matthew Jordan",23258531,6600,55.7,52.31,0.52,83.5,27.5,50.5,1.5,52,0.15,1.24092855818969,-0.003,204,0.101,97,-0.406,323,-0.163,240,-0.47,241,3.672,145,-0.065,374,-0.579,26,0.02,-0.027,-0.004,0.12,0.036,0.024,0.152,0.026,0.202,0.12,0.5215,0.0959,0.04,0.0171,0.0024,0.36,0.01,-0.59,-2.05,0,1,2022-07-01,"Open Championship"
"100","Zach Johnson",23258532,6500,40.6,52.04,0.7,82.5,27.5,43.1,0.8,43.9,-0.15,2.26195685283829,0.166,91,0.128,80,-0.266,263,-0.471,347,-0.442,235,-13.912,403,0.03,105,-0.002,46,-0.045,-0.073,-0.061,-0.261,0.024,-0.093,-0.068,0.028,-0.133,-0.514,0.4032,0.0411,0.0135,0.0047,7e-04,0.11,-0.17,-0.7,-2.7,0,1,2022-07-01,"Open Championship"
"101","David Law",23258533,6500,60.5,55.53,0.25,85.5,28,50.3,1.4,51.8,0.16,0.529957275350041,-0.064,249,-0.114,293,0.039,144,-0.01,183,-0.148,181,-1.864,249,0.003,178,-0.27,31,0.005,0.055,0.039,0.023,-0.01,-0.013,-0.007,-0.011,-0.031,0.138,0.5146,0.0897,0.0359,0.014,0.0018,0.28,0,-1.24,-4.34,0,1,2022-07-01,"Open Championship"
"102","Sihwan Kim",23258535,6500,41.42,39.49,0.16,70.5,24,40.9,0.6,41.5,-0.22,0.0405602774101806,0.199,75,0.105,94,-0.404,322,-0.746,392,-0.846,311,-2.752,264,-0.039,320,-0.864,33,-0.003,0,0.033,-0.011,-0.002,-0.019,0.093,0.036,0.11,-0.815,0.3497,0.0292,0.0091,0.0033,0,0,-0.28,-0.36,-1.68,0,1,2022-07-01,"Open Championship"
"103","Thriston Lawrence",23258536,6500,72.06,55.67,1.2,85.5,28.5,52.8,1.7,54.6,0.31,2.60632780710459,0.182,82,-0.175,341,-0.04,181,0.263,74,0.23,112,3.475,150,-0.007,212,0.112,25,0.023,0.041,0.031,0.022,0.011,0.023,0.017,0.002,0.042,0.3,0.5455,0.1155,0.0481,0.0208,0.0034,0.52,0.24,-0.62,-1.81,0,1,2022-07-01,"Open Championship"
"104","Marcus Armitage",23258537,6500,66.25,55.61,0.42,85,28.5,52.4,1.7,54.1,0.28,0.897604086536847,-0.21,350,-0.085,263,0.272,61,0.046,159,0.023,153,3.727,143,-0.035,303,-0.086,35,-0.008,0.015,0.014,0.088,0.004,0.024,0.083,-0.029,0.079,0.3,0.5434,0.1089,0.0467,0.0204,0.0026,0.4,0.12,-1.21,-4.06,0,1,2022-07-01,"Open Championship"
"105","Richard Bland",23258538,6500,48.23,55.78,0.46,85.5,28.5,47.9,1.2,49.1,0.02,1.20936317058478,-0.089,264,0.02,162,0.134,102,-0.356,314,-0.29,205,-12.795,393,0.045,70,-0.06,49,-0.055,-0.03,-0.011,-0.135,0.051,-0.085,-0.104,-0.011,-0.2,-0.122,0.4673,0.0681,0.0259,0.0098,0.0013,0.2,-0.08,-1.33,-4.77,0,1,2022-07-01,"Open Championship"
"106","Laurie Canter",23258539,6500,64.38,49.68,0.5,81,26.65,54.4,2,56.4,0.41,1.87904144135318,-0.11,281,-0.293,408,0.053,138,0.494,26,0.144,131,10.285,47,-0.01,227,-0.018,32,0,0.023,0.005,0.133,-0.009,0.068,0.025,-0.023,0.07,0.39,0.5633,0.1269,0.0552,0.0248,0.0038,0.58,0.3,-1.26,-3.96,0,1,2022-07-01,"Open Championship"
"107","Fabrizio Zanotti",23258541,6400,71.81,48.53,0.95,80,26.5,48.1,1.2,49.3,0.05,1.87455868318016,-0.151,318,-0.046,219,0.18,87,0.197,100,0.18,122,-5.892,321,0.101,7,0.147,39,-0.021,-0.019,0.051,0.022,-0.011,-0.04,-0.233,-0.019,-0.292,-0.084,0.4739,0.0725,0.0273,0.01,0.0016,0.25,0.04,-1.13,-3.89,0,1,2022-07-01,"Open Championship"
"108","John Catlin",23258543,6400,51.96,55.51,0.54,86.5,28,44.5,0.9,45.4,-0.09,0.470675269716371,-0.126,298,-0.066,242,-0.078,196,0.291,69,0.021,154,-3.659,284,0.092,9,-0.139,31,0.003,0.003,-0.019,0.172,0.011,-0.025,-0.213,-0.006,-0.243,-0.353,0.4202,0.0475,0.0165,0.0057,6e-04,0.09,-0.12,-1.15,-4.2,0,1,2022-07-01,"Open Championship"
"109","Alexander Bjork",23258546,6400,55.73,51.69,1.2,83.5,27.5,47,1.1,48.1,-0.01,1.41172203964407,0.513,3,0.13,78,-0.098,205,-0.7,385,-0.155,185,-11.692,380,0.02,128,0.176,32,0.002,-0.05,0.009,-0.291,-0.002,-0.078,-0.046,0.037,-0.087,-0.198,0.4587,0.0631,0.0229,0.0084,8e-04,0.12,-0.09,0.29,0.88,0,1,2022-07-01,"Open Championship"
"110","Zander Lombard",23258547,6400,55.63,36.84,0.22,64.85,23,45.4,0.9,46.3,-0.06,0.0405602774101806,-0.25,373,-0.164,328,-0.395,318,-0.084,215,-0.893,316,5.324,115,-0.052,356,-1.205,27,0.017,-0.016,0.011,0.3,0.019,0.035,0.122,0,0.156,-0.441,0.4149,0.0504,0.019,0.0071,8e-04,0.12,-0.09,-1.81,-6.47,0,1,2022-07-01,"Open Championship"
"111","Lars Van Meijel",23258552,6300,38.38,34.73,0.07,43.35,22.5,38.7,0.5,39.2,-0.27,0.0405602774101806,-0.145,314,-0.078,255,-0.563,363,-0.558,368,-1.344,367,8.885,57,-0.12,431,-1.469,28,0.015,0.004,0.016,0.09,0,0.059,0.28,0.018,0.357,-1.023,0.3049,0.0198,0.0053,0.0018,0,0,-0.14,-1.39,-5.07,0,1,2022-07-01,"Open Championship"
"112","Ashley Chesters",23258553,6300,39.14,44.42,0.09,76,25.5,34.9,0.3,35.2,-0.39,0.0555085254678131,-0.352,401,-0.141,317,-0.196,239,-0.425,336,-1.114,350,-23.944,431,0.146,1,-1.158,32,-0.001,-0.011,-0.002,0.057,0.045,-0.16,-0.339,-0.015,-0.515,-1.42,0.2469,0.0098,0.0028,7e-04,0,0,-0.14,-2.87,-10.25,0,1,2022-07-01,"Open Championship"
"113","Jamie Donaldson",23321375,6300,47.79,46.91,0.48,78,26,40.5,0.6,41,-0.21,1.13725068385473,0.155,96,-0.102,281,-0.33,291,-0.564,371,-0.841,309,-11.35,375,0.022,122,-0.494,46,-0.046,-0.095,-0.015,-0.191,0.04,-0.076,-0.05,0.019,-0.107,-0.854,0.3425,0.0267,0.0092,0.0032,0,0,-0.14,-1.3,-4.76,0,1,2022-07-01,"Open Championship"
"114","Trey Mullinax",23321380,6200,52.89,46.92,0.43,78,26,49.6,1.3,50.9,0.19,1.5362552291222,-0.196,340,-0.192,349,-0.026,177,0.345,57,-0.069,164,16.94,16,-0.08,401,-0.295,30,0.009,0.048,-0.006,0.176,0,0.112,0.188,-0.018,0.283,-0.029,0.4902,0.0792,0.0303,0.012,0.0014,0.23,0.16,-1.06,-3.47,0,1,2022-07-01,"Open Championship"
"115","Matt Ford",23258568,6100,27.6,32.46,0.02,38.5,21,27.8,0.1,27.9,-0.58,0.0405602774101806,0.127,111,-0.167,332,-1.482,432,-1.073,420,-2.595,427,-23.196,429,0.004,176,-2.498,44,-0.038,0.003,-0.086,0.024,-0.015,-0.155,-0.008,0.074,-0.089,-2.394,0.1239,0.0016,0,0,0,0,-0.01,-2.75,-9.64,0,1,2022-07-01,"Open Championship"
"116","Brandon Wu",23321385,6100,52,54.25,0.9,84.5,27.5,46.5,1,47.6,0.04,1.31093022061233,0,202,-0.236,378,0.043,141,0.172,111,-0.021,157,-1.19,235,0.012,151,-0.102,25,0.024,0.015,0.011,0.032,0.007,-0.008,-0.026,-0.014,-0.049,-0.228,0.4525,0.0617,0.0221,0.008,8e-04,0.13,0.12,-1.38,-4.65,0,1,2022-07-01,"Open Championship"
"117","Oliver Farr",23258583,6000,46.65,40.08,0.02,70.85,23.5,36.4,0.4,36.8,-0.29,0.0405602774101806,0.064,155,-0.137,315,-0.51,347,-0.453,342,-1.037,337,-13.745,401,0.081,19,-0.928,34,-0.005,-0.062,0.002,-0.043,-0.003,-0.092,-0.188,0.022,-0.257,-1.236,0.2725,0.0139,0.0037,0.0011,0,0,0.04,-1.66,-5.75,0,1,2022-07-01,"Open Championship"
