player_name,sample_size,baseline,links_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Kaewkanjana, Sadom",150,-0.918,-0.028,24,0.028,-0.020,0.058,-0.003,0.000,-0.028,-0.035,-0.010,-0.074,-0.956,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Kennedy, Brad",150,-0.568,-0.081,48,-0.050,0.000,0.030,-0.017,0.000,-0.109,-0.217,0.035,-0.292,-0.977,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Van Meijel, Lars",150,-1.469,-0.036,28,0.015,0.004,0.016,0.090,0.000,0.059,0.280,0.018,0.357,-1.023,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Mickelson, Phil",150,-0.881,-0.021,52,-0.064,0.009,-0.216,-0.003,0.000,0.012,0.120,0.018,0.150,-1.025,3.036,"The Open Championship","St. Andrews Links (Old Course)"
"Kim, Minkyu",150,-0.990,-0.049,21,0.037,-0.004,0.121,-0.051,0.000,-0.109,-0.032,-0.018,-0.159,-1.094,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Rutherford, Jamie",150,-1.295,0.170,30,0.008,0.000,0.013,-0.038,0.000,-0.065,0.053,0.018,0.006,-1.136,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Campbell, Ben",150,-1.414,0.003,30,0.006,0.000,0.170,-0.003,0.000,-0.028,0.044,0.010,0.026,-1.211,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Penge, Marco",150,-1.664,0.002,24,0.028,0.000,0.398,-0.007,0.000,-0.033,0.052,0.010,0.028,-1.215,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Farr, Oliver",150,-0.928,0.061,34,-0.005,-0.062,0.002,-0.043,-0.003,-0.092,-0.188,0.022,-0.257,-1.236,2.961,"The Open Championship","St. Andrews Links (Old Course)"
"Quayle, Anthony",150,-1.309,-0.078,27,0.016,0.000,0.006,0.001,0.000,-0.025,0.040,0.010,0.025,-1.340,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Fernandez-Valdes, Jorge",150,-1.419,-0.042,29,0.009,0.000,0.057,-0.001,0.000,-0.028,0.044,0.011,0.027,-1.370,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Chesters, Ashley",150,-1.158,0.164,32,-0.001,-0.011,-0.002,0.057,0.045,-0.160,-0.339,-0.015,-0.515,-1.420,2.954,"The Open Championship","St. Andrews Links (Old Course)"
"Bairstow, Sam",150,-1.748,0.002,-1,0.000,0.003,0.189,-0.004,0.000,-0.036,0.055,0.012,0.032,-1.528,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Clarke, Darren",150,-2.121,0.544,53,-0.070,-0.002,-0.011,-0.026,0.081,-0.040,0.025,-0.011,-0.026,-1.631,3.045,"The Open Championship","St. Andrews Links (Old Course)"
