"X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
75,"Danny Lee",22991993,6700,50.28,0.002,0.0021,83,9.99999999999998e-05,0.05,37.79,0.88,62,19,0.4016,0.0728,0.0274,0.0101,0.0011,0.31,1,-0.15,-3.56,0,40.31
76,"Ryan Fox",22991996,6700,80.73,0.0033,0.0039,64,6e-04,0.1818,48.53,2.9,70.35,22,0.5283,0.152,0.0684,0.0299,0.0044,0.58,1,0.12,19.02,20,42.52
77,"Kurt Kitayama",22991997,6700,51.82,0.0033,0.0023,82,-0.001,-0.303,45.24,1.9,68.5,21,0.4673,0.1021,0.0408,0.0158,0.0024,0.34,1,-0.12,2.68,5,41.82
78,"Stewart Cink",22991998,6700,51.88,0.0035,0.0032,73,-3e-04,-0.0857,43.16,0.91,66,20.5,0.4525,0.0935,0.0366,0.0162,0.0018,0.48,1,0.02,1.29,0,41.82
79,"Denny McCarthy",23043255,6700,65.26,0.0028,0.0049,57,0.0021,0.75,40.14,2.6,63,19.5,0.5455,0.1471,0.0622,0.0253,0.0039,0.73,1,0.27,7.4,10,47.22
80,"Andrew Novak",22992000,6600,52.97,0.0019,0.002,92,1e-04,0.0526,39.82,0.3,63.5,19.5,0.3448,0.0483,0.0162,0.0051,6e-04,0.3,1,-0.11,-0.76,0,34.07
81,"Sam Horsfield",22992002,6600,76.9,0.0036,0.0036,65,0,0,45.55,0.93,68.5,21.5,0.4902,0.1271,0.0556,0.025,0.004,0.55,1,0.14,14.93,15,39.41
82,"Joel Dahmen",22992005,6600,62.08,0.0039,0.0032,73,-7e-04,-0.1795,40.85,1.4,64,20,0.4902,0.1109,0.0451,0.0186,0.0025,0.48,1,0.07,3.27,5,36.82
84,"Yannik Paul",22992008,6500,62.29,0.002,0.002,92,0,0,37.41,0.29,61,19,0.3086,0.035,0.0105,0.0036,0,0.31,1,-0.06,0.48,0,25.17
85,"Thorbjorn Olesen",22992009,6500,57.85,0.0033,0.002,92,-0.0013,-0.3939,39.21,0.7,62.5,19.5,0.3215,0.0408,0.0143,0.005,7e-04,0.31,1,-0.06,-1.19,0,31.42
86,"Rikuya Hoshino",22992011,6500,51.25,0.0019,0.002,92,1e-04,0.0526,31.57,0.24,55.5,17.5,0.3968,0.0672,0.0245,0.0085,0.0011,0.31,1,-0.06,-9.63,0,40.31
89,"Min Woo Lee",22992019,6400,36.78,0.0033,0.002,92,-0.0013,-0.3939,38.78,1.1,62.5,19.5,0.4464,0.0965,0.0379,0.0147,0.0017,0.31,1,-0.03,-9.84,0,42.71
90,"Harry Hall",22992021,6400,67.25,0.002,0.002,92,0,0,34.24,1.2,58.5,18,0.369,0.0514,0.0173,0.006,5e-04,0.31,1,-0.03,0.03,0,25.17
91,"Beau Hossler",22992023,6400,55.35,0.0039,0.0032,73,-7e-04,-0.1795,36.8,1.2,60.5,19,0.463,0.102,0.0418,0.0173,0.0025,0.5,1,0.16,-2.89,0,39.23
92,"Taylor Montgomery",23043256,6400,85.29,0.0028,0.0023,82,-5e-04,-0.1786,32.47,1.3,56.5,17.5,0.4566,0.1033,0.0415,0.0171,0.0024,0.36,1,0.02,4.96,5,31
93,"Marcel Schneider",22992030,6300,47.77,0.0033,0.002,92,-0.0013,-0.3939,36.42,0.16,60.5,18.5,0.3717,0.0541,0.0194,0.0062,6e-04,0.32,1,-0.01,-7.3,0,30.96
95,"Sean Crocker",22992036,6200,29.14,0.0019,0.002,92,1e-04,0.0526,37.82,0.04,61.5,19.15,0.2967,0.0311,0.0099,0.0036,0,0.32,1,-0.02,-12.45,0,37.55
96,"Nick Hardy",23043251,6200,54.6,0.0028,0.002,92,-8e-04,-0.2857,40.15,0.68,63.5,19.5,0.431,0.0865,0.0332,0.0125,0.0014,0.32,1,-0.02,-1,0,39.23
97,"Richard Mansell",22992048,6100,64.44,0.002,0.0032,73,0.0012,0.6,41.36,0.42,64,20,0.4695,0.1003,0.0405,0.0157,0.0025,0.52,1,0.16,7.24,10,32.26
