player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
David Long Jr.,29367,LB,DET,7,146,0,11,0,-1.3,100.0,70.3,8.3,8.3,0,0,0.0,64.1,0,17,0.0,0,0,149.3,3,26,17.8,37,2,2,3,1,31,35,1.2,10.3,0,3,5.7,92.9,88.4,7.1,6.6,0,0,0.0,32.9,0,37,22.2,4,0,111.3,13,99,67.8,112,1,11,14,0,150,81,1.6,11.5
Germaine Pratt,29407,LB,CIN,11,370,0,7,1,4.0,50.0,67.4,57.0,28.5,0,1,50.0,74.0,0,11,16.7,1,1,66.7,1,60,16.2,89,1,4,2,0,11,11,0.2,11.0,0,5,4.4,80.5,95.4,7.2,5.8,0,1,2.4,44.7,1,30,17.5,7,1,90.0,33,250,67.6,262,15,28,41,0,330,209,1.4,10.0
Chris Board,29456,LB,BLT,3,38,0,3,1,2.0,50.0,100.0,20.0,10.0,0,0,0.0,59.7,0,11,50.0,1,0,66.7,1,24,63.2,24,0,0,2,0,11,9,0.6,11.0,0,0,5.3,100.0,85.7,3.7,3.7,0,0,0.0,63.2,0,9,0.0,0,0,102.8,3,12,31.6,14,1,2,3,0,26,10,2.4,8.7
Logan Wilson,29623,LB,CIN,11,370,0,7,2,-0.8,75.0,67.8,24.0,18.0,0,1,25.0,62.2,0,13,20.0,2,1,88.5,3,78,21.1,115,1,6,4,0,23,23,0.3,7.7,0,9,2.5,91.3,89.2,11.0,10.0,0,0,0.0,58.1,0,18,12.2,5,0,111.8,21,240,64.9,269,12,27,23,1,169,122,0.7,8.0
Andrew Van Ginkel,30267,ED,MIN,11,148,0,18,0,,,28.4,,,0,0,,92.4,1,,0.0,0,0,0.0,0,21,14.2,74,3,2,0,0,0,0,0.0,,0,2,6.7,80.0,39.2,8.8,7.1,0,0,0.0,75.2,1,40,14.3,3,0,77.5,12,113,76.4,288,14,16,15,0,139,64,1.3,11.6
T.J. Edwards,30737,LB,CHI,11,336,0,6,0,8.0,50.0,75.7,25.0,12.5,0,0,0.0,61.7,0,34,0.0,0,0,87.5,2,53,15.8,70,2,3,4,0,42,19,0.8,21.0,0,6,4.4,91.2,90.0,7.7,7.0,0,1,2.9,61.0,1,69,8.6,3,1,105.9,31,251,74.7,279,8,26,34,1,340,243,1.4,11.0
George Odum,31342,S,SF,4,96,0,28,0,52.0,100.0,100.0,20.0,20.0,0,1,100.0,47.7,0,97,50.0,1,1,158.3,1,21,21.9,21,0,1,1,1,97,45,4.9,97.0,0,0,14.5,50.0,100.0,26.0,13.0,0,3,75.0,73.1,0,17,0.0,0,3,67.7,2,53,55.2,53,0,4,4,0,23,18,0.4,11.5
Khalen Saunders,31534,DI,NO,7,3,0,20,0,,,0.0,,,0,0,,50.5,1,,,0,0,0.0,0,0,0.0,40,0,0,0,0,0,0,,,0,0,4.0,100.0,3.0,2.0,2.0,0,0,0.0,58.9,0,6,0.0,0,0,91.7,1,2,66.7,66,1,1,1,0,6,2,3.0,6.0
Dane Jackson,32989,CB,CAR,4,107,0,5,0,9.0,60.0,94.3,10.0,6.0,0,0,0.0,48.3,0,11,50.0,1,0,115.0,3,33,30.8,35,0,1,5,1,28,9,0.9,9.3,0,0,4.4,80.0,92.9,6.1,4.9,0,1,10.0,52.1,0,13,22.2,2,0,89.6,8,52,48.6,56,3,7,10,0,55,34,1.1,6.9
Cam Gill,33560,ED,CAR,4,9,0,5,0,,,10.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,11.1,10,0,0,0,0,0,0,0.0,,0,0,-2.0,100.0,9.7,2.0,2.0,0,0,0.0,43.7,0,0,,0,0,79.2,1,3,33.3,31,0,0,1,0,0,2,0.0,0.0
