"","name","slotName","mar19","jan23","delta","percent_change","projectedPoints","projectedPoints_jan23","projectedPoints_delta","positionRank","teamName","team_abbr","team","playerid","espn_headshot"
"410","Drey Jameson","P",240,237.8,-2.19999999999999,-0.01,460,86,374,"P135","Arizona Diamondbacks","AZ","https://a.espncdn.com/i/teamlogos/mlb/500/ari.png",NA,NA
"411","Scott Barlow","P",240,NA,NA,NA,438,443,-5,"P135","Kansas City Royals","KC","https://a.espncdn.com/i/teamlogos/mlb/500/kc.png",NA,NA
"412","Michael Massey","IF",240,239.9,-0.0999999999999943,0,169,169,0,"IF142","Kansas City Royals","KC","https://a.espncdn.com/i/teamlogos/mlb/500/kc.png",27684,NA
"413","Kerry Carpenter","OF",240,239.3,-0.699999999999989,0,858,115,743,"OF124","Detroit Tigers","DET","https://a.espncdn.com/i/teamlogos/mlb/500/det.png",25961,NA
"414","Daniel Vogelbach","OF",240,239.4,-0.599999999999994,0,729,729,0,"OF124","New York Mets","NYM","https://a.espncdn.com/i/teamlogos/mlb/500/nym.png",14130,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32851.png"
"415","Victor Robles","OF",240,NA,NA,NA,630,630,0,"OF124","Washington Nationals","WSH","https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png",18363,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35042.png"
"416","Kevin Kiermaier","OF",240,239.5,-0.5,0,579,579,0,"OF124","Toronto Blue Jays","TOR","https://a.espncdn.com/i/teamlogos/mlb/500/tor.png",11038,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31446.png"
"417","Paul Blackburn","P",240,NA,NA,NA,485,287,198,"P139","Oakland Athletics","OAK","https://a.espncdn.com/i/teamlogos/mlb/500/oak.png",14739,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32776.png"
"418","Spencer Steer","IF",240,NA,NA,NA,701,90,611,"IF144","Cincinnati Reds","CIN","https://a.espncdn.com/i/teamlogos/mlb/500/cin.png",26323,NA
"419","Joey Bart","IF",240,NA,NA,NA,591,591,0,"IF144","San Francisco Giants","SF","https://a.espncdn.com/i/teamlogos/mlb/500/sf.png",21524,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41168.png"
"420","Dean Kremer","P",240,NA,NA,NA,590,389,201,"P140","Baltimore Orioles","BAL","https://a.espncdn.com/i/teamlogos/mlb/500/bal.png",19350,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/38295.png"
"421","Matt Carpenter","IF",240,239.6,-0.400000000000006,0,482,482,0,"IF144","San Diego Padres","SD","https://a.espncdn.com/i/teamlogos/mlb/500/sd.png",8090,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31015.png"
"422","Felix Bautista","P",240,239.8,-0.199999999999989,0,430,430,0,"P140","Baltimore Orioles","BAL","https://a.espncdn.com/i/teamlogos/mlb/500/bal.png",NA,NA
"423","Edouard Julien","IF",240,NA,NA,NA,0,0,0,"IF144","Minnesota Twins","MIN","https://a.espncdn.com/i/teamlogos/mlb/500/min.png",NA,NA
"424","Phil Pfeifer","P",240,NA,NA,NA,0,0,0,"P140","",NA,NA,NA,NA
"425","Travis d'Arnaud","IF",240,NA,NA,NA,739,739,0,"IF148","Atlanta Braves","ATL","https://a.espncdn.com/i/teamlogos/mlb/500/atl.png",7739,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29951.png"
"426","Will Brennan","OF",240,NA,NA,NA,668,66,602,"OF128","Cleveland Guardians","CLE","https://a.espncdn.com/i/teamlogos/mlb/500/cle.png",25660,NA
"427","Cole Irvin","P",240,NA,NA,NA,652,652,0,"P143","Baltimore Orioles","BAL","https://a.espncdn.com/i/teamlogos/mlb/500/bal.png",19244,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39869.png"
"428","Edward Olivares","OF",240,240,0,0,288,288,0,"OF128","Kansas City Royals","KC","https://a.espncdn.com/i/teamlogos/mlb/500/kc.png",19698,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36463.png"
"429","Jhony Brito","P",240,NA,NA,NA,132,0,132,"P143","New York Yankees","NYY","https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png",NA,NA
"430","Forrest Whitley","P",240,NA,NA,NA,0,0,0,"P143","Houston Astros","HOU","https://a.espncdn.com/i/teamlogos/mlb/500/hou.png",NA,NA
