"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"32","DJ Chark Jr.","DET",4200,1.95,8.14,NA,NA,NA,NA,NA,"CAR",12,24,NA,NA,NA,29,4,NA,0.209,32,NA,0.791,NA,NA,57.68,59.38,24,0.013,NA,NA,"DJ Chark Jr. 4200 1.95"
"33","Rashid Shaheed","NO",3500,6.27,8.08,83.3,30.5,2.1,2.76,0.307,"CLE",5,20,-1.73,2.04,3.77,23,10,29,0.236,13,74,0.764,97.6,27.4,NA,NA,21,-0.074,2,7.2,"Rashid Shaheed 3500 6.27"
"34","Terrace Marshall Jr.","CAR",3600,5.8,7.83,71.1,24.2,3.5,1.6,0.037,"DET",26,30,0.03,1.59,1.56,2,31,47,0.447,22,188,0.553,95.8,9.3,57.41,49.4,31,0.132,1,5.6,"Terrace Marshall Jr. 3600 5.8"
"35","Curtis Samuel","WAS",4400,3.38,7.73,71.5,40.8,5.6,1.37,0.031,"SF",6,2,-0.05,1.3,1.35,30,3,123,0.208,8,269,0.792,93.6,70,65.46,69.15,2,-0.059,3,4.6,"Curtis Samuel 4400 3.38"
"36","Isaiah McKenzie","BUF",4000,1.5,7.67,66.3,87,4.4,1.16,0.173,"CHI",32,20,-0.26,1.02,1.28,16,18,124,0.284,23,193,0.716,94.8,80.1,56.62,58.36,19,0.233,4,3.1,"Isaiah McKenzie 4000 1.5"
"37","Josh Reynolds","DET",3800,1.07,7.62,66,45.6,4.5,1.31,0.165,"CAR",12,24,0.54,1.47,0.93,29,4,112,0.209,32,180,0.791,95,36,57.68,59.38,24,0.013,3,3.2,"Josh Reynolds 3800 1.07"
"38","Donovan Peoples-Jones","CLE",5100,0.62,7.49,67.9,48.3,5.9,1.64,0.348,"NO",15,14,0.26,1.99,1.73,11,22,166,0.301,21,278,0.699,93.5,28.6,60.76,52.41,8,0.035,2,2.8,"Donovan Peoples-Jones 5100 0.62"
"39","Jauan Jennings","SF",3700,1.73,7.35,68.4,21.6,3.5,1.45,-0.287,"WAS",12,5,-0.83,1.03,1.86,10,23,86,0.303,9,128,0.697,94.4,58.1,66.01,64.46,3,0.013,1,5.4,"Jauan Jennings 3700 1.73"
"40","Noah Brown","DAL",3600,4.96,7.05,64.3,13.3,4.5,1.48,-0.065,"PHI",2,4,0.68,2.07,1.39,18,14,105,0.263,7,224,0.737,92.1,44.4,63.08,77.7,5,-0.095,3,2.9,"Noah Brown 3600 4.96"
"41","Treylon Burks","TEN",4600,1.23,6.63,74.5,47.2,4.5,2.19,0.582,"HOU",22,32,1.78,3.19,1.41,25,8,53,0.234,27,102,0.766,94.8,20.2,NA,NA,30,0.089,2,5.2,"Treylon Burks 4600 1.23"
