id,player,team,opponent,position,salary,ownership
82959-12535,Indianapolis Colts,IND,LV,D,4100,5.9
82959-12534,Tennessee Titans,TEN,DEN,D,4400,5.9
82959-94534,Gabe Davis,BUF,MIN,WR,6500,5.9
82959-30231,Jacoby Brissett,CLE,MIA,QB,7000,5.8
82959-85671,Justin Jefferson,MIN,BUF,WR,8600,5.7
82959-110246,George Pickens,PIT,NO,WR,5600,5.7
82959-39716,Adam Thielen,MIN,BUF,WR,5900,5.7
82959-57403,Courtland Sutton,DEN,TEN,WR,6200,5.7
82959-25267,Mack Hollins,LV,IND,WR,5500,5.5
82959-89951,Trevor Lawrence,JAC,KC,QB,7000,5.5
82959-29501,Brandin Cooks,HOU,NYG,WR,6100,5.4
82959-85741,Clyde Edwards-Helaire,KC,JAC,RB,6200,5.4
82959-63519,Daniel Jones,NYG,HOU,QB,7500,5.3
82959-28744,Raheem Mostert,MIA,CLE,RB,5900,5.3
82959-12536,Kansas City Chiefs,KC,JAC,D,4300,5.2
82959-93408,Rondale Moore,ARI,LAR,WR,5800,5.1
82959-69956,Michael Gallup,DAL,GB,WR,5700,5.1
82959-103539,Wan'Dale Robinson,NYG,HOU,WR,5600,5.0
82959-69213,Michael Pittman Jr.,IND,LV,WR,6300,5.0
82959-55042,Dalton Schultz,DAL,GB,TE,5500,4.9
82959-91047,Cole Kmet,CHI,DET,TE,5300,4.6
82959-90575,Najee Harris,PIT,NO,RB,6400,4.6
82959-86052,Kadarius Toney,KC,JAC,WR,5500,4.4
82959-72412,Khalil Herbert,CHI,DET,RB,5800,4.3
82959-45565,Taysom Hill,NO,PIT,TE,6500,4.2
82959-12531,Denver Broncos,DEN,TEN,D,4700,4.2
82959-12533,Green Bay Packers,GB,DAL,D,3700,4.2
82959-47870,Tyler Higbee,LAR,ARI,TE,6000,4.2
82959-56809,Allen Lazard,GB,DAL,WR,6700,4.1
82959-22103,Marvin Jones Jr.,JAC,KC,WR,5400,4.0
82959-112057,Jaylen Warren,PIT,NO,RB,5300,4.0
82959-16606,DeAndre Hopkins,ARI,LAR,WR,8300,4.0
