player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jared Goff,10635,QB,DET,16,78.6,468,506,7.2,2.68,5,17,3.3,71.7,363,0,175,1.4,551,5,228,11,67.4,80.5,78.2,65.0,5,10,568,2,16.6,113.6,5.3,29,14,3,25,36,16,2.8,4398,8.7
Sam Darnold,29048,QB,MIN,16,78.8,457,504,9.3,3.07,8,33,6.1,68.1,343,0,214,4.7,577,17,212,18,57.6,85.8,83.6,74.1,9,12,624,7,21.5,106.4,8.0,46,26,1,29,35,22,3.5,4153,8.2
Josh Allen,46601,QB,BUF,16,73.3,442,483,8.8,2.87,9,37,7.1,63.6,307,0,176,5.2,542,17,190,4,53.7,91.8,82.9,94.4,5,6,587,3,8.0,101.4,2.6,14,42,1,26,28,15,2.6,3731,7.7
Jayden Daniels,97993,QB,WAS,16,79.7,433,468,7.9,2.97,11,20,4.0,69.4,325,1,205,5.8,588,20,202,32,67.2,90.1,84.1,87.0,1,9,625,1,21.0,101.2,7.3,43,74,2,21,25,11,1.8,3530,7.5
Justin Herbert,28237,QB,LAC,16,76.5,434,468,9.1,2.9,9,30,6.0,65.0,304,0,185,8.4,543,28,173,27,53.7,90.5,89.2,69.5,6,3,582,0,21.6,99.9,7.4,40,30,2,17,21,13,2.2,3524,7.5
Brock Purdy,77672,QB,SF,15,74.1,428,455,9.0,2.99,9,15,3.1,65.9,300,0,200,5.4,537,17,199,28,63.7,82.4,76.3,90.2,2,12,567,2,15.5,96.1,5.8,31,44,5,11,20,17,3.0,3864,8.5
Kirk Cousins,7102,QB,ATL,14,76.7,412,453,8.0,2.54,15,13,2.7,66.9,303,0,156,4.1,485,13,163,2,46.5,74.3,72.3,65.8,7,16,521,2,17.3,88.6,5.6,27,3,4,15,18,24,4.6,3508,7.7
Lamar Jackson,46416,QB,BLT,16,77.3,405,442,9.4,3.19,11,28,6.0,67.9,300,0,188,4.2,505,13,202,3,43.5,93.5,92.3,83.6,9,4,539,5,12.2,121.6,4.6,23,36,4,13,39,8,1.5,3955,8.9
Jordan Love,40306,QB,GB,14,74.9,379,413,9.2,2.75,8,16,3.6,63.2,261,1,154,8.1,444,23,154,12,72.8,77.9,76.9,54.6,9,11,474,5,9.1,97.3,3.2,14,12,0,17,25,13,2.7,3320,8.0
Tua Tagovailoa,60326,QB,MIA,11,79.8,382,399,6.1,2.3,6,11,2.6,72.9,291,1,100,4.6,435,14,166,17,39.5,70.2,70.2,51.3,0,7,460,3,21.0,101.4,4.8,21,7,2,9,19,12,2.6,2867,7.2
