player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Gabe Milbourn,146345,TE,OREGON ST,1,0,265,,,0,0.0,0,59.6,0,100.0,2,2,60.0,100.0,1,50.0,1
Solomon Vanhorse,78573,HB,JAMES MAD,1,0,197,,,0,0.0,0,59.2,0,100.0,2,2,,,0,0.0,0
Jordyn Williams,144831,WR,C MICHIGAN,1,0,134,60.0,100.0,1,50.0,1,59.9,0,100.0,2,2,59.9,100.0,1,50.0,1
Trent Howland,144833,HB,INDIANA,1,0,190,,0.0,0,0.0,2,60.0,0,50.0,2,4,60.0,100.0,1,50.0,1
Jacob Coleman,151043,WR,MIDDLE TN,1,0,224,,,0,0.0,0,59.8,0,100.0,2,2,59.8,100.0,2,100.0,2
Jaylen Sargent,150700,WR,WYOMING,1,0,351,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Ethan Davies,151077,WR,VIRGINIA,2,0,335,60.0,100.0,1,50.0,1,59.9,0,100.0,2,2,60.0,100.0,1,50.0,1
Kohl Herbolsheimer,128417,G,WYOMING,1,0,351,,,0,0.0,0,60.0,0,100.0,2,2,,,0,0.0,0
Tyrese Grant,128415,WR,WYOMING,1,0,351,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Jay Woolfolk,151104,QB,VIRGINIA,2,0,335,,,0,0.0,0,60.0,0,66.7,2,3,60.0,66.7,2,100.0,3
