player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Austin Fontaine,82325,ED,MARYLAND,1,0,215,65.4,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Cooper Shults,131724,TE,NEVADA,2,0,239,65.4,0,0,1,12.5,12.5,100.0,0,0,0,1,8,,0,0,0,0.0,0.0,,0,0,0,1
Tanner Mordecai,77656,QB,SMU,4,0,287,62.2,0,0,1,0.6,0.5,100.0,0,0,0,1,192,,0,0,0,0.0,0.0,,0,0,0,48
Earnest Crownover,124312,HB,TEXAS A&M,2,0,312,72.5,0,0,1,100.0,50.0,100.0,0,0,0,1,2,72.5,0,0,1,100.0,100.0,100.0,0,0,1,1
Josh Bankhead,124306,G,TEXAS A&M,1,0,312,61.9,0,0,0,,100.0,,0,0,0,1,1,61.9,0,0,0,,100.0,,0,0,1,1
Darryle Ware,124262,LB,S CAROLINA,1,0,289,60.5,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Turner Pallissard,82521,FB,IOWA,1,0,192,69.8,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Hunter Rogers,124252,LS,S CAROLINA,1,0,289,60.5,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Payton Mangrum,124248,WR,S CAROLINA,2,0,289,60.5,0,0,1,50.0,50.0,100.0,0,0,0,1,2,,0,0,0,0.0,0.0,,0,0,0,1
Tonka Hemingway,124238,DI,S CAROLINA,1,0,289,60.5,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Omni Wells,124190,HB,S ALABAMA,5,0,288,28.2,0,0,1,5.6,5.0,100.0,0,0,0,1,20,19.8,0,0,0,0.0,0.0,,0,0,0,4
Lideatrick Griffin,124169,WR,MISS STATE,5,0,227,60.9,0,0,1,0.9,0.8,100.0,0,0,0,1,123,,0,0,0,0.0,0.0,,0,0,0,28
Caleb Ducking,124165,WR,MISS STATE,5,0,227,60.9,0,0,1,0.6,0.5,100.0,0,0,0,1,185,,0,0,0,0.0,0.0,,0,0,0,40
Moon Ashby,131923,TE,WASH STATE,2,0,341,65.5,0,0,1,33.3,33.3,100.0,0,0,0,1,3,,0,0,0,,,,0,0,0,0
David Larkins,133685,TE,APP STATE,5,0,108,64.5,0,0,1,5.6,5.6,100.0,0,0,0,1,18,,0,0,0,0.0,0.0,,0,0,0,1
Nik Hogan,77423,T,TULANE,1,0,319,68.0,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Marvin Landy,136896,FB,FAU,6,0,165,68.1,0,0,1,6.7,5.3,100.0,0,0,0,1,19,,0,0,0,0.0,0.0,,0,0,0,3
John Young,124084,G,KENTUCKY,1,0,202,63.8,0,0,0,,100.0,,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Cade Degraw,124057,LS,KENTUCKY,1,0,202,63.8,0,0,0,,100.0,,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Kelly Mitchell,138459,TE,JAMES MAD,1,0,197,61.1,0,0,1,33.3,33.3,100.0,0,0,0,1,3,,0,0,0,0.0,0.0,,0,0,0,2
John Harris,77369,G,UCF,1,0,323,67.3,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Juan Wallace,77110,LB,KENT STATE,1,0,201,63.8,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Garrett Bishop,138472,G,NEW MEX ST,1,0,242,68.0,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Deondre Buford,124053,G,KENTUCKY,1,0,202,63.8,0,0,0,,100.0,,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Reed Tyler,83619,TE,ARK STATE,3,0,113,67.3,0,0,1,50.0,25.0,100.0,0,0,0,1,4,,0,0,0,,0.0,,0,0,0,1
Chad Lindberg,124029,T,GEORGIA,1,0,173,72.8,0,0,1,100.0,100.0,100.0,0,0,0,1,1,72.8,0,0,1,100.0,100.0,100.0,0,0,1,1
Cameron Kinnie,124027,G,UCF,1,0,323,67.3,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Xavier Coleman,143822,HB,BOSTON COL,4,0,121,66.7,0,0,1,9.1,9.1,100.0,0,0,0,1,11,,0,0,0,0.0,0.0,,0,0,0,5
Evan Boozer,76811,TE,TEMPLE,2,0,306,67.3,0,0,1,50.0,50.0,100.0,0,0,0,1,2,67.3,0,0,1,100.0,100.0,100.0,0,0,1,1
Andrew Jones,143859,TE,DUKE,1,0,154,67.3,0,0,1,25.0,25.0,100.0,0,0,0,1,4,67.3,0,0,1,50.0,50.0,100.0,0,0,1,2
Brandon Frazier,123985,TE,AUBURN,3,0,115,65.2,0,0,1,14.3,14.3,100.0,0,0,0,1,7,,0,0,0,0.0,0.0,,0,0,0,4
Roydell Williams,123939,HB,ALABAMA,4,0,103,72.6,0,0,1,4.3,4.2,100.0,0,0,0,1,24,72.6,0,0,1,11.1,11.1,100.0,0,0,1,9
Traeshon Holden,123917,WR,ALABAMA,5,0,103,63.9,0,0,1,0.8,0.7,100.0,1,0,0,1,135,,0,0,0,0.0,0.0,,0,0,0,52
Romello Brinson,143936,WR,MIAMI FL,4,0,220,61.0,0,0,1,1.4,1.3,100.0,0,0,0,1,76,,0,0,0,0.0,0.0,,0,0,0,27
Jordan James,163295,HB,OREGON,4,0,264,68.3,0,0,1,6.7,6.3,100.0,0,0,0,1,16,,0,0,0,0.0,0.0,,0,0,0,8
Paul Rubelt,123761,T,UCF,1,0,323,67.4,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Rodney Hammond Jr.,144024,HB,PITTSBURGH,1,0,268,71.8,0,0,1,7.1,7.1,100.0,0,0,0,1,14,,0,0,0,0.0,0.0,,0,0,0,3
Stephen Martin,123753,WR,UCF,4,0,323,61.9,0,0,1,3.1,2.9,100.0,0,0,0,1,35,,0,0,0,0.0,0.0,,0,0,0,5
Oronde Gadsden II,144046,WR,SYRACUSE,5,0,304,63.9,0,0,0,0.0,0.7,,0,0,0,1,143,,0,0,0,0.0,0.0,,0,0,0,73
Kenyon Sims,83679,HB,S JOSE ST,2,0,285,67.7,0,0,1,50.0,50.0,100.0,0,0,0,1,2,,0,0,0,,,,0,0,0,0
Chris Rodriguez Jr.,83689,HB,KENTUCKY,1,0,202,70.8,0,0,1,6.3,6.3,100.0,0,0,0,1,16,,0,0,0,0.0,0.0,,0,0,0,2
LaJohntay Wester,123616,WR,FAU,6,1,165,63.1,0,0,1,0.5,0.5,100.0,2,0,0,1,210,,0,0,0,0.0,0.0,,0,0,0,69
Dietrick Pennington,144133,G,CLEMSON,1,0,140,66.6,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Kamuela Borden,75848,TE,HAWAII,4,0,180,66.8,0,0,0,0.0,12.5,,0,0,0,1,8,66.8,0,0,0,0.0,20.0,,0,0,1,5
Trey Bonner,98282,G,GA STATE,1,0,175,0.0,0,0,0,,100.0,,1,0,0,1,1,,0,0,0,,,,0,0,0,0
Will Pauling,144234,WR,CINCINNATI,2,0,138,63.1,0,0,1,4.3,4.2,100.0,0,0,0,1,24,,0,0,0,0.0,0.0,,0,0,0,11
Cameren Dalrymple,144301,FB,NAVY,1,0,237,72.2,0,0,1,100.0,100.0,100.0,0,0,0,1,1,72.2,0,0,1,100.0,100.0,100.0,0,0,1,1
