player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Derwin James,51368,S,LAC,5,2,6.5,65.4,93.7,10.6,7.0,1,1,3,11.5,27,69.7,76.8,29.4,91.7,75.8,69.2,0,18,8.0,2,3,2,74.7,17,193,206,9,21,26,0,113,54,0.6,6.6
Amani Hooker,51378,S,TEN,3,0,11.3,42.9,96.1,37.7,16.1,0,0,1,14.3,31,73.6,65.8,5.4,54.3,42.8,53.4,1,28,14.3,1,1,1,26.8,3,122,127,1,6,7,0,48,6,0.4,16.0
Marcus Epps,51391,S,PHI,5,1,9.1,69.2,98.7,23.7,16.4,0,0,2,15.4,24,61.8,67.4,81.0,57.0,79.9,72.7,0,28,12.5,2,2,0,114.6,9,221,224,2,13,13,1,91,31,0.4,10.1
Roderic Teamer,51405,S,LV,5,3,4.6,77.8,100.0,5.7,4.4,0,0,0,0.0,23,39.5,34.8,0.0,,51.1,66.8,0,18,0.0,0,0,2,138.9,7,45,45,2,4,9,1,76,40,1.9,10.9
Marcell Harris,51408,LB,NYJ,1,0,4.0,100.0,100.0,11.0,11.0,0,0,0,0.0,22,69.7,78.2,73.6,,73.6,49.6,0,5,0.0,0,0,0,87.5,1,13,13,0,2,1,0,5,1,0.5,5.0
Jaylinn Hawkins,51423,S,ATL,5,4,7.9,69.2,96.5,20.7,14.3,0,1,1,7.7,2,60.7,64.4,81.7,51.2,74.0,71.5,0,25,14.3,3,1,0,92.1,9,192,199,2,14,13,0,101,51,0.5,11.2
Jaquan Johnson,51433,S,BUF,4,3,14.6,100.0,96.8,16.8,16.8,0,0,0,0.0,4,47.8,46.6,0.0,55.9,66.6,75.9,0,45,0.0,0,0,1,158.3,5,91,94,0,6,5,1,84,12,1.0,16.8
Kaden Elliss,51485,LB,NO,5,0,10.1,71.4,72.9,8.0,5.7,0,0,1,14.3,20,53.8,60.4,81.1,47.6,70.0,36.2,0,32,33.3,1,1,0,103.9,5,43,59,1,2,7,0,71,28,1.8,14.2
J.T. Gray,51495,S,NO,5,0,,,90.5,,,0,0,0,,20,50.3,67.1,77.5,90.9,65.2,77.3,0,,,0,0,0,0.0,0,19,21,1,0,0,0,0,0,0.0,
Dre Greenlaw,51503,LB,SF,5,2,1.6,90.6,94.1,6.2,5.7,0,0,0,0.0,28,81.7,80.1,0.0,64.8,74.7,75.4,0,51,6.3,2,0,3,104.4,29,191,203,16,28,32,1,210,165,1.2,7.2
Kenny Moore II,51596,CB,IND,5,2,10.6,65.4,96.0,10.5,6.9,0,0,1,3.8,14,39.6,47.6,82.9,48.4,75.7,70.7,0,26,5.9,1,1,2,125.3,17,190,198,3,14,26,3,189,102,1.1,11.1
Nicholas Morrow,51674,LB,CHI,6,3,6.7,84.2,95.6,11.3,9.5,1,0,0,0.0,6,68.7,61.1,82.7,56.8,51.4,54.6,0,30,10.0,2,0,1,96.3,16,194,203,7,15,19,0,135,74,0.8,8.4
Isaiah Dunn,52129,CB,SEA,1,0,,,100.0,,,0,0,0,,29,60.7,70.2,60.4,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Paulson Adebo,52280,CB,NO,3,0,15.3,77.8,100.0,5.5,4.3,2,1,2,11.1,20,38.8,35.7,80.4,,31.0,33.2,0,50,8.3,1,2,3,158.3,14,86,86,4,11,18,3,260,61,3.4,18.6
Jeffrey Gunter,54402,ED,CIN,1,0,5.0,100.0,14.3,1.0,1.0,0,0,0,0.0,7,60.0,30.1,73.4,60.5,,,0,21,,0,0,0,118.8,1,1,7,0,0,1,0,21,16,21.0,21.0
Darrick Forrest,55087,S,WAS,6,1,10.8,56.0,96.4,10.8,6.0,0,0,3,12.0,32,86.0,80.1,18.9,50.7,55.5,76.7,1,40,5.3,1,3,1,84.1,14,159,165,6,17,25,2,152,80,1.0,10.9
Coby Bryant,55088,CB,SEA,5,2,9.6,68.8,95.4,8.5,5.8,0,0,0,0.0,29,45.2,42.1,79.4,63.3,34.6,26.1,0,67,23.1,3,0,2,148.2,11,103,108,2,8,16,2,189,112,2.0,17.2
Boye Mafe,55220,ED,SEA,5,0,2.7,100.0,9.1,2.0,2.0,0,0,0,0.0,29,50.3,62.1,81.5,54.7,69.2,79.4,0,17,0.0,0,0,0,106.9,3,6,66,3,3,3,0,29,21,4.8,9.7
A.J. Terrell,55586,CB,ATL,5,3,11.1,67.7,100.0,9.9,6.7,0,1,5,16.1,2,54.9,55.6,84.3,,56.8,28.4,0,40,19.0,4,3,2,132.7,21,215,215,3,14,31,5,257,60,1.2,12.2
Marco Wilson,55592,CB,ARZ,5,1,8.5,59.4,97.4,9.5,5.6,1,0,5,15.6,1,44.2,37.7,26.8,52.0,28.6,44.6,0,31,10.5,2,2,3,82.4,19,188,193,2,16,32,0,237,88,1.3,12.5
C.J. Henderson,55593,CB,CAR,5,0,11.2,75.0,100.0,9.3,7.0,0,0,1,6.3,5,41.4,46.0,81.3,,69.0,59.5,0,49,14.3,2,1,3,103.4,12,126,126,3,12,16,0,149,28,1.3,12.4
Lonnie Johnson Jr.,55615,S,TEN,2,0,1.0,100.0,100.0,16.0,16.0,0,0,0,0.0,31,59.2,48.5,74.0,,46.2,73.0,0,5,0.0,0,0,1,87.5,1,18,18,1,1,1,0,5,4,0.3,5.0
Amik Robertson,55619,CB,LV,5,0,10.7,86.7,96.1,10.2,8.9,1,0,0,0.0,23,65.9,65.8,81.8,61.3,59.4,28.8,1,35,28.6,4,0,1,130.6,13,146,152,5,10,15,2,197,70,1.5,15.2
Russ Yeast,55629,S,LA,1,0,,,100.0,,,0,0,0,,26,60.0,60.0,62.6,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Josiah Scott,55634,CB,PHI,3,0,3.9,70.0,97.4,10.7,7.5,0,0,1,10.0,24,55.0,55.5,78.6,56.0,59.6,44.7,0,45,14.3,1,1,1,132.9,7,76,78,3,6,10,1,94,66,1.3,13.4
Jeffrey Okudah,55674,CB,DET,5,1,9.0,70.4,100.0,9.2,6.4,2,0,4,14.8,11,54.1,55.9,83.9,,61.5,77.7,0,54,0.0,0,3,4,99.2,19,189,189,5,16,27,0,249,132,1.4,13.1
Tre Norwood,55675,S,PIT,5,1,15.9,28.6,97.1,47.0,13.4,0,0,0,0.0,25,37.7,36.5,79.2,58.6,56.7,30.1,0,26,22.2,2,0,0,46.7,2,102,105,1,6,7,0,33,15,0.4,16.5
Deommodore Lenoir,55686,CB,SF,3,5,5.4,86.7,90.9,4.4,3.8,0,0,0,0.0,28,40.4,44.5,80.6,56.6,72.3,52.2,0,31,20.0,4,0,1,101.8,26,120,132,4,11,30,0,253,121,2.2,9.7
Tariq Castro-Fields,55689,S,WAS,1,0,,,100.0,,,0,0,0,,32,60.2,63.1,68.5,,60.4,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Marcus Jones,55717,CB,NE,2,0,13.0,0.0,100.0,,14.0,0,0,0,0.0,19,59.8,60.3,70.4,,60.0,81.2,0,,0.0,0,0,0,39.6,0,14,14,0,2,1,0,0,0,0.0,
Darious Williams,55724,CB,JAX,5,2,7.3,60.0,97.2,8.5,5.1,0,1,4,16.0,15,43.6,45.0,81.2,50.0,57.0,27.0,0,54,41.7,5,4,0,87.6,15,141,145,1,5,25,0,213,150,1.7,14.2
Ja'Marcus Ingram,55738,CB,BUF,2,0,16.7,66.7,100.0,15.5,10.3,0,0,0,0.0,4,56.1,60.2,77.0,,74.5,76.7,0,32,0.0,0,0,0,109.7,2,33,33,0,2,3,0,38,15,1.2,19.0
Xavier McKinney,55775,S,NYG,5,0,15.7,50.0,87.8,31.4,15.7,0,0,2,20.0,21,54.6,56.9,81.6,58.4,62.6,74.4,0,29,7.7,1,2,1,105.8,5,166,189,2,12,10,1,69,4,0.4,13.8
Kamren Curl,55800,S,WAS,4,1,4.9,66.7,98.7,22.8,15.2,0,0,0,0.0,32,86.4,89.8,79.7,71.1,79.4,77.7,0,19,9.1,1,0,0,80.8,6,148,150,4,9,9,0,50,29,0.4,8.3
Eric Stokes,55912,CB,GB,5,0,11.8,87.5,100.0,10.9,9.5,0,0,0,0.0,12,61.2,55.9,81.6,,35.8,67.7,0,26,0.0,0,0,0,114.6,14,160,160,4,13,16,0,184,57,1.2,13.1
Bryan Cook,55940,S,KC,5,4,12.0,83.3,94.2,14.8,12.3,0,0,1,16.7,16,57.6,57.0,79.9,50.5,63.3,47.0,0,48,25.0,3,1,0,156.9,5,81,86,1,5,6,2,73,11,1.0,14.6
Nate Hobbs,55948,CB,LV,5,4,7.0,67.7,99.0,8.3,5.6,0,0,2,6.5,23,67.0,70.6,27.5,78.2,83.0,69.2,0,36,8.0,2,2,2,88.2,21,192,194,8,19,31,0,221,123,1.3,10.5
Tony Adams,55953,S,NYJ,2,1,15.0,100.0,100.0,2.0,2.0,0,0,0,0.0,22,47.7,44.8,67.3,,,71.4,0,20,0.0,0,0,0,118.8,1,2,2,0,0,1,0,20,5,10.0,20.0
Geno Stone,55967,S,BLT,4,1,10.0,100.0,100.0,30.0,30.0,0,0,0,0.0,3,62.5,65.2,81.6,,63.8,82.9,0,10,0.0,0,0,0,108.3,1,33,33,0,2,1,0,10,0,0.3,10.0
AJ Parker,55983,CB,DET,1,0,6.7,100.0,100.0,6.7,6.7,0,0,0,0.0,11,56.9,52.4,75.4,,41.3,81.0,0,17,0.0,0,0,0,118.1,3,24,24,0,4,3,0,37,17,1.9,12.3
Ambry Thomas,56058,CB,SF,1,0,22.0,50.0,100.0,8.0,4.0,0,0,0,0.0,28,55.4,55.6,70.8,,,75.1,0,12,0.0,0,0,0,68.8,1,8,8,0,2,2,0,12,1,1.5,12.0
Benjamin St-Juste,56061,CB,WAS,6,3,10.6,48.4,98.2,13.4,6.5,1,1,4,12.9,32,61.3,54.1,0.0,77.2,30.6,39.3,0,45,6.7,1,3,3,79.8,15,215,219,4,11,31,1,198,76,1.0,13.2
Damarri Mathis,56143,CB,DEN,3,0,8.4,80.0,98.4,4.8,3.8,0,0,1,6.7,10,62.8,64.3,79.6,60.0,69.9,55.0,0,29,15.4,2,0,0,103.1,12,62,63,6,11,15,0,131,29,2.3,10.9
Jason Pinnock,56144,S,NYG,1,0,,,100.0,,,1,0,0,,21,60.0,60.3,67.3,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Tre Avery,56146,CB,TEN,1,0,18.7,100.0,100.0,2.7,2.7,0,0,0,0.0,31,26.4,26.6,71.8,,54.6,77.0,0,46,0.0,0,0,1,158.3,3,10,10,0,2,3,1,66,11,8.3,22.0
DaRon Bland,56158,CB,DAL,2,0,6.0,83.3,97.6,4.0,3.3,0,0,1,8.3,9,45.6,48.6,77.7,59.0,64.8,29.2,1,31,40.0,2,0,0,70.1,10,41,42,1,3,12,0,110,62,2.8,11.0
Keisean Nixon,56167,CB,GB,3,0,6.8,84.6,100.0,5.5,4.7,0,0,0,0.0,12,58.8,60.5,77.5,,67.3,83.3,0,25,0.0,0,0,0,99.0,11,66,66,3,7,13,0,101,57,1.7,9.2
Ifeatu Melifonwu,56203,S,DET,1,1,,,100.0,,,0,0,0,,11,63.1,64.4,66.6,,60.0,77.3,0,,0.0,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Darnay Holmes,56247,CB,NYG,5,0,7.2,56.5,90.7,9.2,5.2,0,0,1,4.3,21,57.9,54.0,81.0,59.1,37.8,63.3,0,21,0.0,0,1,3,70.6,13,127,140,3,9,23,0,118,73,1.0,9.1
Jaylon Johnson,56259,CB,CHI,3,0,7.6,44.4,100.0,22.0,9.8,0,0,1,11.1,6,67.0,74.4,83.5,,90.4,68.5,0,17,25.0,1,1,1,58.6,4,93,93,1,3,9,0,42,36,0.5,10.5
Javelin Guidry,56262,CB,LV,1,0,9.5,100.0,100.0,8.5,8.5,0,0,0,0.0,23,59.8,60.0,73.7,,,,0,5,,0,0,0,127.1,2,18,18,0,0,2,1,10,0,0.6,5.0
Keith Taylor,56289,CB,CAR,3,0,6.0,100.0,100.0,6.0,6.0,0,0,0,0.0,5,51.9,52.8,71.3,,60.0,72.5,0,8,0.0,0,0,0,100.0,1,7,7,0,1,1,0,8,2,1.3,8.0
Chris Rumph II,56345,ED,LAC,5,0,1.0,100.0,13.0,10.0,10.0,0,0,0,0.0,27,66.7,51.4,81.3,50.6,50.7,24.9,0,6,66.7,2,0,0,91.7,1,10,77,0,1,1,0,6,5,0.6,6.0
Victor Dimukeje,56347,ED,ARZ,5,0,,,5.1,,,0,0,0,,1,63.0,60.2,84.1,50.2,66.3,74.7,0,,0.0,0,0,0,0.0,0,2,39,1,1,0,0,0,0,0.0,
A.J. Epenesa,56369,ED,BUF,5,0,0.0,100.0,3.6,3.0,3.0,1,0,0,0.0,4,33.6,64.5,37.6,72.4,65.3,26.9,0,12,100.0,1,0,1,116.7,1,3,84,2,0,1,0,12,12,4.0,12.0
Yetur Gross-Matos,56444,ED,CAR,5,0,,,2.0,,,0,0,0,,5,58.4,47.2,61.5,54.3,46.5,58.5,0,,0.0,0,0,1,0.0,0,3,150,1,2,0,0,0,0,0.0,
Patrick Johnson,56460,ED,PHI,4,0,-2.0,0.0,9.8,,4.0,0,0,0,0.0,24,62.5,62.0,77.7,55.3,69.5,69.9,0,,,0,0,0,39.6,0,4,41,0,0,1,0,0,0,0.0,
