player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Damien Wilson,9560,LB,CAR,1,0,0,5,,,,,,,47.9,,,66.4,0,0,0,0,5,8,0,1,0
Shaq Mason,9564,G,TB,1,0,0,30,,,60.5,,,,61.3,,,68.3,0,0,6,0,0,0,0,0,0
Max Garcia,9566,C,ARZ,1,0,0,1,,,60.0,,,,60.0,,,61.8,0,0,1,0,0,0,0,0,0
Mark Glowinski,9567,G,NYG,1,0,0,21,,,60.0,,,,60.0,,,63.8,0,0,1,0,0,0,0,0,0
Adrian Amos,9575,S,GB,1,0,0,12,59.7,,,,,,60.5,,,63.6,0,0,0,5,0,0,0,1,0
C.J. Uzomah,9590,TE,NYJ,1,0,0,22,,,60.0,,,,68.6,,,63.7,0,0,3,0,0,5,6,0,0
Jesse James,9593,TE,CLV,1,0,0,8,,,,,,,73.9,,,65.1,0,0,0,0,0,5,0,0,0
Bradley Pinion,9598,P,ATL,1,0,0,2,,,60.0,,60.0,,60.9,,72.6,66.1,0,1,7,0,6,0,4,0,0
Joe Cardona,9599,LS,NE,1,0,0,19,,,60.0,,,28.4,57.0,,,63.3,0,0,1,0,0,0,3,0,0
Michael Burton,9601,FB,KC,2,0,0,16,,,,,,,71.6,,,65.0,0,0,0,0,14,9,8,0,1
David Mayo,9602,LB,WAS,1,0,0,32,60.0,,,,,,71.3,,,67.0,0,0,0,5,5,6,3,3,0
Darren Waller,9637,TE,LV,1,0,0,23,,,,,,,60.0,,,62.5,0,0,0,0,0,0,0,0,0
Rakeem Nunez-Roches,9650,DI,TB,1,0,0,30,59.8,,60.0,,,,60.6,,,62.6,0,0,6,1,0,0,0,0,0
Bobby Hart,9659,G,BUF,1,0,0,4,,,60.0,,,,60.7,,,61.5,0,0,5,0,0,0,0,0,0
Trent Brown,9677,T,NE,1,0,0,19,,,60.0,,,,60.0,,,62.5,0,0,1,0,0,0,0,0,0
Geoff Swaim,9679,TE,TEN,1,0,0,31,,,60.0,,,,58.4,,,64.1,0,0,5,0,0,4,4,0,0
Raheem Mostert,9783,HB,MIA,1,0,0,17,,,,59.9,,,60.0,,,60.9,0,0,0,0,0,2,0,0,0
Neville Hewitt,9836,LB,HST,1,0,0,13,60.0,,,,,,65.9,,,67.7,0,0,0,5,5,6,8,0,0
DeAndre Carter,9859,WR,LAC,2,0,0,27,,,,56.8,,,60.3,63.0,,62.9,0,0,0,0,0,11,0,8,0
Jake Kumerow,9883,WR,BUF,1,0,0,4,,,,,,,62.7,,,66.8,0,0,0,0,6,2,0,3,0
DeShawn Williams,9891,DI,DEN,1,0,0,10,59.0,,,,,,59.2,,,64.1,0,0,0,3,0,0,0,0,0
Justin Coleman,9892,CB,SEA,1,0,0,29,59.6,,,,,,60.5,,,68.2,0,0,0,5,3,0,0,1,0
Dean Marlowe,9966,S,ATL,1,0,0,2,59.8,,,,,,84.7,,,66.9,0,0,0,4,6,6,4,5,1
Alex Singleton,9994,LB,DEN,1,0,0,10,,,,,,,62.0,,,66.2,0,0,0,0,3,4,1,2,0
Bryce Callahan,10000,CB,LAC,1,0,0,27,,,,,,,60.0,,,90.6,0,0,0,0,0,0,0,0,0
Rick Lovato,10007,LS,PHI,1,0,0,24,,,61.3,,,78.0,64.5,,,63.2,0,0,6,0,0,0,3,0,0
Jason Myers,10207,K,SEA,1,0,0,29,,67.2,,,60.0,,60.0,,,61.4,0,0,3,0,4,0,0,0,0
Chris Manhertz,10211,TE,JAX,1,0,0,15,,,60.0,,,,58.9,,,64.6,0,0,5,0,0,5,0,0,0
Efe Obada,10235,ED,WAS,1,0,0,32,,,,,,,60.0,,,64.7,0,0,0,0,0,6,0,0,0
Erik Harris,10346,S,ATL,1,0,0,2,60.0,,,,,,60.6,,,67.6,0,0,0,4,6,6,4,5,0
Joey Bosa,10637,ED,LAC,2,0,0,27,,,,,,,61.2,,,78.2,0,0,0,0,0,0,0,2,0
Jalen Ramsey,10639,CB,LA,1,0,0,26,59.3,,,,,,60.1,,,67.1,0,0,0,5,0,0,0,0,0
DeForest Buckner,10641,DI,IND,1,0,0,14,59.3,,60.0,,,,60.6,,,67.9,0,0,5,4,0,0,0,3,0
Sheldon Rankins,10646,DI,NYJ,1,0,0,22,,,,,,,60.0,,,64.4,0,0,0,0,0,0,0,1,0
Laremy Tunsil,10647,T,HST,1,0,0,13,,,60.0,,,,60.4,,,61.2,0,0,4,0,0,0,0,0,0
Keanu Neal,10651,LB,TB,1,0,0,30,,,,,,,67.6,,,69.5,0,0,0,0,6,2,0,4,1
Kenny Clark,10661,DI,GB,1,0,0,12,59.5,,,,,,60.5,,,65.4,0,0,0,5,0,0,0,1,0
Germain Ifedi,10665,T,ATL,1,0,0,2,,,60.0,,,,60.5,,,63.6,0,0,7,0,0,0,0,0,0
Emmanuel Ogbah,10666,ED,MIA,1,0,0,17,59.5,,,,,,61.8,,,67.2,0,0,0,1,0,0,0,3,0
Hunter Henry,10669,TE,NE,1,0,0,19,,,,,,,60.0,,,61.8,0,0,0,0,0,1,0,0,0
Myles Jack,10670,LB,PIT,1,0,0,25,59.4,,,,,,59.6,,,64.2,0,0,0,4,0,0,0,0,0
Austin Johnson,10677,DI,LAC,2,0,0,27,58.6,,,,,,60.9,,,74.0,0,0,0,8,0,0,0,3,0
A'Shawn Robinson,10680,DI,LA,1,0,0,26,59.1,,,,,,59.7,,,67.4,0,0,0,5,0,0,0,0,0
Jarran Reed,10683,DI,GB,1,0,0,12,59.0,,,,,,60.1,,,67.9,0,0,0,5,0,0,0,1,0
Cody Whitehair,10690,G,CHI,1,0,0,6,,,60.0,,,,60.1,,,63.0,0,0,3,0,0,0,0,0,0
Vonn Bell,10695,S,CIN,1,0,0,7,59.7,,,,,,60.5,,,63.4,0,0,0,6,0,0,0,1,0
Adam Gotsis,10697,DI,JAX,1,0,0,15,60.0,,60.0,,,,60.6,,,63.0,0,0,5,2,0,0,0,0,0
Carl Nassib,10699,ED,TB,1,0,0,30,60.0,,,,,,60.0,,,62.9,0,0,0,1,0,0,0,0,0
Maliek Collins,10701,DI,HST,1,0,0,13,59.0,,,,,,60.7,,,67.8,0,0,0,5,0,0,0,2,0
Joe Thuney,10712,G,KC,1,0,0,16,,,60.0,,,,60.6,,,61.4,0,0,4,0,0,0,0,0,0
Isaac Seumalo,10713,G,PHI,1,0,0,24,,,60.1,,,,60.9,,,61.6,0,0,6,0,0,0,0,0,0
Nick Vigil,10721,LB,ARZ,1,0,0,1,60.0,,,,,,64.6,,,62.8,0,0,0,7,4,1,0,0,0
