player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jake Chaney,145167,LB,WISCONSIN,5,30,0,349,0,-1.0,0.0,77.8,,7.0,0,0,0.0,71.5,1,,,0,0,0.0,0,7,23.3,9,0,0,1,0,0,0,0.0,,0,1,8.0,100.0,76.9,9.0,9.0,0,0,0.0,55.1,0,13,0.0,0,0,118.8,1,10,33.3,13,0,1,1,0,13,5,1.4,13.0
Ricardo Hallman,145169,CB,WISCONSIN,5,110,0,349,0,14.0,33.3,100.0,13.0,4.3,0,0,0.0,56.7,0,35,0.0,0,0,78.5,1,14,12.7,14,0,1,3,0,35,2,2.7,35.0,0,0,11.6,44.4,100.0,13.0,5.8,0,1,11.1,78.4,1,31,50.0,2,1,27.3,4,54,49.1,54,0,2,9,0,60,43,1.2,15.0
Darryl Peterson,145175,ED,WISCONSIN,5,16,0,349,0,,,7.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,6.3,13,0,0,0,0,0,0,0.0,,0,0,-2.0,100.0,30.0,3.0,3.0,0,0,0.0,62.5,0,11,0.0,0,0,79.2,3,9,56.3,30,2,2,3,0,9,15,1.0,3.0
Bryan Sanborn,145180,LB,WISCONSIN,1,3,0,349,0,,,100.0,,,0,0,,60.4,0,,,0,0,0.0,0,2,66.7,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,1,0,0,0,0,0,0,0.0,
Hunter Wohler,145183,S,WISCONSIN,1,18,0,349,0,,,100.0,,,0,0,,60.7,0,,,0,0,0.0,0,2,11.1,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,67.7,0,,0.0,0,0,0.0,0,14,77.8,14,0,2,0,0,0,0,0.0,
Jayden Williams,145199,CB,FAU,5,111,0,165,0,13.1,57.1,68.2,3.5,2.0,0,0,0.0,30.2,0,34,0.0,0,0,101.8,4,15,13.5,22,0,2,7,0,92,44,6.6,23.0,0,2,3.6,83.3,84.0,7.5,6.3,0,0,0.0,49.8,0,29,20.0,2,0,105.9,10,79,71.2,94,2,6,12,0,113,77,1.5,11.3
Amari Wansley,145201,S,FAU,4,41,0,165,0,1.0,100.0,100.0,6.0,6.0,0,0,0.0,72.6,0,2,0.0,0,0,79.2,1,6,14.6,6,1,1,1,0,2,1,0.3,2.0,0,0,4.0,100.0,93.3,28.0,28.0,0,0,0.0,57.6,0,11,50.0,1,0,112.5,1,28,68.3,30,0,1,1,0,11,7,0.4,11.0
Courtney McBride,145205,LB,FAU,6,31,0,165,0,,,50.0,,,0,0,,62.3,0,,,0,0,0.0,0,6,19.4,12,0,0,0,0,0,0,0.0,,0,0,,,52.6,,,0,0,,67.3,0,,0.0,0,0,0.0,0,20,64.5,38,1,3,0,0,0,0,0.0,
Brian Blades,145225,CB,FIU,3,47,0,166,0,22.0,0.0,100.0,,6.0,0,0,0.0,54.7,0,,,0,0,39.6,0,13,27.7,13,0,0,2,0,0,0,0.0,,0,0,22.6,80.0,100.0,6.8,5.4,0,1,20.0,55.5,0,45,0.0,0,1,118.8,4,27,57.4,27,0,5,5,0,122,30,4.5,30.5
Demetrius Hill,145227,S,FIU,4,134,0,166,0,8.5,75.0,96.4,8.7,6.5,0,0,0.0,54.1,0,9,0.0,0,0,126.0,3,27,20.1,28,0,2,4,2,21,3,0.8,7.0,0,1,2.6,100.0,98.5,12.6,12.6,0,0,0.0,61.9,0,22,33.3,3,0,94.2,5,66,49.3,67,1,5,5,0,33,20,0.5,6.6
Gaethan Bernadel,145230,LB,FIU,4,131,0,166,0,24.0,0.0,77.8,,20.0,0,0,0.0,53.5,0,,100.0,1,0,39.6,0,21,16.0,27,0,0,1,0,0,0,0.0,,0,0,1.4,100.0,85.3,12.0,12.0,0,0,0.0,47.2,0,21,37.5,3,0,142.1,5,64,48.9,75,2,5,5,1,43,36,0.7,8.6
Keegan Davis,145234,ED,FIU,4,3,0,166,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,11,0,0,0,0,0,0,,,0,0,,,6.3,,,0,0,,60.1,0,,,0,0,0.0,0,2,66.7,32,0,0,0,0,0,0,0.0,
BeeJay Williamson,145255,S,LA TECH,4,126,0,208,0,6.0,50.0,97.5,35.0,17.5,0,0,0.0,71.0,0,8,0.0,0,0,60.4,1,39,31.0,40,1,3,2,0,8,2,0.2,8.0,0,1,4.5,50.0,97.3,71.0,35.5,0,0,0.0,72.3,0,13,12.5,1,0,70.8,1,73,57.9,75,3,6,2,0,13,4,0.2,13.0
J'Dan Burnett,145260,ED,LA TECH,4,1,0,208,0,,,5.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,18,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,32,1,0,0,0,0,0,,
Jai'Brian Bouye,145308,CB,MIDDLE TN,1,4,0,224,0,,,100.0,,,0,0,,60.8,0,,,0,0,0.0,0,2,50.0,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,61.2,0,,,0,0,0.0,0,2,50.0,2,0,0,0,0,0,0,0.0,
Jakobe Thomas,145309,S,MIDDLE TN,2,31,0,224,0,,,100.0,,,0,0,,72.4,0,,0.0,0,0,0.0,0,14,45.2,14,1,2,0,0,0,0,0.0,,0,0,-4.5,50.0,100.0,16.0,8.0,0,0,0.0,65.3,0,1,50.0,1,0,56.3,1,16,51.6,16,1,1,2,0,1,7,0.1,1.0
Deonte Stanley,145313,CB,MIDDLE TN,5,73,0,224,0,5.0,50.0,100.0,16.0,8.0,0,0,0.0,72.1,0,2,0.0,0,0,56.3,1,17,23.3,17,1,1,2,0,2,3,0.1,2.0,0,0,21.5,50.0,100.0,19.0,9.5,0,0,0.0,69.1,1,11,0.0,0,0,27.1,1,19,26.0,19,0,1,2,0,11,0,0.6,11.0
Damonte Smith,145315,DI,MIDDLE TN,5,3,0,224,0,,,5.9,,,0,0,,59.2,0,,,0,0,0.0,0,1,33.3,17,0,0,0,0,0,0,0.0,,0,0,,,2.4,,,0,0,,60.0,0,,0.0,0,0,0.0,0,1,33.3,41,1,1,0,0,0,0,0.0,
