"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"122","Darnell Mooney","CHI",3000,0,NA,69.2,NA,4.8,1.58,NA,"PHI",1,4,0.14,1.79,1.65,18,15,106,0.269,7,200,0.731,5,-0.158,2,4.3,"Darnell Mooney 3000 0"
"123","Daurice Fountain","CHI",3000,0,NA,NA,NA,NA,NA,NA,"PHI",1,4,NA,NA,NA,18,15,NA,0.269,7,NA,0.731,5,-0.158,NA,NA,"Daurice Fountain 3000 0"
"124","Ihmir Smith-Marsette","KC",3000,0,NA,43.6,NA,0.8,0.5,NA,"HOU",22,32,-0.83,0,0.83,26,7,10,0.22,28,19,0.78,31,0.111,0,5,"Ihmir Smith-Marsette 3000 0"
"125","Justyn Ross","KC",3000,0,NA,NA,NA,NA,NA,NA,"HOU",22,32,NA,NA,NA,26,7,NA,0.22,28,NA,0.78,31,0.111,NA,NA,"Justyn Ross 3000 0"
"126","Bryan Edwards","KC",3000,0,NA,50.7,NA,0.7,0.29,NA,"HOU",22,32,-0.33,0,0.33,26,7,10,0.22,28,37,0.78,31,0.111,0,3.7,"Bryan Edwards 3000 0"
"127","Cornell Powell","KC",3000,0,NA,NA,NA,NA,NA,NA,"HOU",22,32,NA,NA,NA,26,7,NA,0.22,28,NA,0.78,31,0.111,NA,NA,"Cornell Powell 3000 0"
"128","Jerrion Ealy","KC",3000,0,NA,NA,NA,NA,NA,NA,"HOU",22,32,NA,NA,NA,26,7,NA,0.22,28,NA,0.78,31,0.111,NA,NA,"Jerrion Ealy 3000 0"
"129","Marcus Kemp","KC",3000,0,NA,NA,NA,NA,NA,NA,"HOU",22,32,NA,NA,NA,26,7,NA,0.22,28,NA,0.78,31,0.111,NA,NA,"Marcus Kemp 3000 0"
"130","Jalen Camp","HOU",3000,0,NA,67,NA,0.5,1,NA,"KC",14,7,3.5,3.5,0,8,25,3,0.354,2,3,0.646,11,0.026,0,0,"Jalen Camp 3000 0"
"131","John Metchie III","HOU",3000,0,NA,NA,NA,NA,NA,NA,"KC",14,7,NA,NA,NA,8,25,NA,0.354,2,NA,0.646,11,0.026,NA,NA,"John Metchie III 3000 0"
"132","Johnny Johnson III","HOU",3000,0,NA,NA,NA,NA,NA,NA,"KC",14,7,NA,NA,NA,8,25,NA,0.354,2,NA,0.646,11,0.026,NA,NA,"Johnny Johnson III 3000 0"
"133","Davion Davis","HOU",3000,0,NA,NA,NA,NA,NA,NA,"KC",14,7,NA,NA,NA,8,25,NA,0.354,2,NA,0.646,11,0.026,NA,NA,"Davion Davis 3000 0"
"134","Alex Bachman","HOU",3000,0,NA,NA,NA,NA,NA,NA,"KC",14,7,NA,NA,NA,8,25,NA,0.354,2,NA,0.646,11,0.026,NA,NA,"Alex Bachman 3000 0"
"135","Jalen Tolbert","DAL",3000,0,NA,48.7,NA,0.4,0.3,NA,"JAX",23,30,-0.33,0.24,0.57,NA,NA,19,NA,NA,16,NA,NA,0.113,0,0,"Jalen Tolbert 3000 0"
"136","Simi Fehoko","DAL",3000,0,NA,55.7,NA,1,1.04,NA,"JAX",23,30,-1.42,0,1.42,NA,NA,6,NA,NA,13,NA,NA,0.113,0,3.3,"Simi Fehoko 3000 0"
"137","Dontario Drummond","DAL",3000,0,NA,NA,NA,NA,NA,NA,"JAX",23,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA,NA,"Dontario Drummond 3000 0"
"138","Dennis Houston","DAL",3000,0,NA,54.6,NA,3,0.33,NA,"JAX",23,30,-0.16,0,0.16,NA,NA,14,NA,NA,32,NA,NA,0.113,0,3,"Dennis Houston 3000 0"
"139","Brandon Smith","DAL",3000,0,NA,NA,NA,NA,NA,NA,"JAX",23,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA,NA,"Brandon Smith 3000 0"
"140","Antonio Callaway","DAL",3000,0,NA,NA,NA,NA,NA,NA,"JAX",23,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA,NA,"Antonio Callaway 3000 0"
"141","Kendric Pryor","JAX",3000,0,NA,NA,NA,NA,NA,NA,"DAL",10,6,NA,NA,NA,22,12,NA,0.251,24,NA,0.749,1,-0.019,NA,NA,"Kendric Pryor 3000 0"
"142","Willie Johnson","JAX",3000,0,NA,NA,NA,NA,NA,NA,"DAL",10,6,NA,NA,NA,22,12,NA,0.251,24,NA,0.749,1,-0.019,NA,NA,"Willie Johnson 3000 0"
"143","Calvin Ridley","JAX",3000,0,NA,NA,NA,NA,NA,NA,"DAL",10,6,NA,NA,NA,22,12,NA,0.251,24,NA,0.749,1,-0.019,NA,NA,"Calvin Ridley 3000 0"
"144","Kevin Austin Jr.","JAX",3000,0,NA,NA,NA,NA,NA,NA,"DAL",10,6,NA,NA,NA,22,12,NA,0.251,24,NA,0.749,1,-0.019,NA,NA,"Kevin Austin Jr. 3000 0"
"145","Jaylon Moore","JAX",3000,0,NA,NA,NA,NA,NA,NA,"DAL",10,6,NA,NA,NA,22,12,NA,0.251,24,NA,0.749,1,-0.019,NA,NA,"Jaylon Moore 3000 0"
"146","Seth Williams","JAX",3000,0,NA,NA,NA,NA,NA,NA,"DAL",10,6,NA,NA,NA,22,12,NA,0.251,24,NA,0.749,1,-0.019,NA,NA,"Seth Williams 3000 0"
"147","Rodney Adams","NYJ",3000,0,NA,NA,NA,NA,NA,NA,"DET",26,28,NA,NA,NA,2,31,NA,0.437,20,NA,0.563,30,0.128,NA,NA,"Rodney Adams 3000 0"
"148","Irvin Charles","NYJ",3000,0,NA,NA,NA,NA,NA,NA,"DET",26,28,NA,NA,NA,2,31,NA,0.437,20,NA,0.563,30,0.128,NA,NA,"Irvin Charles 3000 0"
"149","Diontae Spencer","NYJ",3000,0,NA,NA,NA,NA,NA,NA,"DET",26,28,NA,NA,NA,2,31,NA,0.437,20,NA,0.563,30,0.128,NA,NA,"Diontae Spencer 3000 0"
"150","Tom Kennedy","DET",3000,0,NA,59.3,NA,1.9,1.13,NA,"NYJ",11,1,1.29,1.69,0.4,12,21,58,0.298,1,58,0.702,6,-0.013,0,9.4,"Tom Kennedy 3000 0"
"151","Quintez Cephus","DET",3000,0,NA,68,NA,0.8,0.71,NA,"NYJ",11,1,-1.29,0,1.29,12,21,11,0.298,1,9,0.702,6,-0.013,0,2,"Quintez Cephus 3000 0"
"152","Trinity Benson","DET",3000,0,NA,NA,NA,NA,NA,NA,"NYJ",11,1,NA,NA,NA,12,21,NA,0.298,1,NA,0.702,6,-0.013,NA,NA,"Trinity Benson 3000 0"
"153","Brandon Zylstra","DET",3000,0,NA,NA,NA,NA,NA,NA,"NYJ",11,1,NA,NA,NA,12,21,NA,0.298,1,NA,0.702,6,-0.013,NA,NA,"Brandon Zylstra 3000 0"
"154","Maurice Alexander","DET",3000,0,NA,57.2,NA,0.3,1.4,NA,"NYJ",11,1,3.5,3.5,0,12,21,3,0.298,1,3,0.702,6,-0.013,0,5,"Maurice Alexander 3000 0"
"155","Stanley Berryhill","DET",3000,0,NA,NA,NA,NA,NA,NA,"NYJ",11,1,NA,NA,NA,12,21,NA,0.298,1,NA,0.702,6,-0.013,NA,NA,"Stanley Berryhill 3000 0"
"156","Antoine Wesley","ARI",3000,0,NA,NA,NA,NA,NA,NA,"DEN",2,2,NA,NA,NA,22,12,NA,0.251,4,NA,0.749,7,-0.081,NA,NA,"Antoine Wesley 3000 0"
"157","Pharoh Cooper","ARI",3000,0,NA,NA,NA,NA,NA,NA,"DEN",2,2,NA,NA,NA,22,12,NA,0.251,4,NA,0.749,7,-0.081,NA,NA,"Pharoh Cooper 3000 0"
"158","Andre Baccellia","ARI",3000,0,NA,61.9,NA,1.2,0.65,NA,"DEN",2,2,-0.76,0,0.76,22,12,7,0.251,4,38,0.749,7,-0.081,0,2.2,"Andre Baccellia 3000 0"
"159","Javon Wims","ARI",3000,0,NA,NA,NA,NA,NA,NA,"DEN",2,2,NA,NA,NA,22,12,NA,0.251,4,NA,0.749,7,-0.081,NA,NA,"Javon Wims 3000 0"
"160","Tim Patrick","DEN",3000,0,NA,NA,NA,NA,NA,NA,"ARI",21,19,NA,NA,NA,29,4,NA,0.21,20,NA,0.79,15,0.097,NA,NA,"Tim Patrick 3000 0"
"161","Kaden Davis","DEN",3000,0,NA,NA,NA,NA,NA,NA,"ARI",21,19,NA,NA,NA,29,4,NA,0.21,20,NA,0.79,15,0.097,NA,NA,"Kaden Davis 3000 0"
"162","Tyrie Cleveland","DEN",3000,0,NA,52,NA,1.5,0.7,NA,"ARI",21,19,1.1,1.6,0.5,29,4,13,0.21,20,28,0.79,15,0.097,0,8.5,"Tyrie Cleveland 3000 0"
"163","Victor Bolden Jr.","DEN",3000,0,NA,NA,NA,NA,NA,NA,"ARI",21,19,NA,NA,NA,29,4,NA,0.21,20,NA,0.79,15,0.097,NA,NA,"Victor Bolden Jr. 3000 0"
"164","Jason Moore Jr.","LAC",3000,0,NA,NA,NA,NA,NA,NA,"TEN",18,18,NA,NA,NA,14,19,NA,0.285,11,NA,0.715,21,0.084,NA,NA,"Jason Moore Jr. 3000 0"
"165","Jalen Guyton","LAC",3000,0,NA,72.3,NA,1.3,3.37,NA,"TEN",18,18,17.17,18,0.83,14,19,3,0.285,11,12,0.715,21,0.084,0,4,"Jalen Guyton 3000 0"
"166","Keelan Doss","LAC",3000,0,NA,NA,NA,NA,NA,NA,"TEN",18,18,NA,NA,NA,14,19,NA,0.285,11,NA,0.715,21,0.084,NA,NA,"Keelan Doss 3000 0"
"167","Joe Reed","LAC",3000,0,NA,NA,NA,NA,NA,NA,"TEN",18,18,NA,NA,NA,14,19,NA,0.285,11,NA,0.715,21,0.084,NA,NA,"Joe Reed 3000 0"
"168","John Hightower","LAC",3000,0,NA,NA,NA,NA,NA,NA,"TEN",18,18,NA,NA,NA,14,19,NA,0.285,11,NA,0.715,21,0.084,NA,NA,"John Hightower 3000 0"
"169","C.J. Board","TEN",3000,0,NA,54.4,NA,1,0.6,NA,"LAC",15,14,-0.75,0,0.75,NA,NA,1,NA,NA,8,NA,NA,0.041,0,0,"C.J. Board 3000 0"
"170","Cody Hollister","TEN",3000,0,NA,61.7,NA,0.5,1.1,NA,"LAC",15,14,-1,0,1,NA,NA,15,NA,NA,29,NA,NA,0.041,0,2.7,"Cody Hollister 3000 0"
"171","Kyle Philips","TEN",3000,0,NA,63.7,NA,3.2,1.63,NA,"LAC",15,14,2.74,3.69,0.95,NA,NA,19,NA,NA,22,NA,NA,0.041,0,2.4,"Kyle Philips 3000 0"
"172","Dez Fitzpatrick","TEN",3000,0,NA,NA,NA,NA,NA,NA,"LAC",15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,NA,NA,"Dez Fitzpatrick 3000 0"
"173","Reggie Roberson Jr.","TEN",3000,0,NA,NA,NA,NA,NA,NA,"LAC",15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,NA,NA,"Reggie Roberson Jr. 3000 0"
"174","Kwamie Lassiter II","CIN",3000,0,NA,NA,NA,NA,NA,NA,"TB",4,8,NA,NA,NA,25,8,NA,0.226,6,NA,0.774,12,-0.068,NA,NA,"Kwamie Lassiter II 3000 0"
"175","Tyron Johnson","CIN",3000,0,NA,54.2,NA,0.2,0.44,NA,"TB",4,8,-0.67,0,0.67,25,8,6,0.226,6,12,0.774,12,-0.068,0,10,"Tyron Johnson 3000 0"
"176","Breshad Perriman","TB",3000,0,NA,53.8,NA,1.9,0.93,NA,"CIN",3,8,2.34,2.72,0.38,13,20,25,0.295,13,70,0.705,9,-0.076,1,5.8,"Breshad Perriman 3000 0"
"177","Kaylon Geiger Sr.","TB",3000,0,NA,NA,NA,NA,NA,NA,"CIN",3,8,NA,NA,NA,13,20,NA,0.295,13,NA,0.705,9,-0.076,NA,NA,"Kaylon Geiger Sr. 3000 0"
"178","Tyler Johnson","TB",3000,0,NA,NA,NA,NA,NA,NA,"CIN",3,8,NA,NA,NA,13,20,NA,0.295,13,NA,0.705,9,-0.076,NA,NA,"Tyler Johnson 3000 0"
"179","DJ Turner","LV",3000,0,NA,41.8,NA,0.2,0,NA,"NE",7,13,0,0,0,3,30,1,0.432,8,5,0.568,13,-0.057,0,NA,"DJ Turner 3000 0"
"180","Chris Lacy","LV",3000,0,NA,NA,NA,NA,NA,NA,"NE",7,13,NA,NA,NA,3,30,NA,0.432,8,NA,0.568,13,-0.057,NA,NA,"Chris Lacy 3000 0"
"181","Albert Wilson","LV",3000,0,NA,NA,NA,NA,NA,NA,"NE",7,13,NA,NA,NA,3,30,NA,0.432,8,NA,0.568,13,-0.057,NA,NA,"Albert Wilson 3000 0"
"182","Isaiah Zuber","LV",3000,0,NA,NA,NA,NA,NA,NA,"NE",7,13,NA,NA,NA,3,30,NA,0.432,8,NA,0.568,13,-0.057,NA,NA,"Isaiah Zuber 3000 0"
"183","Malik Turner","LV",3000,0,NA,NA,NA,NA,NA,NA,"NE",7,13,NA,NA,NA,3,30,NA,0.432,8,NA,0.568,13,-0.057,NA,NA,"Malik Turner 3000 0"
"184","Ty Montgomery","NE",3000,0,NA,63.9,NA,4,1.36,NA,"LV",30,22,1.22,2,0.78,7,26,5,0.4,25,11,0.6,22,0.174,1,2.7,"Ty Montgomery 3000 0"
"185","Matthew Slater","NE",3000,0,NA,NA,NA,NA,NA,NA,"LV",30,22,NA,NA,NA,7,26,NA,0.4,25,NA,0.6,22,0.174,NA,NA,"Matthew Slater 3000 0"
"186","Raleigh Webb","NE",3000,0,NA,NA,NA,NA,NA,NA,"LV",30,22,NA,NA,NA,7,26,NA,0.4,25,NA,0.6,22,0.174,NA,NA,"Raleigh Webb 3000 0"
"187","Kristian Wilkerson","NE",3000,0,NA,NA,NA,NA,NA,NA,"LV",30,22,NA,NA,NA,7,26,NA,0.4,25,NA,0.6,22,0.174,NA,NA,"Kristian Wilkerson 3000 0"
"188","Tre Nixon","NE",3000,0,NA,NA,NA,NA,NA,NA,"LV",30,22,NA,NA,NA,7,26,NA,0.4,25,NA,0.6,22,0.174,NA,NA,"Tre Nixon 3000 0"
"189","Lynn Bowden Jr.","NE",3000,0,NA,NA,NA,NA,NA,NA,"LV",30,22,NA,NA,NA,7,26,NA,0.4,25,NA,0.6,22,0.174,NA,NA,"Lynn Bowden Jr. 3000 0"
"190","Deonte Harty","NO",3000,0,NA,47.9,NA,0.5,0.81,NA,"ATL",31,28,-1.18,0,1.18,20,13,3,0.265,26,11,0.735,27,0.206,0,4,"Deonte Harty 3000 0"
"191","Michael Thomas","NO",3000,0,NA,77.3,NA,7.3,1.64,NA,"ATL",31,28,0.47,2.11,1.64,20,13,21,0.265,26,73,0.735,27,0.206,3,1.6,"Michael Thomas 3000 0"
"192","Keith Kirkwood","NO",3000,0,NA,59.4,NA,1,0.58,NA,"ATL",31,28,0.88,1.17,0.29,20,13,13,0.265,26,14,0.735,27,0.206,0,1.5,"Keith Kirkwood 3000 0"
"193","Kevin White","NO",3000,0,NA,54.4,NA,0.7,0.99,NA,"ATL",31,28,3.37,3.37,0,20,13,20,0.265,26,43,0.735,27,0.206,0,34,"Kevin White 3000 0"
"194","Frank Darby","ATL",3000,0,NA,NA,NA,NA,NA,NA,"NO",20,16,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,16,0.096,NA,NA,"Frank Darby 3000 0"
"195","Jared Bernhardt","ATL",3000,0,NA,NA,NA,NA,NA,NA,"NO",20,16,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,16,0.096,NA,NA,"Jared Bernhardt 3000 0"
"196","Josh Ali","ATL",3000,0,NA,NA,NA,NA,NA,NA,"NO",20,16,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,16,0.096,NA,NA,"Josh Ali 3000 0"
"197","Ra'Shaun Henry","ATL",3000,0,NA,NA,NA,NA,NA,NA,"NO",20,16,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,16,0.096,NA,NA,"Ra'Shaun Henry 3000 0"
"198","Emeka Emezie","ATL",3000,0,NA,NA,NA,NA,NA,NA,"NO",20,16,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,16,0.096,NA,NA,"Emeka Emezie 3000 0"
"199","Cameron Batson","ATL",3000,0,NA,NA,NA,NA,NA,NA,"NO",20,16,NA,NA,NA,11,22,NA,0.301,21,NA,0.699,16,0.096,NA,NA,"Cameron Batson 3000 0"
