player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Gabe Reid,52273,ED,UTAH,3,3,0.6,0,0,328,57.9,81.8,79.8,79.8,76.0,81.0,0.0,0,0,33,33,24.2,8,8
Ryan Johnson,52282,ED,NWESTERN,4,1,-6.0,0,0,256,59.3,68.9,79.6,65.6,68.9,57.1,33.3,1,0,50,51,2.0,1,1
Bentlee Sanders,52291,S,NEVADA,5,1,7.7,0,1,239,77.6,71.6,84.5,,56.1,55.0,24.0,6,1,161,165,5.0,8,18
Darrien Grant,52293,DI,USF,4,0,2.5,0,0,327,,58.8,78.3,63.4,54.8,73.0,0.0,0,0,36,38,5.6,2,2
Fred Lloyd Jr.,52300,WR,LA MONROE,1,0,,0,0,209,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Mekhi LaPointe,52315,S,USF,4,2,7.6,0,0,327,66.0,60.2,81.6,59.5,48.8,59.2,31.6,6,0,96,97,5.2,5,11
Nick Roberts,52318,S,SMU,4,5,20.5,0,0,287,61.6,59.2,81.9,58.4,53.2,62.5,25.0,3,0,111,113,0.0,0,4
Bryce Dugan,52425,ED,OHIO,2,0,,0,0,259,60.0,52.6,74.5,54.8,62.4,23.8,,0,0,5,6,0.0,0,0
Malik Vann,52555,ED,CINCINNATI,2,0,3.5,0,0,138,,53.9,0.0,60.1,56.9,73.1,0.0,0,1,24,24,4.2,1,2
Tyler Bentley,52790,DI,PITTSBURGH,4,1,0.5,0,0,268,,67.4,77.2,59.1,71.4,44.2,25.0,1,0,22,22,9.1,2,2
Xavier Peters,52819,ED,FAU,2,0,2.0,0,0,165,55.3,65.7,0.0,58.4,85.0,78.8,0.0,0,1,14,14,28.6,4,4
Cole Pearce,52970,LB,BALL ST,4,8,1.6,0,0,117,60.1,74.7,81.8,56.8,84.6,90.0,0.0,0,0,140,142,9.3,13,17
