player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Gerald McHenry Jr.,166937,CB,CONCMI,1,0,1472,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,3.8,2,52,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Demonte Holliman,139336,CB,MS VLY ST,4,0,228,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,2.2,2,92,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Linwood Crump,43401,CB,NEW MEX ST,4,0,242,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,3.1,2,65,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Pig Cage,139455,CB,UTSA,4,0,331,0,2,0,0,2,1,75.0,3,2,33.3,0,0,0,1,9.8,4,41,2,25.0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0,0
Eric Coley,56200,S,SYRACUSE,3,0,304,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,6.9,2,29,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Teagan Wilk,123843,S,E CAROLINA,4,0,156,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,2.3,2,87,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Tylan Turner,139483,LB,NICHOLLS,2,0,243,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,9.5,2,21,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Khalil Arrington,104524,LB,JACKSON ST,4,0,194,0,1,0,0,0,0,40.0,2,0,0.0,0,0,0,0,16.2,6,37,2,25.0,0,0,1,0,60.0,3,2,50.0,1,1,0,1,1,0
Dennis Fisher,104244,S,ALAB A&M,3,0,104,1,0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,5.4,2,37,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tavian Montgomery,104239,S,N ARIZONA,4,0,252,1,3,0,1,1,1,37.5,3,2,33.3,0,0,0,1,22.2,8,36,4,25.0,0,0,2,0,62.5,5,2,20.0,0,0,0,0,0,0
Ben Howe-Jones,142216,LB,ALBANY,2,0,106,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,16.7,2,12,1,25.0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,0,0
Clayton Jensen,103792,LB,SO UTAH,4,0,298,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,4.8,2,42,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jared Joseph,142355,S,RICHMOND,4,0,276,1,0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,10.0,2,20,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Seth Bolin,142447,ED,DUQUESNE,2,0,155,1,2,0,1,2,0,100.0,6,3,25.0,0,0,0,0,100.0,6,6,3,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
KeSean Brown,102847,LB,APP STATE,3,0,108,1,3,0,0,3,0,58.3,7,4,35.7,1,1,0,0,20.3,12,59,5,25.0,0,1,0,0,41.7,5,1,10.0,0,0,0,1,1,0
Mekhi Bethel,142975,LB,RHODE ISLD,4,0,274,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,11.1,2,18,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Donovan Lassiter,143126,CB,LEHIGH,4,0,205,0,0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,5.7,4,70,1,25.0,0,0,0,0,75.0,3,1,33.3,1,1,0,1,1,0
Kama Jackson III,165574,CB,STTMFL,1,0,1477,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,16.7,2,12,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Jordan Poole,144001,LB,NC STATE,1,0,248,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,18.2,2,11,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
