player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Jaylen Warren,98692,HB,PIT,1,0,25,22.9,0,0,6,40.0,37.5,100.0,0,0,0,6,16,74.6,0,0,1,16.7,16.7,100.0,0,0,1,6
Kareem Hunt,11841,HB,CLV,1,0,8,67.1,0,0,6,23.1,19.4,100.0,0,0,0,6,31,63.4,0,0,4,28.6,25.0,100.0,0,0,4,16
Geoff Swaim,9679,TE,TEN,1,0,31,74.8,0,0,5,26.3,25.0,100.0,0,0,0,5,20,,0,0,0,0.0,0.0,,0,0,0,5
Walker Little,52287,T,JAX,1,0,15,77.7,0,0,4,100.0,100.0,100.0,0,0,0,5,5,77.7,0,0,4,100.0,100.0,100.0,0,0,5,5
Joe Mixon,11803,HB,CIN,1,0,7,44.8,0,0,5,11.6,11.1,100.0,0,0,0,5,45,32.3,0,0,3,13.0,12.0,100.0,0,0,3,25
Saahdiq Charles,59820,G,WAS,1,0,32,0.0,0,1,4,100.0,100.0,87.5,0,1,0,5,5,77.7,0,0,3,100.0,100.0,100.0,0,0,3,3
Travis Etienne,57185,HB,JAX,1,0,15,20.0,0,2,4,15.4,17.2,75.0,0,2,0,5,29,53.5,0,0,2,16.7,20.0,100.0,0,0,3,15
Yodny Cajuste,46297,T,NE,1,0,19,78.7,0,0,4,100.0,100.0,100.0,0,0,0,5,5,72.6,0,0,1,100.0,100.0,100.0,0,0,1,1
Tyler Conklin,47124,TE,NYJ,1,0,22,15.5,0,1,5,9.1,8.5,90.0,0,1,0,5,59,70.6,0,0,1,4.3,3.7,100.0,0,0,1,27
Devin Singletary,40485,HB,BUF,1,0,4,42.3,0,1,5,21.7,21.7,90.0,0,1,0,5,23,42.7,0,1,2,25.0,25.0,75.0,1,0,2,8
Mo Alie-Cox,12078,TE,IND,1,0,14,74.6,0,0,5,19.2,18.5,100.0,0,0,0,5,27,70.2,0,0,1,10.0,10.0,100.0,0,0,1,10
David Montgomery,45719,HB,CHI,1,0,6,80.4,0,0,5,26.3,26.3,100.0,0,0,0,5,19,76.9,0,0,2,22.2,22.2,100.0,0,0,2,9
