"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"223","Tom Kennedy","DET","wr","6","@NYG","4.3","0","0","0","0","0","0","0","0","0","2.4876","1.5677","19.9621","0.1175","0.0158","0.0079","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"224","Jonnu Smith","NE","te","10","NYJ","3.5","0","0","0","0","0","0","0","0","0","2.0502","1.513","13.461","0.1051","0.0177","0.0089","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225","Zamir White","LV","rb","6","@DEN","1.3","0","0","0","0","0","0","1.988","8.0345","0.0502","0.1325","0.1066","0.7833","0.0034","0.0138","0.0069","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"226","Jauan Jennings","SF","wr","9","@ARZ","4.1","0","0","0","0","0","0","0.0276","0.1666","0.0012","2.2936","1.5157","17.4332","0.1388","0.0184","0.0092","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"227","Rex Burkhead","HST","rb","6","WAS","1.2","0","0","0","0","0","0","0.9606","3.4725","0.0285","0.4018","0.331","2.2956","0.0142","0.0077","0.0038","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"228","Robbie Anderson","ARZ","wr","13","SF","4","0","0","0","0","0","0","0","0","0","2.7012","1.6875","17.3859","0.0968","0.014","0.007","0.0073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"229","Ronnie Rivers","LA","rb","7","@NO","1.1","0","0","0","0","0","0","0.5633","2.2457","0.0156","0.4564","0.3759","2.817","0.0151","0.0072","0.0036","0.0008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"230","Grant Calcaterra","PHI","te","7","@IND","3.3","0","0","0","0","0","0","0","0","0","1.7162","1.2402","13.9093","0.1038","0.0146","0.0073","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"231","Chigoziem Okonkwo","TEN","te","6","@GB","3.3","0","0","0","0","0","0","0","0","0","1.7333","1.2384","14.2925","0.1005","0.0142","0.0071","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"232","Josiah Deguara","GB","te","14","TEN","3.2","0","0","0","0","0","0","0","0","0","1.7312","1.3142","13.1388","0.1003","0.014","0.007","0.0066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"233","Jordan Wilkins","IND","rb","14","PHI","1","0","0","0","0","0","0","0.2902","1.2565","0.0073","0.5296","0.4446","2.8655","0.0123","0.0056","0.0028","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234","Patrick Ricard","BLT","rb","10","CAR","1","0","0","0","0","0","0","0.5466","2.2989","0.0234","0.3432","0.2772","2.2082","0.0177","0.0069","0.0035","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"235","Trestan Ebner","CHI","rb","14","@ATL","1","0","0","0","0","0","0","0.9873","4.1407","0.0361","0.2515","0.2025","1.5154","0.0089","0.0344","0.0172","0.0015","55.4783","0.0442","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"236","Pierre Strong Jr.","NE","rb","10","NYJ","1","0","0","0","0","0","0","0.4963","2.0659","0.0157","0.4331","0.3498","2.6229","0.012","0.0067","0.0033","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"237","Marquez Callaway","NO","wr","14","LA","3.8","0","0","0","0","0","0","0","0","0","2.1281","1.3481","18.5389","0.1052","0.0106","0.0053","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"238","Byron Pringle","CHI","wr","14","@ATL","3.8","0","0","0","0","0","0","0","0","0","2.1238","1.4445","16.1019","0.1219","0.0121","0.006","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"239","D'Ernest Johnson","CLV","rb","9","@BUF","0.9","0","0","0","0","0","0","0.3746","1.7786","0.01","0.4285","0.3434","2.3403","0.0072","0.0066","0.0033","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"240","Raheem Blackshear","CAR","rb","13","@BLT","0.9","0","0","0","0","0","0","0.4596","1.8649","0.0105","0.4456","0.3599","2.7458","0.0104","0.0336","0.0168","0.0005","61.2635","0.031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","Mo Alie-Cox","IND","te","14","PHI","3.1","0","0","0","0","0","0","0","0","0","1.6218","1.1787","13.0117","0.099","0.0179","0.009","0.0057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"242","Braxton Berrios","NYJ","wr","10","@NE","3.7","0","0","0","0","0","0","0.416","2.2841","0.019","2.4785","1.7652","13.4669","0.0478","0.0861","0.043","0.0027","87.051","0.0587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"243","Isaiah Hodgins","NYG","wr","9","DET","3.7","0","0","0","0","0","0","0","0","0","1.9237","1.271","16.4507","0.1235","0.0131","0.0065","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","Malcolm Brown","LA","rb","7","@NO","0.8","0","0","0","0","0","0","0.3051","1.1164","0.01","0.3862","0.3186","2.0936","0.01","0.0058","0.0029","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245","Derek Watt","PIT","rb","9","CIN","0.8","0","0","0","0","0","0","0.2952","1.1997","0.0092","0.3587","0.2918","2.0833","0.0129","0.0047","0.0023","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246","Avery Williams","ATL","rb","14","CHI","0.8","0","0","0","0","0","0","0.2637","1.2146","0.0103","0.3509","0.2942","2.0844","0.0119","0.0045","0.0022","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"247","Ty Johnson","NYJ","rb","10","@NE","0.8","0","0","0","0","0","0","0.9475","3.6574","0.0255","0.1729","0.1346","0.9755","0.0043","0.0079","0.0039","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"248","O.J. Howard","HST","te","6","WAS","2.9","0","0","0","0","0","0","0","0","0","1.5736","1.0799","12.662","0.0897","0.0114","0.0057","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"249","Jelani Woods","IND","te","14","PHI","2.9","0","0","0","0","0","0","0","0","0","1.5556","1.1161","12.0389","0.0899","0.0129","0.0064","0.0064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","Reggie Gilliam","BUF","rb","7","CLV","0.7","0","0","0","0","0","0","0","0","0","0.3757","0.3078","2.4481","0.0173","0.0028","0.0014","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"251","Spencer Brown","CAR","rb","13","@BLT","0.7","0","0","0","0","0","0","0.569","2.2834","0.0123","0.2865","0.2314","1.6723","0.0069","0.0059","0.003","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"252","Greg Dortch","ARZ","wr","13","SF","3.5","0","0","0","0","0","0","0.3712","2.1086","0.0142","2.0346","1.455","13.4849","0.072","0.0796","0.0398","0.0043","85.9506","0.0588","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"253","Stephen Anderson","ARZ","te","13","SF","2.8","0","0","0","0","0","0","0","0","0","1.6488","1.243","11.444","0.0725","0.0139","0.0069","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"254","Zach Gentry","PIT","te","9","CIN","2.8","0","0","0","0","0","0","0","0","0","1.6957","1.286","10.7675","0.0726","0.0143","0.0072","0.0043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"255","Peyton Hendershot","DAL","te","9","@MIN","2.8","0","0","0","0","0","0","0","0","0","1.4676","1.0745","11.4798","0.0903","0.0124","0.0062","0.0036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
