player_id,team,opp,pos,name,fpts,proj_own,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1325624,SYR,PUR,WR,Oronde Gadsden II,5.99,0,0,0,6300,,,1325624
1180072,IU,WKU,QB,Grant Gremel,,0,0,0,4500,,,1180072
1214315,SYR,PUR,WR,Ja'Vontae Williams,,0,0,0,3000,,,1214315
1226657,NIU,VAND,WR,Trayvon Rudolph,,0,0,0,3000,,,1226657
1400413,WKU,IU,QB,Turner Helton,,0,0,0,4500,,,1400413
1213479,OU,NEB,WR,LV Bunkley-Shelton,1.33,0,0,0,3000,,,1213479
1215305,PSU,AUB,WR,Mitchell Tinsley,14.86,12,0,0,5800,,,1215305
1215789,SCAR,UGA,WR,Antwane Wells Jr.,11.07,4,0,0,4200,,,1215789
1213369,AUB,PSU,WR,Koy Moore,3.65,0,0,0,3300,,,1213369
1228626,SYR,PUR,QB,JaCobian Morgan,,0,0,0,4500,,,1228626
1127107,NEB,OU,RB,Markese Stepp,,0,0,0,3000,,,1127107
1214117,CINCY,MIAOH,RB,Ethan Wright,,0,0,0,3000,,,1214117
1395991,MISS,GT,WR,Jeremiah Dillon,,0,0,0,3000,,,1395991
1394781,CINCY,MIAOH,WR,Marcus Peterson,,0,0,0,3000,,,1394781
1186672,IU,WKU,WR,Christian Harris,,0,0,0,3000,,,1186672
1401678,PUR,SYR,WR,Curtis Deville Jr.,,0,0,0,3000,,,1401678
1400589,SYR,PUR,WR,Carter Clark,,0,0,0,3000,,,1400589
1381130,UGA,SCAR,WR,C.J. Smith,,0,0,0,3000,,,1381130
1394682,COL,MINN,RB,Victor Venn,,0,0,0,3000,,,1394682
1215228,WKU,IU,WR,Craig Burt Jr.,1.65,0,0,0,3100,,,1215228
1400369,VAND,NIU,QB,Hayden Moses,,0,0,0,4500,,,1400369
1325228,CINCY,MIAOH,RB,Shaun Thomas,,0,0,0,3000,,,1325228
1176663,NIU,VAND,WR,Tristen Tewes,0.52,0,0,0,3000,,,1176663
1380075,PSU,AUB,WR,Jason Estrella,,0,0,0,3000,,,1380075
1296464,VAND,NIU,WR,Quincy Skinner Jr.,,0,0,0,3300,,,1296464
1172087,VAND,NIU,WR,Justin Ball,3.36,0,0,0,3000,,,1172087
1131200,BYU,ORE,WR,Brayden Cosper,8.28,1,0,0,3900,,,1131200
1287653,NEB,OU,RB,Gabe Ervin Jr.,1.9,0,0,0,4800,,,1287653
1286443,UH,KU,WR,Cody Jackson,0.73,0,0,0,3000,,,1286443
1286685,GT,MISS,WR,Leo Blackburn,,0,0,0,3100,,,1286685
1230420,PUR,SYR,WR,Andrew Sowinski,,0,0,0,3000,,,1230420
1164002,GT,MISS,WR,Kalani Norris,5.9,1,0,0,3000,,,1164002
1165333,OU,NEB,QB,Dillon Gabriel,26.22,11,0,0,9500,,,1165333
1398632,UH,KU,QB,Jett Huff,,0,0,0,4500,,,1398632
1384354,ND,CAL,WR,Hakim Sanfo,,0,0,0,3000,,,1384354
1178302,CAL,ND,RB,DeCarlos Brooks,8.6,2,0,0,3200,,,1178302
1287686,NEB,OU,WR,AJ Rollins,,0,0,0,3000,,,1287686
1405408,UCLA,SALA,RB,TJ Harden,1.73,0,0,0,3000,,,1405408
1395145,MINN,COL,WR,Cade Conzemius,,0,0,0,3000,,,1395145
1068203,MISS,GT,RB,Isaiah Woullard,1.2,0,0,0,3000,,,1068203
1399996,NIU,VAND,WR,Dane Pardridge,,0,0,0,3000,,,1399996
1163078,UCLA,SALA,WR,Kam Brown,6.89,0,0,0,4300,,,1163078
1384277,ORE,BYU,WR,Justius Lowe,,0,0,0,3000,,,1384277
1167566,BYU,ORE,QB,Rhett Reilly,,0,0,0,4500,,,1167566
1286267,UH,KU,RB,Brandon Campbell,19.96,12,0,0,6600,,,1286267
1222621,WKU,IU,WR,Dakota Thomas,0.68,0,0,0,3000,,,1222621
1320400,OU,NEB,WR,Adrian Scott,,0,0,0,3000,,,1320400
