player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Brandon Bishop,83123,CB,LA LAFAYET,10,6,0,69.6,0,0,207,73.4,72.1,85.6,74.2,58.3,64.2,0,3,1,21,16.0,4,2,1,64.9,16,0,35,3,194,276,11,0,0,11,0,1,265,9,73,226,4,15,23,3,0,127,81,7.9
Kaleb Dawson,83131,S,APP STATE,5,3,0,,0,0,108,69.4,72.6,75.4,59.6,73.0,84.6,0,0,0,,0.0,0,0,0,0.0,0,0,45,1,30,80,1,0,0,1,0,23,79,1,49,10,2,6,0,0,0,0,0,
Alijah Gammage,83135,S,ARIZONA ST,3,0,0,100.0,0,0,110,64.6,66.2,71.8,,62.4,76.4,0,0,0,3,0.0,0,0,0,79.2,1,0,1,0,9,14,0,0,0,0,0,11,14,0,5,2,0,1,1,0,0,3,0,3.0
LaDarrius Bishop,83138,CB,ARKANSAS,2,0,0,100.0,0,0,111,50.6,51.3,74.5,,60.6,74.2,0,0,0,35,0.0,0,0,0,158.3,3,0,0,24,18,25,0,0,0,0,0,0,25,0,7,1,0,1,3,0,1,76,9,25.3
Simeon Blair,83139,S,ARKANSAS,9,10,0,52.9,0,0,111,46.1,52.1,89.5,55.7,69.9,71.1,0,0,0,62,11.5,6,3,1,135.8,18,0,121,11,406,661,20,0,0,20,0,184,641,7,248,325,8,36,34,0,5,408,166,22.7
Joe Foucha,83141,S,LSU,5,2,0,63.6,0,0,211,58.8,65.2,84.3,59.9,77.2,72.0,0,1,1,35,13.0,3,2,0,81.6,7,0,68,0,118,222,12,0,0,12,0,90,210,8,96,52,7,18,11,1,1,90,51,12.9
Myles Mason,83143,S,LA TECH,4,5,0,40.0,0,0,208,67.2,66.8,79.2,68.7,61.6,61.0,1,4,0,11,15.0,3,0,0,48.8,2,0,86,2,74,162,7,0,0,7,0,40,155,11,77,27,3,12,5,5,0,16,15,8.0
Jaden Harris,83151,LB,ARK STATE,9,13,0,77.8,0,0,113,50.8,59.3,80.9,65.4,63.4,59.7,0,2,0,45,15.5,9,0,1,141.9,14,3,383,1,222,488,59,0,0,59,0,0,429,42,224,45,21,36,18,5,2,165,107,11.8
Ryan Ragone,83152,LB,MIAMI FL,2,0,0,,0,0,220,61.4,63.5,68.7,,60.3,,0,0,0,,,0,0,0,0.0,0,0,6,1,5,7,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,
Luke Cameron,83172,LB,E MICHIGAN,9,3,0,100.0,0,0,160,61.8,60.9,79.2,68.0,54.9,57.3,0,1,0,16,15.4,2,0,0,137.5,4,1,74,0,45,94,19,0,0,19,0,0,75,11,38,1,5,8,4,2,1,30,6,7.5
