"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Scotty Miller","ATL","HOU","WR","3000","0.2","-8.8","0.0","0.0","30031179","0.0","0.8"
"Zack Moss","IND","TEN","RB","5800","5.5","-9.0","0.5","0.5","30030759","1.1","11.8"
"Melvin Gordon III","BAL","PIT","RB","4600","3.0","-9.1","0.0","0.0","30030811","0.1","7.7"
"Alec Ingold","MIA","NYG","RB","4000","1.3","-9.6","0.0","0.0","30030861","0.0","4.4"
"Kendre Miller","NO","NE","RB","4200","1.7","-9.6","0.0","0.0","30030837","0.0","4.9"
"Andrew Beck","HOU","ATL","RB","4000","0.8","-10.1","0.0","0.0","30030953","0.0","3.0"
"Cordarrelle Patterson","ATL","HOU","RB","4000","0.6","-10.3","0.0","0.0","30030869","0.0","2.3"
"C.J. Ham","MIN","KC","RB","4000","0.7","-10.3","0.0","0.0","30030903","0.0","2.6"
"Tee Higgins","CIN","ARI","WR","6600","5.6","-10.4","0.5","0.5","30030991","0.3","13.2"
"Mike Boone","HOU","ATL","RB","4000","0.5","-10.4","0.0","0.0","30030947","0.0","2.0"
"Adam Prentice","NO","NE","RB","4000","0.6","-10.4","0.0","0.0","30030927","0.0","2.2"
"Chase Brown","CIN","ARI","RB","4000","0.4","-10.5","0.0","0.0","30030847","0.0","1.6"
"Trey Sermon","IND","TEN","RB","4000","0.5","-10.5","0.0","0.0","30030879","0.0","1.8"
"Keith Smith","ATL","HOU","RB","4000","0.4","-10.6","0.0","0.0","30030875","0.0","1.4"
"Patrick Ricard","BAL","PIT","RB","4000","0.2","-10.7","0.0","0.0","30030969","0.0","0.9"
"Michael Burton","DEN","NYJ","RB","4000","0.3","-10.7","0.0","0.0","30030865","0.0","1.0"
"Tyler Badie","DEN","NYJ","RB","4000","0.3","-10.7","0.0","0.0","30030867","0.0","1.4"
"Nick Bawden","NYJ","DEN","RB","4000","0.1","-10.9","0.0","0.0","30030893","0.0","0.6"
"Boston Scott","PHI","LA","RB","4300","0.4","-11.1","0.0","0.0","30030829","0.0","1.6"
"Tony Jones Jr.","NO","NE","RB","4500","0.7","-11.3","0.0","0.0","30030817","0.0","2.4"
"Craig Reynolds","DET","CAR","RB","4400","0.2","-11.5","0.0","0.0","30030821","0.0","1.0"
"Salvon Ahmed","MIA","NYG","RB","4500","0.4","-11.5","0.0","0.0","30030815","0.0","1.6"
