Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
52,2939439247,Djhjr75 (3/5),0,170.29999,C Auston Matthews C Tomas Hertl UTIL Mikael Backlund W Mitchell Marner W Drake Batherson W Alexander Radulov D Jakob Chychrun D Filip Hronek G Jack Campbell,,Ryan Merkley,D,5.36%,12.8
53,2939360200,Vuldeo (2/3),0,170.20001,C Joel Eriksson Ek C Scott Laughton W Kirill Kaprizov UTIL Kevin Fiala W James van Riemsdyk W Marcus Foligno D Adam Fox D Jared Spurgeon G Juuse Saros,,Mark Scheifele,C,5.34%,10.8
54,2939149133,ajhobbs00 (33/36),0,169.50002,UTIL Auston Matthews C Joel Eriksson Ek C Jamie Benn W Kirill Kaprizov W Mitchell Marner W Marcus Foligno D Jake Muzzin D Filip Hronek G Alex Nedeljkovic,,Elias Pettersson,C,5.31%,9.5
54,2938673078,Tease87 (116/150),0,169.5,C Auston Matthews C John Tavares UTIL Tomas Hertl W Mitchell Marner W Rudolfs Balcers W Alexander Barabanov D Alec Martinez D Tyler Myers G Carter Hart,,Jeff Petry,D,5.26%,6.3
54,2938720216,Boyd10stl (84/150),0,169.5,C Auston Matthews C Tomas Hertl W William Nylander W Michael Bunting UTIL Rudolfs Balcers W Alexander Barabanov D Brent Burns D John Klingberg G Jack Campbell,,Brock Boeser,W,5.24%,4.3
57,2938862232,Shaunovery (77/150),0,169.4,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W Alexander Radulov W Jason Robertson W Marcus Foligno D Dougie Hamilton D John Klingberg G Carter Hart,,Ryan Hartman,W,5.14%,3
57,2939221480,atrain00 (35/100),0,169.4,C Auston Matthews C Mark Scheifele UTIL Kevin Fiala W Brendan Gallagher W Josh Anderson W Marcus Foligno D Jakob Chychrun D Jeff Petry G Jack Campbell,,Filip Gustavsson,G,5.07%,14.1
59,2939688178,lejakey17 (2/3),0,169.19998,C Auston Matthews C Jamie Benn W Mitchell Marner W Mike Hoffman W Jason Robertson UTIL Josh Anderson D Jakob Chychrun D Moritz Seider G Jake Allen,,Mika Zibanejad,UTIL,4.97%,11.5
60,2939075372,jdsdog10 (72/150),0,168.90001,C Auston Matthews C Tomas Hertl UTIL Jasper Weatherby W William Nylander W Mitchell Marner W Adam Henrique D Ryan Merkley D Nicolas Meloche G Carter Hart,,James van Riemsdyk,W,4.91%,12.3
60,2939583202,dybalapogba (1/4),0,168.90001,C Auston Matthews C Nick Suzuki W William Nylander UTIL Jeff Skinner W Brendan Gallagher W Michael Bunting D Jeff Petry D Brayden McNabb G Igor Shesterkin,,Josh Anderson,W,4.78%,20.5
60,2939049661,jummyjummy (83/150),0,168.9,UTIL Auston Matthews C John Tavares C Nick Suzuki W Mitchell Marner W Tyler Toffoli W Brendan Gallagher D Christopher Tanev D Ryan Merkley G Braden Holtby,,James Reimer,G,4.69%,13
63,2939241008,Frognot (60/150),0,168.8,C Auston Matthews UTIL Mark Scheifele C Nick Suzuki W Tyler Toffoli W Brendan Gallagher W Blake Wheeler D Josh Morrissey D Ben Chiarot G Juuse Saros,,Alex Nedeljkovic,G,4.66%,22.6
64,2938618623,suertedemon (129/150),0,168.7,C Auston Matthews C Tomas Hertl W William Nylander UTIL Mitchell Marner W Andrew Ladd W Liam O'Brien D Morgan Rielly D Ryan Merkley G Jack Campbell,,Alex Pietrangelo,D,4.65%,9.9
65,2939221492,atrain00 (47/100),0,168.6,C Auston Matthews C Tomas Hertl UTIL Kevin Fiala W Brendan Gallagher W Michael Bunting W Josh Anderson D Jakob Chychrun D Jeff Petry G Jack Campbell,,Eric Comrie,G,4.65%,12.3
66,2938606340,Fat_Monkeys (5/36),0,168.40001,C Auston Matthews UTIL Tomas Hertl C Pius Suter W Kirill Kaprizov W Jeff Skinner W Rasmus Asplund D Brent Burns D Will Butcher G Alex Nedeljkovic,,Alexander Radulov,W,4.60%,9.3
66,2939501190,IBYCFOTA (77/150),0,168.4,C Auston Matthews C Nick Suzuki UTIL William Nylander W Tyler Toffoli W Brendan Gallagher W Michael Bunting D Jake Muzzin D Filip Hronek G Jack Campbell,,William Eklund,W,4.59%,5
68,2938606341,Fat_Monkeys (6/36),0,168.3,C Auston Matthews C Tomas Hertl W Mitchell Marner W Jonathan Dahlen W Jeff Skinner UTIL Rasmus Asplund D Jakob Chychrun D Will Butcher G Eric Comrie,,Joel Farabee,UTIL,4.54%,1.5
69,2938969631,pettine1975 (12/43),0,167.90001,C Sean Couturier C Nick Suzuki W Claude Giroux W Travis Konecny W Tyler Toffoli UTIL Brendan Gallagher D Moritz Seider D Justin Braun G Carter Hart,,Andrew Copp,UTIL,4.48%,1.5
69,2939100146,ajhobbs00 (7/36),0,167.90001,C Auston Matthews C Tomas Hertl UTIL Mikael Backlund W William Nylander W Mitchell Marner W Michael Bunting D Jakob Chychrun D Filip Hronek G Alex Nedeljkovic,,Rasmus Andersson,D,4.48%,2.8
71,2939535244,primoveal (3/3),0,167.7,C Auston Matthews C Nick Suzuki W William Nylander W Tyler Toffoli UTIL Michael Bunting W Josh Anderson D Tyler Myers D Jake Muzzin G Jake Allen,,Filip Hronek,D,4.47%,9.7
72,2938614163,legitimus19 (4/4),0,167.59999,C Auston Matthews C Mikael Backlund W Artemi Panarin W Drake Batherson W Jason Robertson UTIL Rudolfs Balcers D Adam Fox D Rasmus Sandin G Carter Hart,,Artemi Panarin,W,4.46%,19.5
73,2939368611,jstout2014 (84/107),0,167,C Auston Matthews UTIL Tomas Hertl C Jamie Benn W Kirill Kaprizov W Jason Robertson W Joel Armia D Brent Burns D Will Butcher G Carter Hart,,Jonathan Dahlen,W,4.40%,10
73,2939415941,Jeddy3030 (33/150),0,167,C Joel Eriksson Ek C Nick Suzuki UTIL Kevin Fiala W Tyler Toffoli W Brendan Gallagher W Marcus Foligno D Morgan Rielly D Jakob Chychrun G Jack Campbell,,Nick Suzuki,C,4.22%,33.3
75,2939426511,MattyNomo (19/21),0,166.90001,C Auston Matthews C Sean Couturier UTIL Tomas Hertl W Kirill Kaprizov W Jason Robertson W Adam Beckman D Travis Sanheim D Jake Muzzin G Juuse Saros,,Tyler Toffoli,W,4.16%,13
76,2938480611,Dubbzz (12/50),0,166.8,C Auston Matthews C Tomas Hertl W Kirill Kaprizov W James van Riemsdyk UTIL Rudolfs Balcers W Alexander Barabanov D Brent Burns D Jakob Chychrun G Alex Nedeljkovic,,Chris Kreider,W,4.16%,2.8
77,2939519131,bfogarty4 (1/101),0,166.5,C Auston Matthews C Nick Suzuki W William Nylander W Tyler Toffoli UTIL Brendan Gallagher W Michael Bunting D Jeff Petry D Ty Smith G Jack Campbell,,Reilly Smith,W,4.16%,0
78,2939216335,oliveratticus (39/150),0,166.40001,C Sean Couturier C Nick Suzuki UTIL Claude Giroux W Travis Konecny W Brendan Gallagher W Josh Anderson D Jared Spurgeon D Ben Chiarot G Carter Hart,,Blake Coleman,UTIL,4.14%,4.3
79,2939415998,Jeddy3030 (90/150),0,166.2,C Josh Norris C Nick Suzuki UTIL Brady Tkachuk W Drake Batherson W Tyler Toffoli W Brendan Gallagher D Alec Martinez D John Klingberg G Jake Allen,,Bo Horvat,C,4.01%,3
80,2939439246,Djhjr75 (2/5),0,166.1,C Auston Matthews UTIL Tomas Hertl C Jamie Benn W Mitchell Marner W Drake Batherson W Alexander Radulov D Jakob Chychrun D Jake Muzzin G Alex Nedeljkovic,,Roman Josi,D,3.95%,5.8
80,2939532985,Clownbaby77 (1/8),0,166.1,C John Tavares C Nick Suzuki W Mitchell Marner W Tyler Toffoli UTIL Brendan Gallagher W Alexander Kerfoot D Brent Burns D Keith Yandle G Carter Hart,,Will Butcher,D,3.86%,3
80,2939540170,Clownbaby77 (2/8),0,166.1,C John Tavares C Nick Suzuki W Mitchell Marner W Tyler Toffoli UTIL Brendan Gallagher W Alexander Kerfoot D Brent Burns D Keith Yandle G Carter Hart,,Chandler Stephenson,UTIL,3.84%,1.3
80,2939557846,Clownbaby77 (4/8),0,166.1,C John Tavares C Nick Suzuki W Mitchell Marner W Tyler Toffoli UTIL Brendan Gallagher W Alexander Kerfoot D Brent Burns D Keith Yandle G Carter Hart,,Logan Couture,C,3.81%,7.3
80,2939557866,Clownbaby77 (5/8),0,166.1,C John Tavares C Nick Suzuki W Mitchell Marner W Tyler Toffoli UTIL Brendan Gallagher W Alexander Kerfoot D Brent Burns D Keith Yandle G Carter Hart,,Keith Yandle,D,3.63%,11.4
85,2939214055,kcgreenscreen (10/20),0,166,C Auston Matthews C Connor Dewar W William Nylander W Mitchell Marner UTIL Jeff Skinner W Nick Bjugstad D Morgan Rielly D Calen Addison G Carter Hart,,Adam Fox,D,3.55%,27.4
85,2939433614,DFS_maniac (3/150),0,166,C Auston Matthews C Dylan Cozens W William Nylander W Jeff Skinner W Michael Bunting UTIL Vinnie Hinostroza D Adam Fox D Jacob Bryson G Alex Nedeljkovic,,Shea Theodore,D,3.55%,12.7
85,2938690659,stevenmsmith12 (18/20),0,165.99998,C Sean Couturier C Nick Suzuki W Claude Giroux W Travis Konecny W Brendan Gallagher UTIL Josh Anderson D Quinn Hughes D Keith Yandle G Jake Allen,,Derick Brassard,C,3.47%,0
88,2939241070,Frognot (122/150),0,165.8,C Auston Matthews UTIL Elias Pettersson C Ryan Getzlaf W Troy Terry W J.T. Miller W Benoit-Olivier Groulx D Hampus Lindholm D Tyler Myers G Juuse Saros,,Jake Allen,G,3.46%,25.4
88,2939439918,Ivaldry (15/40),0,165.8,C Auston Matthews C Nick Suzuki W William Nylander UTIL Tyler Toffoli W Brendan Gallagher W Max Comtois D Jeff Petry D Keith Yandle G Jack Campbell,,Alexander Barabanov,W,3.43%,5
90,2939523916,smilesp12 (2/6),0,165.7,C Auston Matthews C Nick Suzuki W William Nylander W Tyler Toffoli W Michael Bunting UTIL Josh Anderson D Rasmus Andersson D David Savard G Jack Campbell,,Thatcher Demko,G,3.41%,15.1
91,2939075333,jdsdog10 (33/150),0,165.5,C Auston Matthews C John Tavares UTIL Jasper Weatherby W William Nylander W Mitchell Marner W Troy Terry D Ryan Merkley D Nicolas Meloche G Jack Campbell,,Josh Norris,C,3.28%,22.1
91,2939119011,ajhobbs00 (17/36),0,165.5,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W William Nylander W Drake Batherson W Michael Bunting D Jakob Chychrun D Filip Hronek G Jack Campbell,,Jamie Benn,C,3.27%,11.5
93,2939049621,jummyjummy (43/150),0,165.4,C Auston Matthews C Nick Suzuki UTIL William Nylander W Tyler Toffoli W Brendan Gallagher W Michael Bunting D Jeff Petry D Will Butcher G Jack Campbell,,Michael Rasmussen,C,3.14%,0
93,2939267126,Jcreary (45/150),0,165.4,C Auston Matthews C Nick Suzuki UTIL William Nylander W Tyler Toffoli W Brendan Gallagher W Michael Bunting D Jeff Petry D Will Butcher G Jack Campbell,,Nico Hischier,C,3.03%,6
93,2939519210,bfogarty4 (80/101),0,165.4,C Auston Matthews C Tomas Hertl W William Nylander W Michael Bunting UTIL Rudolfs Balcers W Alexander Barabanov D Brent Burns D Jonas Brodin G Jack Campbell,,Sean Monahan,C,3.02%,5
96,2939053025,carnattitan (23/40),0,165.2,C Auston Matthews UTIL John Tavares C Nick Suzuki W Mitchell Marner W Brendan Gallagher W Alexander Kerfoot D Jeff Petry D Nick Leddy G Jack Campbell,,Neal Pionk,D,3.01%,7.3
97,2939375141,jstout2014 (89/107),0,165,C Auston Matthews C John Tavares UTIL Tomas Hertl W Mitchell Marner W Alexander Radulov W Jason Robertson D Moritz Seider D Will Butcher G Filip Gustavsson,,Robby Fabbri,W,2.96%,1.3
97,2939519222,bfogarty4 (92/101),0,165,C Auston Matthews C Nick Suzuki W William Nylander W Tyler Toffoli UTIL Brendan Gallagher W Michael Bunting D Jeff Petry D Travis Hamonic G Jack Campbell,,Juuse Saros,G,2.90%,28.6
99,2939321615,BW37 (4/4),0,164.90001,C Nick Suzuki C Tomas Hertl UTIL Kirill Kaprizov W Tyler Toffoli W William Eklund W Alexander Barabanov D Brent Burns D Matt Dumba G Carter Hart,,Artem Zub,D,2.86%,8.2
100,2938660793,TheHaba (5/150),0,164.6,C Joel Eriksson Ek C Nick Suzuki UTIL Kevin Fiala W Tyler Toffoli W Brendan Gallagher W Marcus Foligno D Alex Pietrangelo D Jared Spurgeon G John Gibson,,Thomas Chabot,D,2.85%,5.6
100,2939053005,carnattitan (3/40),0,164.6,C Joel Eriksson Ek C Elias Pettersson UTIL Kirill Kaprizov W Kevin Fiala W J.T. Miller W Marcus Foligno D Jared Spurgeon D Filip Hronek G Juuse Saros,,Braden Holtby,G,2.80%,13.9
100,2939570513,frasig (1/2),0,164.59999,C Auston Matthews C Mark Scheifele W Mitchell Marner W Jason Robertson W Brendan Gallagher UTIL Blake Wheeler D Jakob Chychrun D Filip Hronek G Jack Campbell,,Nicolas Meloche,UTIL,2.80%,1.3
103,2939128252,1991Wings (20/20),0,164.40001,C Auston Matthews UTIL Tomas Hertl C Mikael Backlund W Kirill Kaprizov W Mitchell Marner W Jesper Bratt D Jakob Chychrun D Filip Hronek G Alex Nedeljkovic,,Troy Terry,UTIL,2.76%,21.5
103,2939267180,Jcreary (99/150),0,164.40001,C Auston Matthews C Scott Laughton UTIL William Nylander W Mitchell Marner W James van Riemsdyk W Oskar Lindblom D Morgan Rielly D Tyler Myers G Carter Hart,,Nick Bonino,UTIL,2.73%,0
105,2938952214,NaderHader (46/150),0,164.20001,C Auston Matthews C John Tavares UTIL Tomas Hertl W Mitchell Marner W William Eklund W Alexander Barabanov D Adam Fox D Ryan Merkley G Igor Shesterkin,,Ryan Strome,UTIL,2.71%,7.8
106,2939397416,eccameron13 (3/6),0,164.10002,C Sean Couturier C Ryan Getzlaf W Claude Giroux W Travis Konecny W Troy Terry UTIL Jason Robertson D Cam Fowler D Brayden McNabb G Carter Hart,,Rasmus Asplund,W,2.70%,12.1
107,2939075347,jdsdog10 (47/150),0,163.8,C Auston Matthews C John Tavares W William Nylander W Mitchell Marner W Josh Anderson UTIL William Eklund D Ryan Merkley D Nicolas Meloche G Carter Hart,,Mike Hoffman,W,2.58%,1.5
107,2939165532,kreller17 (28/150),0,163.8,C Auston Matthews C Tomas Hertl W William Nylander W Michael Bunting UTIL Rudolfs Balcers W Alexander Barabanov D Morgan Rielly D Jakob Chychrun G Jack Campbell,,Matt Dumba,D,2.58%,11
107,2939219201,milly273 (2/2),0,163.8,C Auston Matthews C Sean Couturier UTIL Christian Dvorak W Claude Giroux W Marcus Foligno W Alexander Kerfoot D Matt Dumba D Alexander Romanov G Jack Campbell,,Robin Lehner,G,2.39%,6.3
