player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cole Kmet,60995,TE,CHI,6,2,0,0,0.0,0,0,1,0,2,0,1,3.7,0,1,6,1,0,26.5,69.1,86.4,,40.9,72.5,61.6,54.8,1,0,240,25,158,129,0,0,32,27,0,1,1,0.5,0.5,1.52,0
Calvin Austin III,61418,WR,PIT,5,2,0,0,0.0,0,0,3,1,4,0,4,57.1,0,0,25,0,0,78.5,60.7,84.0,,,59.3,49.7,84.1,5,0,143,12,138,67,0,0,22,14,0,3,4,2.0,1.5,1.04,0
Mike Boone,31615,HB,HST,5,2,1,0,0.0,0,0,15,1,1,1,0,0.0,1,1,13,1,0,17.4,33.2,81.6,,11.7,44.3,43.2,41.9,11,0,18,3,33,5,0,0,4,5,0,15,0,0.0,7.5,0.55,2
Teddy Bridgewater,8667,QB,DET,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,11,0,0,65.2,60.6,68.2,,,,60.0,60.0,-1,0,0,0,0,3,0,0,0,2,0,-2,0,0.0,-1.0,,0
Brandin Cooks,8655,WR,DAL,5,2,0,0,0.0,0,1,20,0,2,0,4,26.7,1,1,9,1,0,26.1,59.7,84.5,,,59.9,59.1,52.9,14,1,109,13,145,76,0,0,23,15,0,20,4,2.0,10.0,0.75,0
Ray-Ray McCloud III,47895,WR,SF,6,2,0,1,65.2,15,0,23,0,0,0,6,0.0,1,2,28,0,0,83.0,62.0,80.8,,,57.2,67.4,79.9,15,0,27,4,59,47,0,0,5,6,0,23,6,3.0,11.5,0.46,0
Ty Montgomery,9527,WR,NE,5,2,0,0,0.0,0,0,7,0,0,0,3,0.0,0,0,19,0,2,74.2,64.9,78.0,,,65.1,63.0,47.8,7,1,23,4,20,9,0,0,8,6,0,7,3,1.5,3.5,1.15,0
Gerald Everett,11799,TE,LAC,5,2,0,0,0.0,0,0,4,0,8,0,2,44.4,0,0,27,1,0,23.7,65.6,83.9,,70.8,67.6,52.8,56.7,2,1,123,16,108,84,0,0,19,18,0,4,2,1.0,2.0,1.14,0
Andrew Beck,47121,FB,HST,6,2,0,0,0.0,0,0,2,0,0,0,2,0.0,0,1,13,0,0,68.6,55.1,83.9,,83.1,45.0,60.8,58.4,2,0,0,0,40,94,0,0,1,2,0,2,2,1.0,1.0,0.0,0
Dare Ogunbowale,12329,HB,HST,1,2,0,0,0.0,0,0,4,0,0,0,5,0.0,0,1,13,0,1,65.2,54.6,76.2,,21.5,52.5,61.8,,2,0,0,0,11,2,0,0,0,2,0,4,5,2.5,2.0,0.0,1
Tyson Bagent,169628,QB,CHI,1,2,0,0,0.0,0,0,4,0,0,0,0,0.0,0,1,6,1,0,22.7,56.6,76.3,54.0,,,64.3,60.0,3,0,0,0,0,15,0,0,0,2,1,4,0,0.0,2.0,,1
Tyler Huntley,46448,QB,BLT,1,1,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,3,0,1,64.5,51.2,68.2,,,,53.8,60.0,6,0,0,0,0,2,6,1,0,1,0,8,4,2.0,4.0,,0
Tutu Atwell,77965,WR,LA,6,2,0,1,81.5,22,0,27,1,0,0,8,0.0,1,1,26,0,0,76.6,70.6,85.5,,,69.1,75.3,55.7,22,0,309,25,233,108,0,0,40,27,0,27,8,4.0,13.5,1.33,1
Chris Evans,27303,HB,CIN,3,2,0,0,0.0,0,0,12,0,0,0,6,0.0,0,0,7,0,1,70.1,54.7,73.4,,13.6,55.8,63.3,60.0,7,0,-1,1,6,4,0,0,1,3,0,12,6,3.0,6.0,-0.17,1
Chase Brown,77787,HB,CIN,5,2,0,0,0.0,0,0,6,0,0,0,3,0.0,0,0,7,0,0,68.7,52.7,71.7,,,61.7,50.2,,4,0,7,3,6,2,0,0,3,5,0,6,3,1.5,3.0,1.17,2
Evan Hull,97302,HB,IND,1,1,0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,14,0,0,66.2,65.7,69.8,,,64.6,62.9,60.0,1,0,6,1,5,2,0,0,1,2,0,1,0,0.0,1.0,1.2,1
Adam Prentice,35639,FB,NO,5,1,0,0,0.0,0,1,5,1,0,0,3,0.0,0,0,20,1,0,13.3,36.5,81.6,,17.2,34.8,60.0,52.2,5,1,5,1,27,29,0,0,2,2,0,5,3,3.0,5.0,0.19,0
Mark Andrews,47436,TE,BLT,5,1,0,0,,0,0,0,4,5,0,0,0.0,0,0,3,0,0,75.6,71.1,87.1,,71.0,72.1,58.2,55.5,0,0,294,24,166,104,0,0,34,25,0,0,0,0.0,0.0,1.77,0
Rashee Rice,97605,WR,KC,6,1,0,0,0.0,0,0,-3,1,4,0,1,18.2,0,0,16,0,0,75.0,81.8,83.1,,,81.0,60.0,69.6,-3,0,245,21,89,65,0,0,27,22,0,-3,1,1.0,-3.0,2.75,0
Adam Thielen,8288,WR,CAR,6,1,1,0,0.0,0,0,6,0,1,1,5,20.0,0,0,5,0,0,79.3,84.3,86.1,,28.5,86.1,,44.9,6,1,509,49,248,114,0,0,59,50,0,6,5,5.0,6.0,2.05,0
Rakim Jarrett,129519,WR,TB,5,1,0,0,,0,0,0,0,0,0,1,0.0,0,0,30,0,0,66.2,49.8,78.6,,,54.5,57.2,43.5,0,0,10,2,20,28,0,0,2,3,0,0,1,1.0,0.0,0.5,0
Treylon Burks,99218,WR,TEN,3,1,1,0,0.0,0,0,9,3,0,1,3,42.9,0,0,31,0,0,70.3,50.9,27.2,,,50.3,63.1,62.7,9,1,99,6,78,50,0,0,13,7,0,9,3,3.0,9.0,1.27,0
George Pickens,99229,WR,PIT,5,1,0,1,100.0,16,1,16,0,1,0,2,8.7,1,1,25,1,0,25.6,73.5,0.0,,,74.5,63.1,64.5,16,3,393,22,175,90,0,0,39,23,0,16,2,2.0,16.0,2.25,0
Demario Douglas,104155,WR,NE,5,1,0,0,0.0,0,0,5,1,1,0,3,27.3,0,0,19,1,0,25.3,69.1,79.2,,,69.4,57.2,61.0,5,0,143,10,63,18,0,0,17,11,0,5,3,3.0,5.0,2.27,0
KhaDarel Hodge,26104,WR,ATL,6,1,0,0,0.0,0,0,-1,1,1,0,0,0.0,0,0,2,1,0,16.1,53.9,81.1,,,57.9,49.4,57.5,-1,0,45,4,59,49,0,0,5,5,0,-1,0,0.0,-1.0,0.76,1
Drew Lock,39517,QB,SEA,1,1,0,0,0.0,0,0,11,0,0,0,0,0.0,1,1,29,0,0,69.9,59.7,74.1,55.7,,,62.9,60.0,11,0,0,0,0,11,0,0,0,1,0,11,0,0.0,11.0,,0
Marquise Brown,61568,WR,ARZ,6,1,0,1,100.0,29,0,29,2,3,0,4,40.0,1,1,1,0,0,76.7,72.1,61.2,,,73.3,62.8,48.4,29,1,334,29,205,135,0,0,54,30,0,29,4,4.0,29.0,1.63,0
