player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jack Campbell,101515,LB,DET,7,13,6.5,6.5,11,0,118.8,2,2,0,31,17,2.38
Dennis Gardeck,66928,ED,ARZ,7,13,6.5,6.5,1,0,83.3,2,2,0,8,15,0.62
Dean Marlowe,9966,S,LAC,3,13,6.5,6.5,27,0,118.8,2,2,0,29,6,2.23
Chad Muma,75818,LB,JAX,3,13,6.5,6.5,15,0,89.6,2,2,0,11,9,0.85
Bobby Wagner,7050,LB,SEA,5,13,6.5,6.5,29,0,104.2,2,2,0,18,12,1.38
Brandin Echols,98900,CB,NYJ,2,13,6.5,6.5,22,0,110.4,2,2,0,21,13,1.62
Pete Werner,58093,LB,NO,7,32,6.4,4.6,20,0,83.0,5,7,0,36,21,1.13
Amik Robertson,55619,CB,LV,4,51,6.4,4.6,23,0,125.2,8,11,1,85,59,1.67
Jamal Adams,11761,S,SEA,3,25,6.3,4.2,29,0,72.9,4,6,0,22,5,0.88
Christian Izien,83360,CB,TB,6,119,6.3,5.4,30,2,91.7,19,22,2,172,100,1.45
Deonte Banks,101384,CB,NYG,7,19,6.3,3.8,21,0,108.3,3,5,1,20,14,1.05
Tyrann Mathieu,7850,S,NO,7,37,6.2,4.1,20,0,135.0,6,9,1,87,81,2.35
Julian Love,51081,S,SEA,6,55,6.1,4.6,29,0,138.5,9,12,1,133,41,2.42
Cor'Dale Flott,98834,CB,NYG,4,86,6.1,4.5,21,0,108.7,14,19,1,126,95,1.47
Matt Milano,11918,LB,BUF,4,18,6.0,4.5,4,0,99.0,3,4,0,33,5,1.83
Jabrill Peppers,11780,S,NE,7,36,6.0,4.5,19,0,80.2,6,8,0,30,23,0.83
Coby Bryant,55088,S,SEA,2,36,6.0,5.1,29,0,102.4,6,7,0,60,19,1.67
Markquese Bell,56033,LB,DAL,3,12,6.0,6.0,9,0,79.2,2,2,0,6,2,0.5
Joe Tryon-Shoyinka,58272,ED,TB,5,6,6.0,6.0,30,0,104.2,1,1,0,9,5,1.5
Donovan Wilson,49408,S,DAL,4,12,6.0,6.0,9,0,118.8,2,2,0,31,18,2.58
Ja'Whaun Bentley,50966,LB,NE,5,6,6.0,6.0,19,0,79.2,1,1,0,3,2,0.5
Foyesade Oluokun,24904,LB,JAX,7,24,6.0,3.4,15,0,68.8,4,7,0,32,27,1.33
Jerome Baker,28091,LB,MIA,6,18,6.0,6.0,17,0,88.9,3,3,0,16,23,0.89
Elandon Roberts,10848,LB,PIT,4,6,6.0,6.0,25,0,118.8,1,1,0,22,9,3.67
Arnold Ebiketie,56862,ED,ATL,4,6,6.0,3.0,2,0,95.8,1,2,0,25,10,4.17
