"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_pass_route","advantage","adv","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate_cov","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"71","Laviska Shenault Jr.","CAR",3200,0.08,5.39,87.3,21.9,20,2.8,3.18,0.616,"TB",5,7,1.97,4.93,2.96,28,4,16,0.212,5,54,0.788,98.8,67.3,51.3,66.09,68.49,15,-0.063,1,12.6,"Laviska Shenault Jr. 3200 0.08"
"72","Kadarius Toney","KC",4200,0.77,5.33,68.4,NA,-3.39999999999999,1.9,1.32,NA,"DEN",3,1,-0.42,0.73,1.15,23,10,11,0.244,2,46,0.756,91.2,71.8,39.7,67.55,74.66,12,-0.083,2,6.9,"Kadarius Toney 4200 0.77"
"73","Laquon Treadwell","SEA",3000,0.01,5.28,50.7,30.5,-25.9,1.5,0.49,-0.773,"NYJ",12,4,0.51,0.64,0.13,14,19,13,0.287,4,23,0.713,94.8,76.6,32.8,63.15,83.22,6,0.014,0,1,"Laquon Treadwell 3000 0.01"
"74","Nelson Agholor","NE",3300,0.1,5.12,58.6,39.6,0.100000000000001,3.4,1.31,0.123,"MIA",25,24,1.36,2.21,0.85,3,30,78,0.436,24,170,0.564,94.9,58.5,31.5,61.35,57.23,24,0.117,2,4.7,"Nelson Agholor 3300 0.1"
"75","Julio Jones","TB",3900,0.44,5.11,64.8,79.1,6.09999999999999,4.6,1.24,0.413,"CAR",16,28,0.87,2.05,1.18,30,3,44,0.2,32,147,0.8,94.3,58.7,27.5,56.66,59.54,28,0.042,2,5,"Julio Jones 3900 0.44"
"76","Trent Sherfield","MIA",3200,0.05,5.07,63.6,38.5,-0.600000000000001,2.8,1.12,-0.349,"NE",9,9,-1.14,0.36,1.5,5,28,64,0.395,11,223,0.605,94.5,64.2,50.4,64.67,63.81,14,-0.027,2,4.7,"Trent Sherfield 3200 0.05"
"77","Justin Watson","KC",3000,0.53,5.04,50.9,10.5,-21.5,1.9,0.84,-0.722,"DEN",3,1,0.39,1.05,0.66,23,10,98,0.244,2,131,0.756,93.2,72.4,32.4,67.55,74.66,12,-0.083,2,1.9,"Justin Watson 3000 0.53"
"78","David Bell","CLE",3000,0.02,4.35,53,17,-11.7,2.2,0.75,-0.69,"WAS",13,10,-0.27,0.67,0.94,11,22,105,0.296,15,167,0.704,93.4,64.7,72.4,65.23,63.36,7,0.017,0,3.1,"David Bell 3000 0.02"
"79","Shi Smith","CAR",3000,0.05,4.31,51.1,NA,-15.5,2.4,0.8,NA,"TB",5,7,0.94,1.64,0.7,28,4,62,0.212,5,198,0.788,94.9,66.6,78.1,66.09,68.49,15,-0.063,1,4.3,"Shi Smith 3000 0.05"
"80","Amari Rodgers","HOU",3400,0.05,3.88,70,NA,8.4,1.5,1.55,NA,"JAX",20,26,1.7,3.03,1.33,NA,NA,35,NA,NA,65,NA,92.4,61.6,59.7,57.59,67.53,NA,0.064,1,4.4,"Amari Rodgers 3400 0.05"
"81","Kalif Raymond","DET",3100,0.22,3.87,69.3,NA,10.6,3.5,1.73,NA,"CHI",32,20,-0.14,1.77,1.91,16,17,113,0.282,24,168,0.718,92.7,58.7,46.1,58.72,58.69,20,0.251,0,5,"Kalif Raymond 3100 0.22"
"82","Robbie Anderson","ARI",3000,0.02,3.72,52,NA,-5.7,2.8,0.86,NA,"ATL",31,30,-1.03,0.12,1.15,19,14,58,0.265,26,224,0.735,94,57.7,13.6,59.98,57.35,29,0.212,1,5.1,"Robbie Anderson 3000 0.02"
"83","Jamal Agnew","JAX",3000,0.05,3.54,71.3,NA,NA,2.3,2.4,NA,"HOU",22,29,0.84,3.3,2.46,24,9,11,0.239,21,56,0.761,92.4,NA,46.8,NA,NA,30,0.085,3,5.3,"Jamal Agnew 3000 0.05"
"84","Damiere Byrd","ATL",3000,0.05,3.3,66.9,32.5,NA,1.6,1.77,-0.177,"ARI",18,17,1.48,2.54,1.06,31,2,30,0.198,14,104,0.802,95.4,NA,11.8,NA,NA,3,0.059,2,8.9,"Damiere Byrd 3000 0.05"
"85","Skyy Moore","KC",3000,0.05,3.18,69.9,NA,-1.3,2,1.39,NA,"DEN",3,1,1.12,2.06,0.94,23,10,57,0.244,2,99,0.756,91.8,71.2,48.2,67.55,74.66,12,-0.083,0,5.6,"Skyy Moore 3000 0.05"
"86","Equanimeous St. Brown","CHI",3600,0.03,3.01,60.8,23.2,9.59999999999999,2.4,1.17,-0.313,"DET",24,32,-0.63,0.77,1.4,2,31,88,0.453,24,164,0.547,91.1,51.2,28.7,56.29,49.17,31,0.116,1,5.3,"Equanimeous St. Brown 3600 0.03"
"87","Braxton Berrios","NYJ",3000,0.01,2.79,58.1,NA,-0.899999999999999,2.1,0.7,NA,"SEA",27,27,-0.76,0.24,1,26,7,53,0.228,28,96,0.772,95.1,59,59.9,54.51,65.72,27,0.132,0,4.6,"Braxton Berrios 3000 0.01"
"88","Byron Pringle","CHI",3500,1.06,2.77,69.9,39.7,18.9,1.2,1.14,-0.243,"DET",24,32,-0.0600000000000001,0.71,0.77,2,31,18,0.453,24,84,0.547,94.2,51,26.4,56.29,49.17,31,0.116,2,1.7,"Byron Pringle 3500 1.06"
"89","Freddie Swain","DEN",3000,0.05,2.72,57.2,0,-12.5,1,0.38,-1.128,"KC",10,5,-0.5,0,0.5,8,25,3,0.362,3,40,0.638,98.1,69.7,77.8,70.49,66.81,12,-0.006,0,8.5,"Freddie Swain 3000 0.05"
"90","DeAndre Carter","LAC",3500,0.01,2.71,63.8,NA,NA,3.7,1.04,NA,"LAR",30,21,-0.18,0.86,1.04,32,1,115,0.133,31,274,0.867,96.1,NA,60.2,NA,NA,10,0.149,3,3.8,"DeAndre Carter 3500 0.01"
