"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_pass_route","advantage","adv","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate_cov","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"233","Easop Winston","SEA",3000,0,NA,NA,NA,NA,NA,NA,NA,"NYJ",12,4,NA,NA,NA,14,19,NA,0.287,4,NA,0.713,NA,NA,NA,63.15,83.22,6,0.014,NA,NA,"Easop Winston 3000 0"
"234","Jeff Smith","NYJ",3000,0,NA,71.3,NA,8.4,1.1,1.79,NA,"SEA",27,27,0.89,2.46,1.57,26,7,24,0.228,28,38,0.772,98.7,62.9,25,54.51,65.72,27,0.132,0,5.1,"Jeff Smith 3000 0"
"235","Rodney Adams","NYJ",3000,0,NA,NA,NA,NA,NA,NA,NA,"SEA",27,27,NA,NA,NA,26,7,NA,0.228,28,NA,0.772,NA,NA,NA,54.51,65.72,27,0.132,NA,NA,"Rodney Adams 3000 0"
"236","Diontae Spencer","NYJ",3000,0,NA,NA,NA,NA,NA,NA,NA,"SEA",27,27,NA,NA,NA,26,7,NA,0.228,28,NA,0.772,NA,NA,NA,54.51,65.72,27,0.132,NA,NA,"Diontae Spencer 3000 0"
"237","Irvin Charles","NYJ",3000,0,NA,NA,NA,NA,NA,NA,NA,"SEA",27,27,NA,NA,NA,26,7,NA,0.228,28,NA,0.772,NA,NA,NA,54.51,65.72,27,0.132,NA,NA,"Irvin Charles 3000 0"
"238","Bisi Johnson","MIN",3000,0,NA,NA,NA,NA,NA,NA,NA,"GB",17,13,NA,NA,NA,21,12,NA,0.251,6,NA,0.749,NA,NA,NA,62.29,71.41,24,0.054,NA,NA,"Bisi Johnson 3000 0"
"239","Thomas Hennigan","MIN",3000,0,NA,NA,NA,NA,NA,NA,NA,"GB",17,13,NA,NA,NA,21,12,NA,0.251,6,NA,0.749,NA,NA,NA,62.29,71.41,24,0.054,NA,NA,"Thomas Hennigan 3000 0"
"240","Dan Chisena","MIN",3000,0,NA,NA,NA,NA,NA,NA,NA,"GB",17,13,NA,NA,NA,21,12,NA,0.251,6,NA,0.749,NA,NA,NA,62.29,71.41,24,0.054,NA,NA,"Dan Chisena 3000 0"
"241","Blake Proehl","MIN",3000,0,NA,NA,NA,NA,NA,NA,NA,"GB",17,13,NA,NA,NA,21,12,NA,0.251,6,NA,0.749,NA,NA,NA,62.29,71.41,24,0.054,NA,NA,"Blake Proehl 3000 0"
"242","Trishton Jackson","MIN",3000,0,NA,NA,NA,NA,NA,NA,NA,"GB",17,13,NA,NA,NA,21,12,NA,0.251,6,NA,0.749,NA,NA,NA,62.29,71.41,24,0.054,NA,NA,"Trishton Jackson 3000 0"
"243","Juwann Winfree","GB",3000,0,NA,52.3,NA,-10.3,1.3,0.65,NA,"MIN",29,23,-1,0,1,25,8,3,0.234,1,18,0.766,92.9,62.6,57.1,55.58,71.92,18,0.138,0,5,"Juwann Winfree 3000 0"
"244","Travis Fulgham","GB",3000,0,NA,NA,NA,NA,NA,NA,NA,"MIN",29,23,NA,NA,NA,25,8,NA,0.234,1,NA,0.766,NA,NA,NA,55.58,71.92,18,0.138,NA,NA,"Travis Fulgham 3000 0"
"245","Jeff Cotton Jr.","GB",3000,0,NA,NA,NA,NA,NA,NA,NA,"MIN",29,23,NA,NA,NA,25,8,NA,0.234,1,NA,0.766,NA,NA,NA,55.58,71.92,18,0.138,NA,NA,"Jeff Cotton Jr. 3000 0"
"246","Jalen Guyton","LAC",3000,0,NA,67.1,NA,NA,1.3,3.37,NA,"LAR",30,21,17.17,18,0.83,32,1,3,0.133,31,12,0.867,100,NA,15.8,NA,NA,10,0.149,0,4,"Jalen Guyton 3000 0"
"247","Jason Moore Jr.","LAC",3000,0,NA,NA,NA,NA,NA,NA,NA,"LAR",30,21,NA,NA,NA,32,1,NA,0.133,31,NA,0.867,NA,NA,NA,NA,NA,10,0.149,NA,NA,"Jason Moore Jr. 3000 0"
"248","Joe Reed","LAC",3000,0,NA,NA,NA,NA,NA,NA,NA,"LAR",30,21,NA,NA,NA,32,1,NA,0.133,31,NA,0.867,NA,NA,NA,NA,NA,10,0.149,NA,NA,"Joe Reed 3000 0"
"249","John Hightower","LAC",3000,0,NA,NA,NA,NA,NA,NA,NA,"LAR",30,21,NA,NA,NA,32,1,NA,0.133,31,NA,0.867,NA,NA,NA,NA,NA,10,0.149,NA,NA,"John Hightower 3000 0"
"250","Keelan Doss","LAC",3000,0,NA,NA,NA,NA,NA,NA,NA,"LAR",30,21,NA,NA,NA,32,1,NA,0.133,31,NA,0.867,NA,NA,NA,NA,NA,10,0.149,NA,NA,"Keelan Doss 3000 0"
"251","Cooper Kupp","LAR",3000,0,NA,88.1,NA,21,10.6,2.4,NA,"LAC",8,3,-0.38,2.1,2.48,NA,NA,75,NA,NA,236,NA,96.3,67.1,55.6,68.79,64.99,NA,-0.037,6,5.6,"Cooper Kupp 3000 0"
"252","Allen Robinson II","LAR",3000,0,NA,64.8,NA,-1.5,5.1,0.93,NA,"LAC",8,3,0.34,1.29,0.95,NA,NA,81,NA,NA,252,NA,97.1,66.3,33.6,68.79,64.99,NA,-0.037,3,2.2,"Allen Robinson II 3000 0"
"253","Lance Lenoir","LAR",3000,0,NA,NA,NA,NA,NA,NA,NA,"LAC",8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.79,64.99,NA,-0.037,NA,NA,"Lance Lenoir 3000 0"
"254","Jaquarii Roberson","LAR",3000,0,NA,NA,NA,NA,NA,NA,NA,"LAC",8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.79,64.99,NA,-0.037,NA,NA,"Jaquarii Roberson 3000 0"
"255","Jerreth Sterns","LAR",3000,0,NA,NA,NA,NA,NA,NA,NA,"LAC",8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.79,64.99,NA,-0.037,NA,NA,"Jerreth Sterns 3000 0"
"256","J.J. Koski","LAR",3000,0,NA,NA,NA,NA,NA,NA,NA,"LAC",8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.79,64.99,NA,-0.037,NA,NA,"J.J. Koski 3000 0"
