player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Justin Bethel,7654,CB,MIA,3,50,8.3,5.6,17,1,71.3,6,9,1,35,16,0.7
Lavonte David,7060,LB,TB,11,49,8.2,7.0,30,0,131.3,6,7,1,42,25,0.86
Sam Webb,134606,CB,LV,7,41,8.2,5.9,23,0,106.3,5,7,0,75,30,1.83
Isaiah Simmons,42451,CB,ARZ,14,212,8.2,6.4,1,1,82.3,26,33,0,224,167,1.06
Kyle Van Noy,8675,ED,LAC,7,8,8.0,8.0,27,0,91.7,1,1,0,6,8,0.75
Josh Allen,50235,ED,JAX,7,8,8.0,8.0,15,0,158.3,1,1,1,20,0,2.5
T.J. Edwards,30737,LB,PHI,9,16,8.0,4.0,24,0,77.1,2,4,0,32,18,2.0
Nick McCloud,49535,CB,NYG,9,48,8.0,6.9,21,0,158.3,6,7,1,98,36,2.04
Lonnie Johnson Jr.,55615,S,TEN,4,8,8.0,8.0,31,0,87.5,1,1,0,5,4,0.63
Luke Masterson,45046,LB,LV,3,8,8.0,8.0,23,0,116.7,1,1,0,12,16,1.5
Monty Rice,57839,LB,TEN,4,8,8.0,8.0,31,0,79.2,1,1,0,1,4,0.13
Brandon Stephens,45644,CB,BLT,6,56,8.0,4.7,3,0,91.0,7,12,1,36,25,0.64
Deion Jones,10686,LB,CLV,7,16,8.0,4.0,8,0,68.8,2,4,0,24,10,1.5
Cameron Sutton,11850,CB,PIT,12,110,7.9,5.0,25,1,80.7,14,22,1,155,54,1.41
L'Jarius Sneed,40588,CB,KC,14,340,7.9,6.2,16,1,98.3,43,55,2,358,239,1.05
Coby Bryant,55088,CB,SEA,14,336,7.8,6.0,29,0,111.4,43,56,2,449,195,1.34
Juan Thornhill,50426,S,KC,13,93,7.8,5.8,16,0,131.3,12,16,2,104,47,1.12
Bobby McCain,9578,S,WAS,14,185,7.7,7.1,32,0,92.1,24,26,0,159,120,0.86
Keion Crossen,49454,CB,MIA,8,23,7.7,5.8,17,0,95.8,3,4,0,30,11,1.3
Josh Blackwell,55589,CB,CHI,2,23,7.7,3.3,6,0,53.9,3,7,0,27,14,1.17
Sione Takitaki,12666,LB,CLV,11,23,7.7,5.8,8,0,108.3,3,4,0,42,28,1.83
A.J. Terrell,55586,CB,ATL,9,23,7.7,5.8,2,0,143.8,3,4,1,38,15,1.65
Tre Norwood,55675,S,PIT,6,23,7.7,4.6,25,0,64.6,3,5,0,15,13,0.65
Kader Kohou,156070,CB,MIA,12,275,7.6,5.2,17,0,91.4,36,53,1,336,133,1.22
Josiah Scott,55634,CB,PHI,9,167,7.6,6.0,24,1,131.5,22,28,4,270,121,1.62
Jordan Whitehead,49196,S,NYJ,14,68,7.6,7.6,22,0,118.8,9,9,0,155,82,2.28
Will Harris,51336,CB,DET,10,214,7.6,5.6,11,0,116.1,28,38,2,320,77,1.5
Nate Hobbs,55948,CB,LV,8,75,7.5,4.7,23,0,88.5,10,16,0,132,62,1.76
Andre Cisco,76641,S,JAX,9,30,7.5,7.5,15,0,139.6,4,4,1,32,20,1.07
Keisean Nixon,56167,CB,GB,10,142,7.5,5.9,12,1,84.0,19,24,0,200,105,1.41
Devin Bush,27375,LB,PIT,13,45,7.5,6.4,25,0,99.4,6,7,0,55,36,1.22
Sean Murphy-Bunting,25891,CB,TB,6,75,7.5,6.3,30,0,139.2,10,12,2,95,36,1.27
Taylor Rapp,51172,S,LA,13,97,7.5,5.7,26,1,84.4,13,17,1,96,69,0.99
Adrian Amos,9575,S,GB,13,74,7.4,5.7,12,0,128.8,10,13,2,72,34,0.97
Joshua Kalu,51203,S,TEN,10,81,7.4,6.2,31,0,90.1,11,13,0,73,47,0.9
Divine Deablo,42208,LB,LV,7,22,7.3,7.3,23,0,104.2,3,3,0,27,5,1.23
Carlton Davis,49335,CB,TB,10,22,7.3,3.1,30,0,55.7,3,7,0,30,35,1.36
Harrison Smith,7641,S,MIN,12,80,7.3,5.3,18,1,115.6,11,15,2,146,51,1.83
Jamin Davis,57905,LB,WAS,14,43,7.2,6.1,32,0,104.2,6,7,0,63,38,1.47
Jayron Kearse,10878,S,DAL,11,71,7.1,5.9,9,0,98.3,10,12,0,91,60,1.28
Myles Hartsfield,49159,S,CAR,12,193,7.1,5.7,5,0,115.7,27,34,2,240,144,1.24
Cameron Lewis,49395,S,BUF,3,7,7.0,7.0,4,0,118.8,1,1,0,21,1,3.0
Justin Simmons,10732,S,DEN,8,49,7.0,6.1,10,0,94.8,7,8,0,54,25,1.1
Baron Browning,58095,ED,DEN,8,7,7.0,7.0,10,0,118.8,1,1,0,13,5,1.86
Dean Marlowe,9966,S,BUF,3,7,7.0,3.5,4,0,56.3,1,2,0,3,0,0.43
Anthony Brown,10823,CB,DAL,10,28,7.0,4.7,9,0,120.1,4,6,1,33,13,1.18
Alex Highsmith,43507,ED,PIT,4,7,7.0,7.0,25,0,79.2,1,1,0,2,7,0.29
Matthew Adams,38526,LB,CHI,5,7,7.0,7.0,6,0,118.8,1,1,0,14,12,2.0
Kwon Alexander,9557,LB,NYJ,12,77,7.0,4.3,22,0,72.7,11,18,0,85,65,1.1
Sidney Jones,11798,CB,LV,2,7,7.0,3.5,23,0,75.0,1,2,0,15,5,2.14
Devin White,43089,LB,TB,10,21,7.0,5.3,30,0,131.3,3,4,1,26,18,1.24
Jamel Dean,34918,CB,TB,10,21,7.0,7.0,30,0,128.5,3,3,2,16,6,0.76
George Odum,31342,S,SF,2,7,7.0,7.0,28,0,116.7,1,1,0,12,7,1.71
Trevon Diggs,41817,CB,DAL,10,35,7.0,4.4,9,0,144.3,5,8,1,97,79,2.77
Talanoa Hufanga,83903,S,SF,14,62,6.9,4.8,28,1,107.7,9,13,2,126,78,2.03
Dee Delaney,31078,S,TB,6,55,6.9,6.9,30,0,136.5,8,8,1,58,34,1.05
Fabian Moreau,11836,CB,NYG,12,41,6.8,4.1,21,0,110.0,6,10,1,59,17,1.44
Justin Coleman,9892,CB,SEA,1,34,6.8,4.9,29,0,92.6,5,7,0,52,34,1.53
Samuel Womack,65771,CB,SF,4,34,6.8,3.8,28,0,62.7,5,9,0,31,24,0.91
Kamren Curl,55800,S,WAS,12,81,6.8,6.8,32,0,139.2,12,12,1,129,48,1.59
Rock Ya-Sin,49564,CB,LV,10,27,6.8,4.5,23,0,88.2,4,6,0,44,19,1.63
Zyon Gilbert,55891,CB,NYG,2,34,6.8,6.8,21,0,158.3,5,5,1,70,40,2.06
Jaquan Brisker,101665,S,CHI,10,46,6.6,5.1,6,0,125.5,7,9,1,47,36,1.02
Lamarcus Joyner,8676,S,NYJ,13,46,6.6,5.8,22,0,139.6,7,8,1,64,41,1.39
Grant Haley,50473,CB,LA,3,46,6.6,5.1,26,0,105.1,7,9,0,83,85,1.8
Jonathan Jones,11217,CB,NE,10,33,6.6,4.7,19,1,67.3,5,7,0,76,17,2.3
Melvin Ingram III,7024,ED,MIA,7,13,6.5,6.5,17,0,106.3,2,2,0,19,10,1.46
Joe Thomas,9272,LB,CHI,7,13,6.5,6.5,6,0,118.8,2,2,0,37,1,2.85
DaRon Bland,56158,CB,DAL,9,213,6.5,4.8,9,4,72.3,33,44,2,322,169,1.51
Chris Board,29456,LB,DET,8,13,6.5,4.3,11,0,91.0,2,3,0,24,4,1.85
Marcus Peters,9451,CB,BLT,8,13,6.5,6.5,3,0,118.8,2,2,0,43,23,3.31
Shaq Thompson,9458,LB,CAR,13,58,6.4,5.3,5,0,137.9,9,11,1,108,78,1.86
Damarion Williams,100904,CB,BLT,9,135,6.4,4.8,3,0,139.1,21,28,3,261,105,1.93
Jaylon Jones,49374,CB,CHI,5,25,6.3,5.0,6,0,118.3,4,5,0,62,35,2.48
Jabrill Peppers,11780,S,NE,12,38,6.3,5.4,19,0,101.2,6,7,0,58,32,1.53
Derwin James,51368,S,LAC,12,107,6.3,4.7,27,1,68.4,17,23,0,126,59,1.18
Kaden Elliss,51485,LB,NO,6,19,6.3,6.3,20,0,84.7,3,3,0,13,4,0.68
Kyler Gordon,83451,CB,CHI,12,252,6.3,5.7,6,2,107.2,40,44,2,468,241,1.86
Logan Ryan,7864,S,TB,5,19,6.3,4.8,30,0,110.4,3,4,0,44,17,2.32
