player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
AJ Parker,55983,CB,DET,3,0,11,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,1.7,1,60,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Isaiahh Loudermilk,44416,ED,PIT,5,0,25,0,0,0,0,0,0,38.7,12,0,0.0,0,0,0,0,100.0,31,31,0,0.0,0,0,0,0,61.3,19,0,0.0,0,0,0,0,0,0
Damarri Mathis,56143,CB,DEN,11,0,10,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,2,372,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
Kamren Curl,55800,S,WAS,11,0,32,0,0,0,0,0,0,71.4,5,0,0.0,0,0,0,0,2.1,8,377,0,0.0,0,0,0,0,28.6,2,0,0.0,0,0,0,0,0,0
DaRon Bland,56158,CB,DAL,9,0,9,0,0,0,0,0,0,80.0,4,0,0.0,0,0,0,0,2.4,5,208,0,0.0,0,0,0,0,20.0,1,0,0.0,0,0,0,0,0,0
Jamir Jones,44287,ED,PIT,10,0,25,0,0,0,0,0,0,11.8,4,0,0.0,0,0,0,0,91.9,34,37,0,0.0,0,0,0,0,88.2,30,0,0.0,0,0,0,0,0,0
William Bradley-King,44184,ED,WAS,1,0,32,0,0,0,0,0,0,28.6,4,0,0.0,0,0,1,0,100.0,14,14,0,0.0,0,0,0,0,71.4,10,0,0.0,0,0,0,0,0,1
Jaylon Johnson,56259,CB,CHI,10,0,6,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,2,287,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
Keith Taylor,56289,CB,CAR,11,0,5,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,136,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Terrell Burgess,45255,S,NYG,3,0,21,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.4,1,42,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Brandon Stephens,45644,CB,BLT,11,0,3,0,0,0,0,0,0,100.0,3,0,0.0,0,0,0,0,1.4,3,218,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
