player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Dak Prescott,10769,QB,DAL,5,0,9,60.0,96.3,52,38.5,54,60.2,0,91.2,135,148,60.3,97.2,70,51.9,72
Mitchell Wilcox,47234,TE,CIN,10,0,7,51.5,100.0,62,46.3,62,52.5,1,100.0,134,134,58.8,100.0,48,35.8,48
DeAndre Carter,9859,WR,LAC,10,0,27,48.4,100.0,50,37.9,50,33.6,0,99.2,132,133,51.3,100.0,68,51.5,68
Marquez Valdes-Scantling,47809,WR,KC,10,0,16,60.0,100.0,34,25.8,34,49.0,1,99.2,132,133,77.0,100.0,91,68.9,91
Elijah Moore,84302,WR,NYJ,9,0,22,59.2,100.0,50,37.9,50,56.5,0,99.2,132,133,67.4,100.0,72,54.5,72
P.J. Walker,12134,QB,CAR,6,0,5,60.3,100.0,60,45.5,60,60.2,0,97.1,132,136,60.0,98.6,68,51.5,69
Alec Ingold,34934,FB,MIA,10,0,17,41.4,100.0,32,24.2,32,63.0,0,96.4,132,137,73.8,100.0,81,61.4,81
Dan Skipper,12307,G,DET,8,0,11,47.1,100.0,77,58.8,77,57.9,1,100.0,131,131,70.4,100.0,44,33.6,44
Michael Gallup,26075,WR,DAL,7,0,9,61.8,100.0,45,34.6,45,45.1,0,100.0,130,130,60.5,100.0,65,50.0,65
Tre'Quan Smith,48228,WR,NO,9,0,20,68.1,100.0,54,41.5,54,69.8,0,100.0,130,130,61.1,100.0,64,49.2,64
Keith Smith,9302,FB,ATL,11,0,2,58.2,100.0,42,32.3,42,51.9,0,99.2,130,131,50.2,100.0,82,63.1,82
David Sills,34579,WR,NYG,8,1,21,61.7,100.0,66,51.2,66,46.3,2,100.0,129,129,60.8,100.0,50,38.8,50
Dante Pettis,48113,WR,CHI,11,0,6,52.0,100.0,38,29.7,38,53.1,0,98.5,128,130,66.8,100.0,78,60.9,78
Chris Godwin,11839,WR,TB,8,0,30,48.0,100.0,94,74.0,94,55.6,0,99.2,127,128,66.6,100.0,30,23.6,30
Josh Reynolds,11872,WR,DET,7,1,11,72.9,100.0,76,59.8,76,50.0,1,100.0,127,127,55.4,100.0,47,37.0,47
Samuel Cosmi,60114,T,WAS,6,0,32,59.5,100.0,43,33.9,43,86.1,0,100.0,127,127,93.9,100.0,70,55.1,70
Carson Wentz,10636,QB,WAS,6,0,32,60.0,97.2,35,27.6,36,60.0,0,94.1,127,135,60.0,98.8,81,63.8,82
Garrett Wilson,97405,WR,NYJ,10,0,22,58.5,100.0,48,37.8,48,48.2,1,97.7,127,130,54.7,100.0,72,56.7,72
Ben Bartch,84236,G,JAX,5,0,15,53.1,100.0,44,34.6,44,58.6,0,100.0,127,127,62.9,100.0,67,52.8,67
Jerry Jeudy,61103,WR,DEN,8,0,10,57.2,100.0,29,23.2,29,65.3,0,99.2,125,126,68.8,100.0,88,70.4,88
Greg Little,46254,T,MIA,7,0,17,56.8,100.0,34,27.4,34,44.4,0,100.0,124,124,49.4,100.0,68,54.8,68
Tommy Tremble,84025,TE,CAR,11,0,5,51.1,100.0,61,49.2,61,52.3,0,100.0,124,124,53.2,100.0,56,45.2,56
Lucas Patrick,11435,G,CHI,7,0,6,63.5,100.0,46,37.4,46,62.5,0,100.0,123,123,60.8,100.0,67,54.5,67
David Bell,97989,WR,CLV,10,0,8,55.5,100.0,44,35.8,44,54.6,0,100.0,123,123,58.9,100.0,56,45.5,56
Robbie Anderson,11254,WR,ARZ,11,0,1,65.0,100.0,53,43.1,53,34.7,0,100.0,123,123,56.2,100.0,56,45.5,56
Thayer Munford,59994,T,LV,10,0,23,63.9,100.0,74,60.2,74,55.0,2,100.0,123,123,46.7,100.0,18,14.6,18
Hjalte Froholdt,44959,G,CLV,8,0,8,72.3,100.0,51,41.8,51,70.9,1,100.0,122,122,72.4,100.0,49,40.2,49
O.J. Howard,11774,TE,HST,10,0,13,57.0,100.0,57,47.1,57,50.4,0,100.0,121,121,50.6,100.0,57,47.1,57
Pat Elflein,11825,C,CAR,6,0,5,47.3,100.0,55,46.2,55,57.3,0,100.0,119,119,60.7,100.0,55,46.2,55
Trent Sherfield,48021,WR,MIA,10,0,17,68.9,100.0,39,32.8,39,71.0,0,100.0,119,119,56.8,100.0,61,51.3,61
Garett Bolles,11775,T,DEN,5,0,10,69.2,100.0,44,37.3,44,76.9,0,100.0,118,118,75.5,100.0,61,51.7,61
Alec Pierce,78038,WR,IND,10,0,14,65.4,100.0,51,43.2,51,46.6,0,100.0,118,118,62.3,100.0,61,51.7,61
Kylen Granson,40630,TE,IND,11,0,14,32.6,100.0,36,30.5,36,41.2,0,99.2,118,119,57.6,100.0,66,55.9,66
