player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jake Gervase,49103,LB,LA,1,6.0,0,100.0,,0,0,0,0.0,0,1,26,0,64.7,65.7,73.8,,90.3,0.0,0,0,12,0.0,0,1,0,1,100.0,1,0.0,0,116.7,1,0,0.0,0,12,6,6.0,12.0,12.0
Josh Gordon,7618,WR,TEN,2,13.0,0,0.0,,0,0,0,,0,0,31,0,,,47.0,,53.2,0.0,0,0,0,0.0,0,10,1,0,90.0,9,40.0,4,39.6,1,0,60.0,6,0,0,,,0.0
Jalen Camp,40986,WR,HST,1,7.0,0,100.0,100.0,1,1,0,0.0,0,1,13,0,64.7,61.2,69.8,,69.3,0.0,0,0,7,0.0,0,6,0,1,83.3,5,50.0,3,95.8,1,0,50.0,3,7,0,0.0,7.0,1.4
Tommy Sweeney,47216,TE,BUF,3,-1.0,0,100.0,,0,0,0,0.0,0,1,4,0,64.7,61.2,65.3,76.1,61.7,55.0,11,0,7,20.0,4,20,0,1,80.0,16,15.0,3,95.8,1,0,5.0,1,7,8,8.0,7.0,0.44
Jalen Virgil,41991,WR,DEN,1,26.0,0,100.0,,0,0,0,0.0,0,1,10,0,64.7,61.2,67.2,,66.3,0.0,0,0,66,0.0,0,19,0,1,89.5,17,36.8,7,158.3,1,1,63.2,12,66,40,40.0,66.0,3.88
Russell Wilson,7077,QB,DEN,8,7.0,0,100.0,,0,0,0,0.0,0,0,10,2,,71.3,58.4,,,0.0,0,0,1,0.0,0,340,2,1,0.0,0,0.0,0,79.2,1,0,0.0,0,1,-6,-6.0,1.0,
Stanley Morgan Jr.,48110,WR,CIN,3,0.0,0,0.0,,0,0,0,,0,0,7,0,,,60.6,,52.5,22.2,2,0,0,0.0,0,9,0,0,100.0,9,0.0,0,39.6,1,0,77.8,7,0,0,,,0.0
Jalen Nailor,84292,WR,MIN,1,13.0,0,100.0,,0,0,0,0.0,0,1,18,0,64.7,61.2,80.4,,76.9,0.0,0,0,13,0.0,0,1,0,1,100.0,1,0.0,0,118.8,1,0,0.0,0,13,0,0.0,13.0,13.0
Jared Goff,10635,QB,DET,9,-7.0,0,100.0,,0,0,0,0.0,0,0,11,4,,59.1,62.8,,,0.0,0,0,5,0.0,0,349,0,1,0.0,0,0.0,0,87.5,1,0,0.0,0,5,12,12.0,5.0,
Teagan Quitoriano,84036,TE,HST,2,7.0,0,100.0,100.0,1,1,0,0.0,0,1,13,0,64.7,61.2,83.7,53.9,85.6,90.0,18,0,2,60.0,12,20,0,1,35.0,7,10.0,2,118.8,1,1,0.0,0,2,0,0.0,2.0,0.29
Jeremy Ruckert,84029,TE,NYJ,1,2.0,0,0.0,,0,0,0,100.0,1,0,22,0,27.9,,33.7,78.5,30.4,77.8,7,0,0,33.3,3,9,0,0,66.7,6,11.1,1,39.6,1,0,0.0,0,0,0,,,0.0
Dwayne Washington,10870,HB,NO,4,1.0,0,100.0,,0,0,0,0.0,0,0,20,0,64.7,75.9,64.5,,57.6,0.0,0,0,7,0.0,0,10,0,1,90.0,9,0.0,0,95.8,1,0,10.0,1,7,6,6.0,7.0,0.78
Mike Davis,9559,HB,BLT,6,-4.0,0,100.0,,0,0,0,0.0,0,0,3,0,64.7,20.0,41.4,81.0,54.2,0.0,0,0,7,14.3,3,21,0,1,81.0,17,19.0,4,95.8,1,0,4.8,1,7,11,11.0,7.0,0.41
