player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Zach Allen,49605,DI,ARZ,12,13,1.4,1,0,1,54.8,71.7,48.6,71.9,67.7,70.7,3.0,1,4,211,217,6.6,14,19
Markus Bailey,49681,LB,CIN,7,0,4.4,0,0,7,52.5,67.7,76.8,55.2,76.4,54.4,0.0,0,0,35,36,2.9,1,9
Shaquille Leonard,49684,LB,IND,3,2,4.0,0,0,14,35.9,40.6,74.8,53.5,59.9,70.3,0.0,0,0,29,29,6.9,2,3
Genard Avery,49699,ED,TB,3,0,3.0,0,0,30,59.0,38.1,0.0,53.4,52.1,44.9,50.0,1,2,5,5,20.0,1,1
Cole Holcomb,49753,LB,WAS,7,15,3.7,1,0,32,67.0,66.6,42.7,45.2,69.4,71.0,7.3,3,1,161,165,6.2,10,23
Quincy Williams,49779,LB,NYJ,9,12,2.9,0,0,22,38.4,48.6,79.1,67.4,60.9,46.1,9.3,4,1,188,194,10.1,19,27
Azeez Al-Shaair,49792,LB,SF,6,4,4.6,0,0,28,66.5,74.2,1.0,66.2,81.4,72.2,13.3,2,1,75,76,6.7,5,9
Zaire Franklin,49834,LB,IND,12,14,3.4,2,0,14,55.4,59.5,59.1,71.7,62.6,54.2,13.9,10,6,334,345,8.1,27,48
Christian Rozeboom,49862,LB,LA,1,0,,0,0,26,,60.0,60.0,,60.0,,,0,0,0,1,,0,0
B.J. Hill,49894,DI,CIN,11,14,3.6,0,0,7,53.3,64.5,87.4,65.2,60.6,72.9,0.0,0,0,212,216,8.0,17,29
Sebastian Joseph-Day,49935,DI,LAC,11,15,0.8,1,0,27,70.4,48.6,86.6,53.3,44.3,40.5,11.9,5,2,235,239,7.7,18,22
Jerry Tillery,49949,DI,LV,9,2,2.6,0,0,23,59.5,57.4,31.0,63.8,56.1,26.3,22.2,2,2,89,89,5.6,5,5
Derrick Nnadi,49970,DI,KC,11,10,4.5,0,0,16,58.2,36.1,84.2,50.6,34.1,50.6,10.0,2,0,112,116,2.7,3,8
Broderick Washington Jr.,50049,DI,BLT,11,9,2.4,0,0,3,64.6,72.1,85.0,69.0,65.2,50.2,9.1,3,0,113,115,10.6,12,21
Uchenna Nwosu,50084,ED,SEA,11,10,1.9,0,1,29,64.3,70.8,27.6,71.3,70.3,41.0,16.1,5,5,241,248,5.4,13,16
John Franklin-Myers,50088,ED,NYJ,11,4,2.5,0,0,22,65.8,83.5,42.4,79.0,75.6,80.9,5.6,1,3,152,157,7.2,11,13
Wyatt Ray,50115,ED,TEN,1,0,4.0,0,0,31,,61.6,76.1,54.9,66.3,69.2,0.0,0,0,4,4,0.0,0,1
Josh Sweat,50120,ED,PHI,11,4,1.1,0,0,24,52.3,84.0,74.6,78.5,78.0,56.6,11.1,3,1,159,161,10.7,17,20
Lorenzo Carter,50126,ED,ATL,12,7,3.2,0,0,2,58.3,58.9,87.7,51.6,64.6,66.7,0.0,0,1,265,276,4.9,13,19
Ogbonnia Okoronkwo,50130,ED,HST,11,5,3.4,0,0,13,62.4,77.0,45.8,67.9,78.8,54.3,14.8,4,2,137,140,9.5,13,18
Jacob Martin,50152,ED,DEN,11,1,2.3,0,0,10,52.5,65.3,85.8,60.9,68.1,29.0,0.0,0,1,69,69,2.9,2,4
Olasunkanmi Adeniyi,50154,ED,TEN,2,1,,0,0,31,62.5,55.3,0.0,55.3,68.3,28.6,50.0,1,1,11,11,0.0,0,0
Tashawn Bower,50170,ED,LV,4,0,9.0,0,0,23,,48.9,75.7,49.8,55.1,70.5,0.0,0,0,14,15,0.0,0,1
Delontae Scott,50185,ED,PIT,2,0,,0,0,25,,46.6,74.9,53.3,51.0,,,0,0,10,10,0.0,0,0
Malcolm Roach,50191,DI,NO,8,4,3.4,0,0,20,56.5,49.9,53.4,58.0,51.5,28.6,16.7,3,2,104,108,6.7,7,11
LaDarius Hamilton,50192,ED,GB,3,1,,0,0,12,,35.6,75.0,58.1,34.5,25.3,50.0,1,0,14,14,0.0,0,0
Benning Potoa'e,50195,DI,WAS,1,1,,0,0,32,,78.3,72.0,70.6,66.6,66.8,0.0,0,0,5,5,0.0,0,0
Arden Key,50201,ED,JAX,10,0,1.5,0,0,15,74.8,76.4,85.1,67.2,71.9,42.8,0.0,0,0,56,56,7.1,4,4
Oren Burks,50203,LB,SF,5,6,3.0,0,0,28,68.2,80.2,75.3,65.8,82.8,84.4,0.0,0,0,50,50,8.0,4,6
Rashaan Evans,50213,LB,ATL,12,22,4.3,0,1,2,55.4,64.8,61.2,69.3,71.9,74.3,6.3,5,1,318,330,7.2,23,52
Gerri Green,50228,ED,CHI,1,0,,0,0,6,,58.5,71.7,58.2,60.0,,,0,0,2,2,0.0,0,0
