player_name,sample_size,school,dg_rank,dg_change,wagr_rank,wagr_change,dg_index
"Lloyd, Joseph",27,"—",358,0,988,0,-0.9754212599174019
"Glawe, Wolfgang",134,"houston",359,18,718,7,-0.9786681567615441
"Olesen, Jacob Skov",150,"tcu",360,16,439,16,-0.982970863440392
"Nielsen, Jonathan",103,"clemson",361,18,688,16,-0.9921668522718321
"Huff, Kevin",146,"—",362,24,418,34,-0.9930102238958549
"Cristoni, Matteo",150,"little rock",363,17,378,20,-0.993367492586148
"Breitenstine, Cade",150,"kent state",364,37,578,34,-0.997089610173607
"Hackett, Drew",141,"michigan state",365,19,725,10,-0.9989758180177629
"Zimmer, JJ",46,"—",366,29,480,15,-1.00132251319582
"Clarke, Cameron",144,"southern mississippi",367,18,648,10,-1.0018290252450202
"Park, Dongjin",150,"charlotte",368,19,285,3,-1.00542001439107
"Davis, Evan",150,"—",369,-38,885,12,-1.00684364329938
"Pretorius, Ruan",118,"mississippi state",370,18,301,11,-1.00835152244544
"King, Will",42,"kansas",371,11,729,8,-1.01482407575542
"Ryan, Joshua",96,"liberty",372,18,592,16,-1.0162877023669201
"Kobayashi, Taiga",48,"—",373,2,518,7,-1.01755820829951
"Gibson, Wil",122,"arkansas",374,18,332,16,-1.0217430187363599
"Pagdin, Joseph",150,"—",375,21,837,4,-1.02268669642401
"Kamin, Chris",50,"—",376,-2,280,6,-1.02434495399026
