player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Harrington, Scott",-0.371,397,-0.123,274,-0.406,297,-0.060,168,-0.960,291,7.713,72,-0.036,315
"Werbylo, Trevor",-0.092,245,-0.105,258,-0.658,363,-0.125,191,-0.979,292,4.015,129,-0.080,405
"Pepperell, Eddie",0.058,141,-0.262,378,0.107,112,-0.885,388,-0.982,293,-18.095,413,0.051,52
"Easton, Bryce",-0.101,251,-0.068,232,-0.514,331,-0.305,264,-0.987,294,-5.953,317,0.023,117
"Cook, Austin",0.013,173,0.079,102,-0.452,318,-0.627,349,-0.987,295,-14.858,400,0.037,80
"LaCroix, Frederic",-0.025,194,-0.357,407,-0.404,296,-0.215,228,-1.001,296,2.890,154,-0.005,211
"Migliozzi, Guido",0.129,96,-0.190,339,-0.580,345,-0.360,285,-1.001,297,3.894,131,-0.047,349
"Stone, Brandon",-0.279,365,-0.232,361,-0.578,344,0.083,114,-1.006,298,6.671,86,-0.024,283
"Fitzpatrick, Alex",-0.168,302,-0.154,307,-0.096,178,-0.595,341,-1.012,299,-1.586,232,-0.045,343
"Knox, Russell",-0.311,379,-0.057,222,-0.063,167,-0.585,337,-1.016,300,-10.406,366,0.026,107
"Kodaira, Satoshi",-0.210,330,-0.225,356,-0.264,248,-0.321,270,-1.019,301,-12.435,384,0.088,12
"Lewis, Tom",-0.264,359,-0.218,354,-0.290,254,-0.249,251,-1.020,302,2.910,153,-0.036,316
"Bekker, Oliver",-0.442,413,-0.176,325,-0.362,281,-0.041,159,-1.021,303,7.569,74,-0.061,374
"Van Driel, Darius",-0.242,352,-0.050,215,-0.377,285,-0.355,281,-1.025,304,-11.656,377,0.044,65
"Hammer, Cole",-0.283,367,-0.199,341,-0.198,226,-0.353,279,-1.033,305,-4.776,302,-0.025,286
"Nemecz, Lukas",-0.114,263,-0.162,315,-0.625,355,-0.134,194,-1.035,306,-4.799,303,0.017,141
"Lombard, Zander",-0.122,272,-0.070,235,-0.404,295,-0.446,316,-1.041,307,6.003,93,-0.068,387
"Lorenzo-Vera, Michael",-0.052,213,-0.070,234,-0.538,337,-0.385,298,-1.045,308,-1.683,236,-0.030,298
"Pulkkanen, Tapio",0.104,107,-0.110,265,-0.419,308,-0.635,352,-1.060,309,8.329,63,-0.108,424
"Coetzee, George",0.209,71,-0.063,228,-0.536,336,-0.674,362,-1.064,310,-0.426,210,-0.067,384
"Kraft, Kelly",0.064,137,-0.253,372,-0.513,329,-0.364,288,-1.065,311,-12.319,382,0.032,97
"Kawamura, Masahiro",-0.204,323,-0.019,193,-0.406,298,-0.437,313,-1.066,312,-10.505,370,0.056,45
"Armitage, Marcus",-0.090,244,-0.236,362,-0.101,180,-0.640,354,-1.067,313,1.293,178,-0.052,360
"Frittelli, Dylan",0.050,150,0.052,124,-0.468,322,-0.726,376,-1.093,314,4.272,122,-0.105,422
"Barjon, Paul",-0.172,307,-0.473,420,-0.545,338,0.071,118,-1.120,315,9.339,56,-0.011,234
"Van Tonder, Daniel",-0.247,354,0.026,147,-0.587,348,-0.315,268,-1.123,316,-6.123,324,-0.009,223
"Gavins, Daniel",-0.046,207,0.043,135,-0.355,276,-0.769,380,-1.127,317,0.096,204,-0.076,400
"Slattery, Lee",-0.185,315,-0.113,267,-0.518,332,-0.312,267,-1.128,318,-4.342,291,-0.029,296
"Wilson, Andrew",-0.034,198,-0.284,387,-0.664,364,-0.156,204,-1.138,319,0.657,192,-0.006,213
"Lebioda, Hank",-0.180,312,-0.136,289,-0.375,284,-0.452,318,-1.143,320,-0.417,209,-0.008,219
"Cone, Trevor",-0.151,292,-0.298,395,-0.639,358,-0.056,166,-1.144,321,12.048,30,-0.050,357
"Trainer, Martin",0.128,97,-0.079,237,-0.655,362,-0.543,334,-1.149,322,5.680,99,-0.067,386
"Sharma, Shubhankar",0.234,58,-0.357,408,-0.490,325,-0.549,335,-1.162,323,-4.215,284,0.013,153
"Paratore, Renato",0.429,22,0.005,166,-0.727,371,-0.876,387,-1.170,324,-1.878,239,-0.050,354
"Scrivener, Jason",-0.159,294,-0.242,368,-0.279,253,-0.513,330,-1.192,325,-6.382,326,0.017,140
"Hagy, Brandon",-0.268,361,-0.237,363,-0.501,326,-0.187,218,-1.193,326,19.022,8,-0.103,420
"Van Rooyen, Erik",-0.213,334,-0.279,385,-0.317,263,-0.384,297,-1.193,327,2.328,167,-0.012,241
"Kang, Sung",0.041,157,-0.088,242,-0.557,341,-0.595,340,-1.199,328,-3.981,279,-0.036,319
"Veerman, Johannes",0.077,126,-0.240,366,-0.646,359,-0.398,301,-1.207,329,1.188,180,-0.027,293
"Donaldson, Jamie",0.027,162,-0.131,284,-0.433,314,-0.679,364,-1.215,330,-11.582,376,0.013,152
"Garcia-Heredia, Alfredo",-0.285,369,-0.127,283,-0.600,352,-0.203,223,-1.215,331,0.698,191,-0.034,309
"Dufner, Jason",-0.696,428,-0.055,219,-0.125,190,-0.349,278,-1.226,332,-3.321,265,-0.026,290
"Taylor, Vaughn",-0.247,353,-0.097,253,-0.296,255,-0.588,338,-1.227,333,-17.692,412,0.058,43
"Hanna, Chase",-0.074,231,-0.210,350,-0.588,349,-0.358,282,-1.230,334,3.732,135,-0.054,362
"Villegas, Camilo",-0.234,345,0.124,69,-0.432,313,-0.707,371,-1.249,335,-6.927,330,-0.049,352
"Tarrio Ben, Santiago",-0.211,333,0.052,125,-0.243,241,-0.867,386,-1.269,336,-14.710,398,0.012,154
"Portillo, Angel Hidalgo",0.130,95,-0.264,379,-0.594,351,-0.542,333,-1.270,337,-12.886,388,-0.009,221
"Dantorp, Jens",-0.210,331,-0.171,322,-0.632,356,-0.261,255,-1.275,338,-4.109,281,0.001,189
"McGirt, William",-0.084,240,0.083,98,-0.550,339,-0.725,375,-1.276,339,-18.721,416,0.025,111
"Celli, Filippo",0.081,122,-0.288,388,-0.865,390,-0.221,234,-1.293,340,5.818,97,-0.014,253
"Lagergren, Joakim",0.248,54,-0.207,347,-0.854,388,-0.480,324,-1.294,341,3.688,136,-0.070,392
"Hoag, Bo",-0.172,306,-0.149,301,-0.466,321,-0.526,331,-1.312,342,-4.743,301,-0.016,260
"Herman, Jim",-0.385,404,-0.200,343,-0.407,302,-0.326,274,-1.319,343,-9.569,356,0.049,55
"Heisele, Sebastian",-0.115,265,-0.520,426,-0.836,385,0.148,99,-1.323,344,4.840,111,-0.014,252
"Chesters, Ashley",-0.431,412,-0.292,392,-0.173,214,-0.427,309,-1.324,345,-23.741,426,0.129,1
"Matthews, Brandon",-0.464,414,-0.513,425,-0.388,289,0.040,133,-1.325,346,22.504,4,-0.125,429
"Alexander, Tyson",-0.200,321,-0.053,217,-0.479,324,-0.603,346,-1.335,347,-0.304,208,-0.081,408
"Laporta, Francesco",-0.375,400,-0.161,313,-0.647,360,-0.157,205,-1.341,348,-4.803,304,-0.006,212
"Besseling, Wil",-0.320,382,-0.379,411,-0.814,381,0.166,94,-1.348,349,3.836,133,0.006,176
"Brown, Scott",-0.161,299,-0.176,326,-0.586,347,-0.432,310,-1.356,350,-5.765,314,0.020,123
"Swafford, Hudson",-0.214,335,-0.455,419,-0.329,269,-0.370,290,-1.368,351,6.765,84,-0.013,246
"Kofstad, Espen",-0.125,275,-0.252,371,-0.677,366,-0.329,275,-1.383,352,-1.380,229,-0.011,231
"Fichardt, Darren",-0.224,341,-0.088,243,-0.845,386,-0.234,245,-1.392,353,-14.955,401,0.031,98
