"","Name","TeamAbbrev","Salary","fpts","proj_own","status","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"575","Nehemiah Martinez I","TTU",3000,7.75,3,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"576","Tyler King","TTU",3000,NA,0,"Healthy",1,61.3,6,"OKST",66.4,16.5,41.5
"577","Coy Eakin","TTU",3000,NA,0,"Ques Sat - Ankle",NA,NA,NA,"OKST",66.4,16.5,41.5
"578","Louis Ortiz","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"579","Cole Kirkpatrick","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"580","Ben Gair","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"581","Jake Bishop","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"582","Jack Esparza","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"583","Cameron Cantrell","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"584","Haydon Wiginton","TTU",3000,NA,0,"Healthy",4,58.8,1.75,"OKST",66.4,16.5,41.5
"585","Nate Floyd","TTU",3000,NA,0,"Healthy",NA,NA,NA,"OKST",66.4,16.5,41.5
"586","James Bomba","IU",3000,0.63,0,"Healthy",17,64,0.38,"MICH",87.2,17.6,68.9
"587","Aaron Steinfeldt","IU",3000,0.63,0,"Healthy",20,63.2,2.63,"MICH",87.2,17.6,68.9
"588","Sam Daugstrup","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"589","Trey Walker","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"590","Brody Foley","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"591","Ryan Barnes","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"592","Ryan Miller","IU",3000,NA,0,"Out indefinitely - Undisclosed",NA,NA,NA,"MICH",87.2,17.6,68.9
"593","Andison Coby","IU",3000,3.85,0,"Healthy",134,53.9,0.77,"MICH",87.2,17.6,68.9
"594","Donaven McCulley","IU",3000,3.18,0,"Healthy",85,59.7,1.06,"MICH",87.2,17.6,68.9
"595","Malachi Holt-Bennett","IU",3000,6.2,2,"Healthy",42,48.6,0.3,"MICH",87.2,17.6,68.9
"596","David Baker","IU",3000,NA,0,"Out indefinitely - Undisclosed",NA,NA,NA,"MICH",87.2,17.6,68.9
"597","Brady Simmons","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"598","Eli Jochem","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"599","Christian Harris","IU",3000,NA,0,"Ques Sat - Undisclosed",NA,NA,NA,"MICH",87.2,17.6,68.9
"600","Connor Delp","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"601","Omar Cooper Jr.","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"602","McCall Ray","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"603","Kamryn Perry","IU",3000,NA,0,"Healthy",NA,NA,NA,"MICH",87.2,17.6,68.9
"604","Jaquez Smith","IU",3000,NA,0,"Out indefinitely - Undisclosed",NA,NA,NA,"MICH",87.2,17.6,68.9
"605","Matthew Hibner","MICH",3000,NA,0,"Healthy",7,61,2.5,"IU",51.1,50.5,33.6
"606","Carter Selzer","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"607","Hunter Neff","MICH",3000,NA,0,"Healthy",1,81,8,"IU",51.1,50.5,33.6
"608","Noah Howes","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"609","Colston Loveland","MICH",3000,0.64,0,"Healthy",16,54.9,2.54,"IU",51.1,50.5,33.6
"610","Josh Beetham","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"611","Louis Hansen","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"612","Max Bredeson","MICH",3000,1.22,0,"Healthy",26,83.1,2.85,"IU",51.1,50.5,33.6
"613","Marlin Klein","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"614","Cristian Dixon","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"615","Jake Thaw","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"616","Eamonn Dennis","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"617","Peyton O'Leary","MICH",3000,0.64,0,"Healthy",5,57.5,0.8,"IU",51.1,50.5,33.6
"618","Amorion Walker","MICH",3000,0.64,0,"Healthy",8,56.8,0.5,"IU",51.1,50.5,33.6
"619","Christian Bartholomew","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"620","Zach Peterson","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"621","Will Rolapp","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"622","Darrius Clemons","MICH",3000,0.64,0,"Healthy",22,50.9,0.32,"IU",51.1,50.5,33.6
"623","Mathew Harrison","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"624","Joe Taylor","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"625","Tyler Morris","MICH",3000,1.21,0,"Healthy",10,59.3,0.9,"IU",51.1,50.5,33.6
"626","Sam Staruch","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"627","Logan Forbes","MICH",3000,NA,0,"Healthy",NA,NA,NA,"IU",51.1,50.5,33.6
"628","CJ Dippre","UMD",3000,4.33,0,"Healthy",99,74.9,2.03,"PUR",59.6,34.7,44.2
"629","Leron Husbands","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"630","Maxwell Brown","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"631","Preston Howard","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"632","Joshua Jennings","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"633","Terrance Ellis","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"634","Weston Wolff","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"635","Shane Carroll","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"636","Marcus Fleming","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"637","Kai Holloway","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"638","Octavian Smith Jr.","UMD",3000,0.67,0,"Healthy",26,69.3,1.32,"PUR",59.6,34.7,44.2
"639","Leon Haughton Jr.","UMD",3000,0.67,0,"Healthy",5,68.9,5,"PUR",59.6,34.7,44.2
"640","Khalid Jones","UMD",3000,NA,0,"Healthy",NA,NA,NA,"PUR",59.6,34.7,44.2
"641","Shaleak Knotts","UMD",3000,0.67,0,"Healthy",6,57.5,-0.8,"PUR",59.6,34.7,44.2
"642","Garrett Miller","PUR",3000,NA,0,"out for season - Knee",NA,NA,NA,"UMD",52.2,27.5,54.2
"643","Ben Buechel","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"644","Max Klare","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"645","Drew Biber","PUR",3000,0.77,0,"Healthy",6,52.8,1.5,"UMD",52.2,27.5,54.2
"646","Charlie Kenrich","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"647","Kyle Bilodeau","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"648","Preston Terrell","PUR",3000,0.76,0,"Healthy",5,62.5,2.4,"UMD",52.2,27.5,54.2
"649","Collin Sullivan","PUR",3000,0.76,0,"Healthy",8,56.1,0.75,"UMD",52.2,27.5,54.2
"650","Elijah Canion","PUR",3000,NA,0,"Ques Sat - Knee",4,55.5,0,"UMD",52.2,27.5,54.2
"651","Hayden Parise","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"652","Milton Wright","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"653","Alex Maxwell","PUR",3000,0.76,0,"Healthy",2,73.8,4,"UMD",52.2,27.5,54.2
"654","Ben Van Noord","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"655","Zion Steptoe","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"656","Curtis Deville Jr.","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"657","Trey Firestone","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"658","Camdyn Childers","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"659","Andrew Sowinski","PUR",3000,NA,0,"Healthy",NA,NA,NA,"UMD",52.2,27.5,54.2
"660","Maliq Carr","MSU",3000,1.64,0,"Healthy",49,63.9,1.21,"OSU",77.6,11.1,60.7
"661","Jack Nickel","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"662","Powers Warren","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"663","Michael Masunas","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"664","Evan Morris","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"665","Adam Berghorst","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"666","Jackson Morse","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"667","Christian Fitzpatrick","MSU",3000,0.58,0,"Healthy",20,61.1,0.94,"OSU",77.6,11.1,60.7
"668","Jaron Glover","MSU",3000,0.58,0,"Healthy",8,56.9,0.29,"OSU",77.6,11.1,60.7
"669","Cade McDonald","MSU",3000,NA,0,"Healthy",18,63.6,2.07,"OSU",77.6,11.1,60.7
"670","Tyrell Henry","MSU",3000,0.58,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"671","Antonio Gates","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"672","Joseph Martinez","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"673","Alex Watters","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"674","Tyler Vroman","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"675","Aubrey Dawkins","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"676","Nick Hunter","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"677","Sebastian Brown","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"678","Zach Gillespie","MSU",3000,NA,0,"Healthy",NA,NA,NA,"OSU",77.6,11.1,60.7
"679","Joe Royer","OSU",3000,NA,0,"Ques Sat - Undisclosed",NA,NA,NA,"MSU",50.9,39.1,22.8
"680","Mitch Rossi","OSU",3000,0.76,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"681","Gee Scott Jr.","OSU",3000,0.76,0,"Healthy",30,49.8,0.3,"MSU",50.9,39.1,22.8
"682","Riordin Stauffer","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"683","Patrick Gurd","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"684","Sam Hart","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"685","Bennett Christian","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"686","Zak Herbstreit","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"687","Kamryn Babb","OSU",3000,NA,0,"Out indefinitely - Knee",NA,NA,NA,"MSU",50.9,39.1,22.8
"688","Xavier Johnson","OSU",3000,1.45,0,"Healthy",54,57.5,0.94,"MSU",50.9,39.1,22.8
"689","Caleb Burton","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"690","Kaleb Brown","OSU",3000,2.83,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"691","Kojo Antwi","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"692","Kyion Grayes","OSU",3000,0.76,0,"Healthy",2,60.3,1,"MSU",50.9,39.1,22.8
"693","Kai Saunders","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"694","Corban Cleveland","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"695","Blaize Exline","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"696","David Adolph","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"697","Joop Mitchell","OSU",3000,NA,0,"Ques Sat - Leg",NA,NA,NA,"MSU",50.9,39.1,22.8
"698","Reis Stocksdale","OSU",3000,NA,0,"Healthy",NA,NA,NA,"MSU",50.9,39.1,22.8
"699","Thomas Gordon","NW",3000,4.26,0,"Healthy",148,67.1,1.12,"WISC",57.6,28.4,48.5
"700","Marshall Lang","NW",3000,2.05,0,"Healthy",111,58.7,1.01,"WISC",57.6,28.4,48.5
"701","Charlie Mangieri","NW",3000,0.53,0,"Healthy",8,48.8,0,"WISC",57.6,28.4,48.5
"702","Hunter Welcing","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"703","Chris Petrucci","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"704","Lawson Albright","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"705","Blake Van Buren","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"706","Jacob Gill","NW",3000,7.38,3,"Healthy",83,54,0.93,"WISC",57.6,28.4,48.5
"707","Genson Hooper Price","NW",3000,NA,0,"Healthy",23,65.4,2.76,"WISC",57.6,28.4,48.5
"708","Wayne Dennis Jr.","NW",3000,0.67,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"709","Reggie Fleurima","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"710","Preston Bacon","NW",3000,NA,0,"Healthy",12,53.8,0,"WISC",57.6,28.4,48.5
"711","Jack Kennedy","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"712","Calvin Johnson II","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"713","Jack Moses","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"714","Jasper Stratton","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"715","Donnie Gray","NW",3000,NA,0,"Healthy",NA,NA,NA,"WISC",57.6,28.4,48.5
"716","Clay Cundiff","WISC",3000,NA,0,"out for season - Leg",73,75.6,2.22,"NW",56.3,57.1,21.7
"717","Hayden Rucci","WISC",3000,NA,0,"Out Sat - Leg",42,60.9,1.57,"NW",56.3,57.1,21.7
"718","Jack Eschenbach","WISC",3000,7.57,3,"Healthy",63,51.9,1.2,"NW",56.3,57.1,21.7
"719","Jaylan Franklin","WISC",3000,NA,0,"Healthy",16,57.2,1.75,"NW",56.3,57.1,21.7
"720","Cam Large","WISC",3000,NA,0,"Out indefinitely - Leg",NA,NA,NA,"NW",56.3,57.1,21.7
"721","Jack Pugh","WISC",3000,NA,0,"Out indefinitely - Leg",NA,NA,NA,"NW",56.3,57.1,21.7
"722","Cole Dakovich","WISC",3000,0.5,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"723","JT Seagreaves","WISC",3000,NA,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"724","Haakon Anderson","WISC",3000,0.5,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"725","Tommy McIntosh","WISC",3000,NA,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"726","Vinny Anthony","WISC",3000,0.5,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"727","Cole Toennies","WISC",3000,NA,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"728","Mike Gregoire","WISC",3000,NA,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"729","Cam Fane","WISC",3000,NA,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"730","Chris Brooks Jr.","WISC",3000,NA,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"731","Jordan DiBenedetto","WISC",3000,NA,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
"732","Alex Moeller","WISC",3000,NA,0,"Healthy",NA,NA,NA,"NW",56.3,57.1,21.7
