player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Myles Bryant,43336,CB,NE,9,0,0,19,54.6,0,0,3,1.3,0.0,0,1,0.0,0,240,3,0,0,59.1,0,0,1,0.7,0.0,0,0.0,0,134,1,0
Alex Highsmith,43507,ED,PIT,8,0,1,25,62.0,2,18,265,91.9,9.8,26,3,6.0,6,307,282,26,0,63.7,1,10,147,95.1,10.2,15,7.1,5,164,156,16
Kobe Jones,43511,ED,GB,1,0,0,12,69.3,0,0,2,100.0,50.0,1,0,0.0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0
Ben Stille,43555,DI,MIA,1,0,0,17,67.1,0,0,4,100.0,25.0,1,0,0.0,0,4,4,0,0,69.1,0,0,2,100.0,50.0,1,0.0,0,2,2,0
Jake Hansen,43645,LB,HST,2,0,0,13,56.2,0,1,1,14.3,100.0,1,0,50.0,0,7,1,1,0,,0,0,0,0.0,,0,,0,1,0,0
Quincy Roche,43734,ED,NYG,2,0,0,21,56.2,0,0,1,100.0,0.0,0,0,0.0,0,2,2,0,0,56.2,0,0,1,100.0,0.0,0,0.0,0,2,2,0
Jeffery Simmons,43742,DI,TEN,8,3,0,31,90.2,4,25,297,98.5,16.5,49,2,6.9,6,324,319,35,2,91.5,4,17,153,100.0,22.9,35,10.1,5,166,166,26
Elerson Smith,43766,ED,NYG,1,0,0,21,57.9,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0
Derrick Brown,43883,DI,CAR,10,4,0,5,77.7,3,19,263,100.0,12.9,34,0,4.6,1,282,282,23,1,73.6,3,11,103,100.0,17.5,18,7.8,1,108,108,15
Timmy Horne,43918,DI,ATL,10,1,0,2,49.0,0,0,98,99.0,1.0,1,1,0.0,0,103,102,0,1,51.1,0,0,43,100.0,0.0,0,0.0,0,43,43,0
Patrick Jones II,43974,ED,MIN,8,0,0,18,67.1,0,7,72,88.4,13.9,10,0,7.6,2,86,76,9,0,72.7,0,2,35,94.7,20.0,7,8.6,2,38,36,4
Byron Murphy Jr.,44027,CB,ARZ,9,0,0,1,63.7,0,2,11,3.2,9.1,1,0,18.2,1,375,12,3,0,64.1,0,1,6,3.6,0.0,0,25.0,1,166,6,2
Benito Jones,44035,DI,DET,8,1,0,11,55.8,0,5,70,100.0,10.0,7,1,3.6,0,77,77,5,0,54.8,0,4,28,100.0,21.4,6,7.1,0,29,29,4
Adetokunbo Ogundeji,44047,ED,ATL,9,0,0,2,45.7,0,3,121,81.0,5.8,7,2,2.1,1,153,124,4,0,48.4,0,1,50,85.0,4.0,2,1.0,0,60,51,1
Julian Okwara,44152,ED,DET,7,0,0,11,55.5,1,4,54,62.4,14.8,8,2,4.6,0,93,58,5,0,55.9,0,4,32,81.0,21.9,7,6.3,0,42,34,4
William Bradley-King,44184,ED,WAS,1,0,0,32,50.3,0,0,14,100.0,0.0,0,0,0.0,0,15,15,0,0,53.1,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Quinnen Williams,44216,DI,NYJ,9,1,0,22,84.8,9,18,247,100.0,15.0,37,0,8.7,8,259,259,35,1,88.3,4,12,104,100.0,23.1,24,14.4,7,112,112,23
Jamir Jones,44287,ED,PIT,7,1,0,25,60.7,0,0,27,93.1,7.4,2,0,0.0,0,29,27,0,0,56.9,0,0,10,90.9,10.0,1,0.0,0,11,10,0
Justin Madubuike,44304,DI,BLT,9,3,0,3,71.6,2,13,217,97.5,12.4,27,1,5.3,4,236,230,19,2,72.1,1,9,110,98.3,15.5,17,6.4,2,119,117,12
Boogie Basham,44320,ED,BUF,8,2,0,4,82.5,2,9,100,98.1,16.0,16,0,6.5,1,104,102,12,1,72.3,2,8,56,98.3,19.6,11,8.9,0,58,57,10
