player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Darrell Henderson,41193,HB,LA,8,0,26,67.8,0,1,35,16.4,16.1,98.6,0,1,0,35,217,58.2,0,1,20,18.9,18.3,97.5,1,0,20,109
Josh Wells,8968,T,TB,4,0,30,50.6,1,2,34,100.0,100.0,92.6,0,4,1,34,34,20.1,0,2,9,100.0,100.0,77.8,3,1,9,9
John Bates,42275,TE,WAS,8,0,32,57.5,2,2,33,28.2,27.2,93.9,0,4,0,34,125,28.4,1,1,5,13.5,14.6,80.0,2,0,6,41
David Montgomery,45719,HB,CHI,8,0,6,59.5,0,1,30,18.8,19.3,95.0,0,2,1,34,176,49.0,0,1,13,23.2,22.6,88.5,2,1,14,62
Chandler Brewer,13976,G,LA,1,0,26,77.3,0,1,31,100.0,100.0,98.4,0,1,0,33,33,65.2,0,1,11,100.0,100.0,95.5,1,0,13,13
Kareem Hunt,11841,HB,CLV,8,0,8,52.7,1,2,33,20.2,18.8,95.5,0,3,0,33,176,37.4,0,2,19,22.1,20.7,94.7,2,0,19,92
Will Dissly,30762,TE,SEA,9,0,29,77.4,1,1,28,15.7,16.5,96.4,0,2,0,32,194,56.7,1,0,7,11.5,10.6,92.9,1,0,7,66
Kenneth Walker III,97199,HB,SEA,8,0,29,25.6,0,6,29,22.0,21.9,89.7,1,6,0,32,146,65.0,0,1,11,21.6,23.2,95.5,1,0,13,56
Zach Gentry,36049,TE,PIT,8,0,25,43.0,0,1,26,22.2,24.6,98.1,1,1,0,32,130,5.2,0,1,3,7.5,7.1,83.3,1,0,3,42
Kyle Fuller,11998,C,SEA,1,0,29,47.7,2,0,32,100.0,100.0,96.9,0,2,0,32,32,22.6,2,0,13,100.0,100.0,92.3,2,0,13,13
Eric Tomlinson,9786,TE,DEN,8,0,10,60.7,0,1,29,38.2,40.0,98.3,0,1,0,32,80,73.0,0,0,2,14.3,13.3,100.0,0,0,2,15
Michael Carter,57337,HB,NYJ,9,0,22,25.7,0,3,31,16.9,16.3,85.5,0,6,3,31,190,25.2,0,1,8,10.5,10.1,81.2,2,1,8,79
Jason Peters,2148,G,DAL,5,0,9,42.6,0,2,29,100.0,100.0,96.6,0,2,0,31,31,43.1,0,1,10,100.0,100.0,95.0,1,0,11,11
Geoff Swaim,9679,TE,TEN,8,0,31,55.5,1,1,28,31.5,32.3,89.3,0,4,2,31,96,,0,0,0,0.0,0.0,,0,0,0,15
Colton McKivitz,29314,T,SF,2,0,28,85.8,0,1,31,100.0,100.0,98.4,0,1,0,31,31,82.4,0,1,18,100.0,100.0,97.2,1,0,18,18
Chris Myarick,47358,TE,NYG,8,1,21,42.8,0,1,26,32.1,34.1,98.1,1,1,0,30,88,24.0,0,0,1,9.1,9.1,100.0,0,0,1,11
